"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Castanea","Corylus","Fagus","Ilex","Nyssa","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Poaceae","Ericales","Cyperaceae","Magnolia","Tilia","Cornus","Salix","Cephalanthus","Urticaceae","Viburnum","Liriodendron","Polygonum","Amaranthaceae","Ostrya.Carpinus","Sanguisorba","Apiaceae","Abies","Ranunculaceae.undiff.","Thalictrum","Campanula","Artemisia","Caryophyllaceae","Epilobium","Platanus","Polemonium"
30,12,300,2,11,13,3,1,1,1,1,1,137,1,2,2,8,4,2,1,105,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,737,303,0,11,13,7,0,0,0,3,0,135,1,1,0,10,1,1,2,107,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1462,302,0,7,19,4,1,2,0,1,0,153,1,1,0,17,0,2,3,88,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2187,303,1,2,11,5,0,0,0,0,0,170,0,1,0,15,0,0,2,88,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2913,303,0,6,7,4,1,1,0,3,0,165,0,2,0,19,0,0,2,85,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3638,303,2,9,19,2,0,1,0,3,0,158,0,0,1,20,1,1,1,79,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4363,303,1,9,16,7,1,2,0,2,2,145,2,0,0,15,1,0,1,96,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5088,340,1,4,15,8,2,1,0,2,1,157,0,2,0,23,39,1,0,74,2,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5814,302,3,12,12,2,1,1,0,2,1,159,3,0,3,19,0,0,2,75,2,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6539,303,3,4,30,2,0,1,0,2,0,171,4,0,1,10,0,0,4,61,4,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,7264,308,1,2,10,3,2,2,0,0,0,187,4,0,1,14,0,0,2,70,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7989,305,2,4,14,6,3,3,0,1,1,212,4,2,0,11,0,1,3,26,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,8715,309,2,5,12,8,3,0,0,1,1,214,2,1,0,18,0,0,0,27,3,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,10165,315,1,2,18,7,3,1,0,2,3,206,6,3,0,20,0,0,1,26,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,10891,316,3,2,6,2,1,1,0,5,5,203,8,5,2,12,0,1,1,35,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,11076,311,3,4,7,3,4,2,0,0,16,178,11,18,2,2,1,0,0,34,11,0,9,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
115,11260,318,4,2,4,2,0,0,0,0,23,196,5,13,2,0,2,1,0,46,8,0,2,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
120,11445,302,0,3,5,6,6,6,0,0,36,163,14,11,1,2,0,0,1,42,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,11630,303,0,10,3,1,3,0,0,0,39,149,6,6,0,10,4,0,1,67,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,11815,306,0,7,7,0,2,0,0,0,38,155,12,0,2,2,0,0,2,66,2,2,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
