"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum"
529,1324,309,0,3,10,22,4,0,0,2,5,0,0,0,1,0,2,3,0,0,0,2,0,3,83,0,158,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0
539,1357,311,0,0,1,24,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,122,0,146,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,5,0
549,1389,318,2,1,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,110,0,164,0,0,3,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,3,0
559,1422,324,0,0,0,27,0,0,0,1,4,0,0,1,2,0,0,1,0,0,0,0,0,4,111,0,159,0,2,3,1,0,1,0,1,0,0,3,2,1,0,0,0,0,0,0,0
569,1455,351,0,3,6,23,0,0,0,1,6,0,0,1,1,0,1,5,0,0,0,0,0,4,126,0,157,0,0,2,3,0,0,1,1,0,0,0,3,0,0,0,0,0,0,7,0
579,1496,318,0,1,2,31,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,5,140,0,120,0,0,1,2,0,0,0,1,0,0,2,1,1,0,0,1,0,0,1,0
589,1556,346,0,1,9,28,0,0,0,1,7,0,0,0,0,0,1,4,0,0,0,2,0,4,136,0,138,0,2,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0
599,1617,373,1,1,10,27,1,0,0,1,3,0,0,3,1,0,1,2,0,0,0,2,1,2,129,0,172,0,0,3,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,8,0
609,1677,333,0,2,5,35,0,0,0,1,3,0,0,0,0,0,2,3,0,0,0,2,0,1,196,1,71,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,0
619,1738,339,0,1,4,25,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,1,0,2,127,0,162,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
629,1798,363,0,1,6,42,0,0,0,1,3,0,0,0,1,0,0,2,0,0,1,3,0,4,168,0,110,0,0,5,0,0,0,1,0,0,1,3,3,0,0,0,1,0,0,7,0
639,1859,395,1,3,7,33,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,2,0,1,124,0,205,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0
649,1920,339,0,0,5,23,2,0,0,0,9,0,0,0,0,0,2,3,0,0,0,0,0,1,138,0,148,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
659,1980,341,0,2,6,24,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,3,139,0,140,0,1,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0
669,2029,323,0,2,5,34,1,0,0,2,3,0,1,0,0,0,2,0,0,0,0,1,0,1,151,0,98,0,1,5,1,0,0,0,4,0,0,3,1,0,0,0,0,0,0,7,0
679,2061,319,0,1,4,44,0,0,0,0,4,0,0,3,1,0,0,14,0,0,0,2,0,1,82,0,143,0,0,6,3,0,1,1,0,0,0,3,1,0,0,0,0,0,0,5,0
689,2092,344,0,4,6,31,0,0,0,3,7,0,0,0,0,0,0,4,0,0,1,2,0,0,112,0,162,1,0,6,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0
699,2124,348,0,0,5,21,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,2,108,0,190,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,0
709,2155,332,0,1,8,36,4,0,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,1,100,0,162,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0
719,2187,333,1,0,0,22,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,2,113,0,174,1,0,3,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,3,0
729,2219,332,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,127,0,151,0,0,4,1,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0
739,2276,343,1,2,4,31,0,0,0,0,4,0,0,1,0,0,2,6,0,0,2,0,0,3,98,0,173,0,0,2,2,0,2,1,4,0,0,0,1,1,0,0,0,0,0,3,0
749,2351,293,0,2,2,19,0,0,0,0,7,0,0,0,0,0,0,4,1,0,1,0,0,1,76,0,163,0,0,4,1,0,1,0,2,0,0,1,4,0,0,0,0,0,0,4,0
759,2427,294,0,0,5,23,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,3,140,0,110,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0
769,2502,369,5,3,7,35,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,2,1,5,101,0,187,0,0,2,1,0,2,0,2,0,0,2,1,0,0,0,0,0,0,4,0
779,2577,365,1,0,10,18,0,1,0,0,0,0,0,4,1,0,0,7,2,0,0,0,1,2,118,0,196,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
789,3075,333,1,1,2,30,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,2,0,1,92,0,183,0,1,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0
799,3620,332,1,0,5,39,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,4,138,0,128,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
809,4165,299,1,0,0,10,0,1,0,0,0,0,0,3,0,0,1,4,0,0,3,0,0,0,105,0,159,0,0,1,0,0,1,0,3,0,0,2,3,0,0,0,0,0,0,2,0
819,4710,327,0,2,1,31,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,3,88,0,183,1,0,1,0,0,1,0,2,0,0,4,1,1,0,0,0,0,0,3,0
