"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Aquatics.undiff.","Arceuthobium","Artemisia","Asteraceae.undiff.","Betula","Brasenia.schreberi","Cannabaceae","Carya","Castanea","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liliaceae","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polypodium.type","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vitis"
700,8665,0,0,5,4,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,6,1,1,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,4,1,1,37,38,3,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0
720,9032,2,0,3,8,1,0,0,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,1,2,2,0,0,0,2,0,8,2,4,2,60,66,1,0,0,1,0,0,14,2,0,0,1,0,0,0,3,0,0,14,0,2,0,0
740,9399,4,0,5,6,0,0,0,0,0,0,17,1,0,1,0,0,0,1,0,0,3,2,1,1,5,0,0,0,0,0,2,4,0,0,3,6,0,0,2,4,1,78,28,1,0,0,2,0,0,19,0,0,0,0,0,0,0,1,0,1,10,0,4,1,2
760,9766,3,0,1,1,1,0,0,0,1,0,6,3,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,5,98,54,0,1,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
780,10133,9,0,3,5,1,0,0,0,0,2,43,5,0,0,0,0,2,1,0,0,0,3,3,1,9,1,0,0,0,0,1,3,0,0,0,1,0,0,5,2,11,114,115,2,0,0,1,0,0,39,0,0,0,0,0,1,0,1,0,0,40,1,5,2,0
800,10500,7,0,2,5,0,1,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,2,3,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,9,108,83,1,0,0,3,0,0,37,0,0,0,0,0,0,0,1,0,1,5,2,2,1,0
810,10683,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,11,38,82,1,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
820,10867,7,2,12,14,2,2,0,0,1,2,37,0,0,2,0,0,3,4,0,3,2,9,5,1,17,0,0,0,0,0,1,13,0,0,0,1,0,0,20,11,73,287,289,2,2,0,2,0,0,76,0,0,0,0,0,0,0,1,0,0,16,1,6,0,0
830,11050,0,0,0,4,0,0,0,0,5,0,23,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,27,20,93,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
840,11115,5,0,0,3,0,0,0,0,0,0,13,0,0,1,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,7,22,64,50,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
860,11244,14,0,4,8,0,3,0,0,0,0,39,2,0,0,0,0,2,1,0,0,1,6,1,0,4,1,0,0,0,0,1,5,0,0,0,0,0,0,8,26,74,148,173,0,0,0,1,0,0,59,0,0,0,0,0,0,0,0,0,0,4,0,6,1,0
880,11373,5,0,1,3,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,35,45,39,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0
900,11503,23,1,3,7,1,3,0,0,0,2,55,1,0,1,1,0,3,1,0,0,2,4,1,0,14,0,0,0,0,0,4,7,0,0,1,0,0,0,12,32,72,103,175,1,1,0,4,0,0,36,0,0,1,0,0,1,0,1,0,0,10,0,9,2,0
920,11632,10,0,2,3,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,4,12,36,35,47,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0
940,11762,9,0,0,6,0,0,0,0,0,1,18,0,0,0,0,0,0,3,0,0,2,2,0,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,5,14,22,24,43,0,1,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0
960,11891,24,0,5,12,0,0,0,0,0,4,39,0,0,0,0,0,3,5,0,0,1,1,2,0,14,0,0,0,0,0,8,31,1,0,0,0,0,0,5,97,26,39,94,0,6,0,3,0,0,31,0,0,1,0,0,5,0,1,0,0,4,1,8,1,0
980,12020,3,0,0,6,1,2,0,0,0,1,21,0,0,0,0,0,1,7,1,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,2,74,15,5,20,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0
1000,12150,12,0,0,5,1,1,0,0,2,5,20,0,0,0,0,1,0,13,0,0,0,1,1,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,215,40,7,38,0,8,0,2,0,0,13,0,0,0,0,0,1,0,6,0,0,0,3,1,0,0
1010,12214,0,0,2,3,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,3,2,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,9,39,13,2,40,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
1020,NA,8,0,0,0,1,0,0,0,6,11,15,0,0,0,0,0,5,10,0,1,2,5,0,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,4,54,14,5,18,0,3,0,2,0,0,11,0,0,0,0,0,2,0,1,0,0,2,0,1,2,0
