"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Tsuga.canadensis","Picea.undiff.","Pinaceae","Betula.undiff.","Taxus","Pinus.strobus","Fraxinus.pennsylvanica.type","Picea.glauca.type","Castanea.dentata","Prunus","Juglans.cinerea","Ostrya.Carpinus","Salix","Tilia","Rosaceae.undiff.","Amaranthaceae","Ilex.Nemopanthus","Pinus.banksiana.type","Ambrosia.type","Caryophyllaceae","Shepherdia.canadensis","Juniperus.communis.Thuja.occidentalis.type","Rhamnus.alnifolia.R..frangula","Thalictrum","Carya.ovata","Betula","Acer.pensylvanicum","Viburnum","Populus.balsamifera.type","Epilobium","Ranunculaceae.undiff.","Oxytropis.maydelliana.type","Saxifraga.cernua.type","Liliaceae","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Koenigia.islandica","Polygonum.viviparum","Caprifoliaceae.undiff.","Saxifraga.oppositifolia.type","Brassicaceae","Pedicularis"
50,1064,320,1,1,23,1,1,1,1,2,2,2,3,29,2,1,2,1,1,2,20,6,4,2,6,8,13,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1596,256,1,0,7,2,0,1,0,4,2,1,6,24,2,0,2,2,1,4,4,4,0,0,3,5,7,170,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2128,228,1,0,9,1,0,2,0,7,3,0,10,16,0,4,0,1,0,3,7,1,2,1,0,4,6,142,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2660,194,0,0,5,1,0,0,0,2,1,0,8,24,0,1,0,1,0,2,15,3,1,0,2,5,5,112,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3192,768,2,0,17,2,1,5,2,14,9,0,23,62,1,12,0,0,0,7,28,7,8,2,6,20,14,472,0,39,1,1,0,0,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3724,359,2,1,11,1,1,0,1,9,3,0,10,34,1,1,0,1,0,1,8,4,0,1,3,7,11,232,0,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4256,807,0,2,11,3,1,0,3,2,14,0,20,48,0,20,0,4,0,7,13,9,16,5,2,13,10,532,0,45,2,9,0,0,2,5,0,0,1,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,4789,360,1,0,12,2,0,1,0,4,6,1,5,44,1,2,0,0,0,1,11,8,0,1,1,7,6,230,3,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5321,810,4,0,15,5,0,2,1,4,5,0,12,72,7,14,1,12,1,3,22,14,5,1,4,13,9,516,0,48,3,4,0,0,1,2,1,0,0,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5853,507,0,0,22,12,0,4,0,2,3,1,9,72,0,8,2,0,4,3,9,3,4,1,4,7,14,277,1,42,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6385,755,3,2,19,3,1,2,0,3,10,3,19,64,10,7,1,1,1,1,17,8,6,3,16,11,10,471,1,50,2,1,0,0,0,2,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,6917,387,1,1,8,5,2,1,0,1,9,2,5,75,0,7,0,2,0,3,16,5,7,0,13,6,14,178,0,22,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7449,382,1,1,4,3,0,1,0,1,5,0,14,37,4,4,2,2,0,1,14,3,2,0,7,3,7,191,0,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
