"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Brasenia.schreberi","Brassicaceae","Cabomba","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Haloragaceae.undiff.","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Leitneria.floridana","Lemnaceae","Liliaceae","Liquidambar","Lonicera","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Populus","Potamogeton","Potamogetonaceae.undiff.","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rhus","Rubiaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Saxifragaceae","Sparganium.type","Sphagnum","Spiraea.type","Thalictrum","Tilia","Trees.undiff.","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis","Xanthium"
40,1,0,0,0,0,13,4,68,0,3,0,4,0,0,20,0,0,1,0,13,0,0,0,0,3,1,0,0,6,0,0,0,0,0,1,4,0,19,0,40,0,0,8,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,22,5,7,0,0,14,0,152,63,0,11,0,0,0,7,0,0,0,68,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1
45,51,0,0,0,0,6,1,16,1,6,2,14,0,1,2,0,0,0,0,14,0,2,0,2,1,0,0,0,19,0,0,0,1,0,0,2,0,10,0,25,0,0,12,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,5,1,0,5,1,4,8,6,0,0,23,0,171,34,1,26,0,0,0,0,0,0,0,57,0,1,0,2,4,0,1,7,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0
50,101,0,0,0,0,1,2,12,0,5,0,2,0,1,1,0,0,0,0,5,0,0,0,2,0,0,1,0,10,0,0,4,1,0,2,1,0,1,1,11,0,0,2,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,5,3,0,3,0,2,1,0,0,0,9,1,204,0,1,14,0,0,0,0,0,0,0,60,0,0,0,0,2,1,5,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
55,151,0,0,0,0,4,2,14,1,13,0,5,0,1,5,0,0,0,0,4,0,0,0,0,1,0,0,1,23,0,0,0,1,0,1,3,0,7,0,23,0,1,16,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,6,1,0,3,0,5,13,4,0,0,7,1,190,1,0,10,0,0,1,1,0,0,0,63,0,1,0,1,0,0,1,5,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1
60,201,0,1,0,0,1,0,9,0,19,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,2,0,3,0,19,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,1,0,1,0,2,0,3,0,0,10,1,206,1,0,7,0,0,0,0,0,0,0,60,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
65,366,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,3,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0,0,3,0,0,10,3,0,0,22,0,219,0,0,10,0,0,0,1,0,0,0,57,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
75,722,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,1,0,0,2,16,2,0,0,0,0,13,0,185,0,0,27,0,0,0,0,0,0,1,58,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
85,1079,0,0,0,0,2,1,2,0,3,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,8,0,0,0,4,0,0,3,0,0,0,32,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,26,0,0,0,0,4,1,2,0,1,0,0,52,0,150,0,0,7,0,0,2,0,0,0,0,72,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1
95,1544,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,10,0,0,0,3,0,0,2,0,3,0,26,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,3,0,0,12,1,0,2,4,0,0,11,0,210,0,0,27,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
105,2120,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,4,0,3,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,3,0,0,3,0,1,0,1,0,0,10,0,209,0,0,32,0,0,0,0,0,0,0,51,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,1,0
115,2696,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,2,0,0,4,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,15,5,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,19,0,0,0,0,7,2,0,0,1,0,0,12,0,233,0,1,42,0,0,0,0,0,0,0,57,0,0,0,0,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
