"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Dryas","Dryopteris","Equisetum","Ericaceae.undiff.","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
140,6082,2,1,0,4,0,22,2,1,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,2,1,3,0,0,6,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,4,2,0,38,23,0,3,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,34,1,0,7,0,3,1,0,0,0,0,0,0
150,6452,8,1,0,4,1,18,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,16,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,5,8,4,0,37,40,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,13,0,0,6,0,18,0,0,0,0,0,0,0
160,6814,8,0,0,3,1,18,1,0,0,0,0,0,1,0,0,287,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2,5,1,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,43,43,0,4,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,14,0,1,1,1,15,1,0,0,0,0,0,0
180,7515,8,0,0,6,0,19,6,0,0,0,0,1,0,0,1,175,0,0,0,0,1,0,1,0,0,2,5,0,0,0,0,2,0,0,4,3,1,0,0,1,11,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,11,6,10,1,88,60,0,3,0,0,2,0,0,0,2,0,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,3,0,0,2,1,12,4,0,0,0,0,0,1
200,8185,10,1,0,2,1,2,3,0,0,0,0,0,2,0,0,143,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,2,0,0,2,3,0,0,0,0,14,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,4,11,5,2,75,45,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,5,0,0,2,0,20,1,0,0,0,0,0,0
220,8825,14,0,0,1,1,7,25,0,2,0,0,0,0,0,0,326,0,0,0,0,1,0,2,0,0,2,11,0,0,0,0,0,0,0,0,3,1,0,0,2,54,1,3,0,0,2,0,4,2,0,4,0,0,0,0,0,0,0,0,12,8,24,0,60,88,0,1,0,0,7,2,0,0,0,0,13,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,7,0,1,2,0,2,5,0,44,6,0,0,0,0,0,0
230,9133,15,0,0,2,2,1,16,1,1,0,0,2,3,0,0,314,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,8,1,0,0,0,15,0,4,0,0,5,0,1,2,0,4,0,0,0,0,0,1,0,0,10,7,39,0,20,37,0,2,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,1,2,0,0,3,0,17,1,0,0,0,0,0,0
240,9434,25,0,0,3,0,4,17,2,0,0,0,5,2,1,0,331,0,0,0,0,0,0,2,0,0,2,6,0,0,1,0,0,0,0,0,8,1,0,0,0,47,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,11,3,54,0,29,16,0,5,0,0,3,3,0,0,0,0,25,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,5,2,0,1,0,0,0,0,0,0
250,9726,20,0,0,1,3,6,36,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,2,4,1,1,0,0,28,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,8,6,30,0,19,28,0,1,0,1,9,3,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,23,5,0,0,0,0,0,0
260,10012,27,0,0,2,0,1,29,0,0,0,0,1,3,0,0,261,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,1,0,0,1,0,2,0,0,6,0,1,0,0,0,2,0,0,19,5,26,0,21,5,0,3,0,0,9,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0
265,10151,13,0,0,1,0,5,21,1,1,0,0,0,1,0,0,212,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,20,0,3,2,0,1,0,3,0,0,1,0,1,0,0,0,4,0,0,13,8,20,0,3,6,0,0,0,1,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,0,0
270,10289,8,0,0,0,0,3,88,0,2,0,0,2,0,0,0,210,0,0,0,1,1,0,5,0,0,1,5,0,0,0,0,0,0,0,2,2,1,0,0,0,31,0,1,2,0,2,0,4,1,0,3,0,0,0,0,0,3,0,0,23,7,19,0,7,6,0,5,0,2,14,1,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,1,0,0,0,0
275,10425,5,1,0,2,0,3,136,1,0,0,0,2,4,0,0,194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,37,0,1,1,0,1,0,5,1,0,1,0,0,0,0,0,1,0,0,39,18,31,0,8,7,0,4,0,2,31,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0,0,0,0,2,0,0,0,0
280,10559,0,0,0,3,0,2,159,0,0,0,0,1,2,0,0,103,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,1,0,0,0,19,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,7,27,25,22,0,3,6,0,3,0,0,9,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,5,1,0,0,0,0,0,0
285,10691,0,0,0,0,1,2,13,1,2,0,0,2,1,0,0,91,0,0,0,0,0,0,1,0,0,4,14,0,0,0,0,0,0,0,0,6,1,0,0,0,40,0,17,0,0,1,0,9,3,0,1,0,0,1,0,0,6,0,0,39,35,17,0,19,34,0,5,0,5,33,1,0,0,0,0,44,0,1,0,1,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,3,0,0,12,2,11,2,0,0,0,0,0,0
290,10821,0,0,0,1,0,1,8,0,0,0,0,3,1,0,0,127,0,0,0,0,0,0,2,0,0,2,11,0,0,0,0,1,0,0,0,2,0,0,0,0,44,0,19,3,0,0,0,9,6,0,3,0,0,0,0,0,4,0,0,44,16,20,0,17,6,0,5,0,6,89,1,0,0,0,0,32,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,2,2,0,4,1,3,0,0,3,0,0,0,0
295,10949,1,0,0,0,1,1,5,2,0,0,0,2,3,0,4,113,0,0,0,0,2,0,0,0,0,0,22,1,0,0,1,0,0,0,0,4,1,1,0,1,31,0,65,2,0,1,0,18,0,0,4,0,0,2,0,0,2,0,1,4,5,23,1,9,6,0,6,0,0,58,0,0,0,0,0,15,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,19,2,0,2,0,0,0,1
