"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae.undiff.","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rubus","Salix","Taxodium","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","cf..Fabaceae","Chenopodium.type","Cyperaceae","Galium","Humulus.type","Iva.annua.type","Lamiaceae","Other.herbs","Poaceae.undiff.","Polygonum.lapathifolium.type","Rosaceae.undiff.","Rumex","Saxifragaceae","Urtica.type","Xanthium","Zea.mays"
182,271,765,2,0,1,2,1,5,0,0,1,0,0,9,3,0,2,6,3,1,146,0,0,1,0,1,5,5,77,0,13,0,1,7,5,93,0,0,8,0,0,50,71,0,0,6,1,201,33,2,1,1,0,0,0,1
228,405,790,0,0,0,1,3,15,0,1,0,0,0,4,2,0,0,5,0,0,139,0,0,0,0,5,16,0,70,0,8,0,0,9,1,16,0,0,1,1,2,6,14,0,5,1,0,249,216,0,0,0,0,0,0,0
253,486,866,0,3,4,1,7,39,0,2,1,0,0,4,1,2,1,1,0,0,334,0,0,2,0,24,25,0,186,0,22,0,0,8,1,42,0,2,1,0,2,8,9,0,1,1,0,95,37,0,0,0,0,0,0,0
314,710,833,1,1,1,1,3,28,0,3,1,0,0,4,2,0,1,1,1,0,243,1,0,2,2,17,14,0,133,0,17,0,0,10,0,22,0,0,3,0,1,12,15,0,1,0,0,166,126,0,0,0,0,0,0,0
354,877,335,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,47,0,0,1,0,30,0,0,6,0,0,1,0,0,0,20,0,4,14,0,0,60,9,0,0,0,0,117,17,0,1,0,0,1,0,0
362,912,752,0,1,0,0,0,13,1,0,2,0,1,0,4,0,1,2,3,0,131,0,0,1,0,19,3,0,73,1,4,0,0,3,0,24,1,5,4,0,0,43,63,4,0,9,1,214,117,0,0,0,1,2,1,0
404,1106,810,1,0,0,0,0,15,0,0,1,0,0,2,1,0,0,2,2,0,144,0,0,1,2,8,4,0,98,0,5,0,0,2,1,47,0,1,6,0,1,46,18,1,0,15,1,252,131,2,0,0,0,0,0,0
420,1185,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
468,1435,916,0,0,0,1,4,9,0,0,0,7,0,0,3,0,1,1,0,1,134,0,0,0,0,11,0,3,77,0,14,0,0,1,3,62,0,4,5,0,0,28,16,1,0,3,0,318,204,1,0,0,0,3,1,0
515,1702,374,0,0,0,2,0,5,0,0,0,0,0,0,8,0,0,0,0,0,56,0,0,0,0,9,0,0,29,0,3,0,0,0,0,33,0,2,1,0,0,7,29,0,0,0,0,117,56,0,0,0,0,16,1,0
