"sample.depths","sample.ages","Abies","Acer.rubrum","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.nigra","Larix","Lycopodium.type","Myrica","Ostrya.Carpinus","Picea","Pinus","Poaceae","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella.rupestris","Selaginella.selaginoides","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
1,-2,16,0,222,2,2,0,1,60,0,9,4,2,51,0,0,4,20,0,113,5,4,2,0,3,2,2,1,0,4,2,0,0,0,3
11,301,23,0,54,2,0,0,1,22,0,4,0,0,10,0,0,0,10,0,98,4,0,0,0,0,0,1,0,0,1969,0,0,0,0,0
21,604,22,0,34,2,0,0,0,57,0,9,1,0,66,0,1,0,4,0,81,3,0,0,0,1,0,0,0,0,313,0,0,1,0,0
31,907,20,0,52,0,0,1,0,22,0,16,2,0,11,1,1,0,4,1,97,5,0,1,2,0,0,0,0,0,176,0,0,1,0,2
41,1210,17,0,50,0,0,1,0,41,0,12,0,0,17,0,1,0,1,2,96,5,2,0,1,0,0,5,0,0,41,0,0,0,0,2
51,1513,13,0,76,0,0,2,0,60,0,12,9,0,26,0,0,4,7,1,94,6,2,1,93,1,0,0,0,0,41,0,0,0,0,3
61,1816,19,0,65,0,0,0,0,41,0,5,2,0,10,0,1,0,0,0,93,8,0,0,54,0,0,0,0,0,347,1,0,0,0,3
71,2119,17,0,22,3,0,0,1,34,0,2,1,0,245,0,0,8,6,0,114,17,0,0,1,0,0,0,0,0,182,0,0,0,0,0
81,2422,25,0,55,0,0,0,0,64,0,93,1,0,12,2,2,0,33,0,105,7,8,2,0,0,0,7,0,0,27,0,0,0,0,3
91,2918,26,0,26,0,2,0,0,27,0,4,1,0,5,0,4,2,14,0,168,9,0,0,0,0,0,7,0,40,9,0,0,0,0,4
101,3449,30,0,9,0,0,0,2,21,0,10,1,0,0,0,3,0,4,0,146,9,4,0,0,0,0,3,0,0,27,0,0,0,0,0
111,3979,27,0,4,0,0,0,2,26,1,9,3,0,2,0,3,0,231,0,130,14,0,2,0,0,0,3,0,7,6,0,0,0,0,0
121,4510,30,0,22,0,0,1,1,24,0,7,5,0,0,0,5,1,18,0,183,7,1,2,0,0,0,1,0,30,2,0,0,0,1,0
131,5040,27,0,37,0,0,0,0,23,0,3,2,0,0,0,2,2,21,0,161,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
141,5571,28,0,41,0,0,0,0,28,0,2,9,0,0,0,1,4,14,0,171,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3
151,6101,33,0,8,0,1,0,0,28,0,2,13,0,0,0,13,0,16,0,153,7,1,0,0,0,2,0,0,0,0,1,0,0,0,3
161,6632,30,0,11,0,0,0,0,56,0,0,25,0,1,0,4,4,26,0,153,9,2,1,0,0,13,0,0,0,0,0,0,0,0,2
171,7162,34,1,14,1,0,0,2,51,0,2,207,0,2,0,1,2,22,0,168,12,1,2,0,0,3,0,0,0,2,0,0,0,0,3
