"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Ailanthus","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Euphorbiaceae","Fabaceae","Fagus","Fraxinus","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium","Morus","Myrica","Myriophyllum","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Populus","Quercus","Ranunculus","Rhamnus","Rosaceae","Rumex","Salix","Sambucus","Saxifraga","Scrophulariaceae","Selaginella","Solanaceae","Sphagnum","Tilia","Tsuga","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Violaceae","Vitis"
1,-25,20,2,2,2,0,0,28,2,40,0,2,0,4,0,102,0,0,16,42,0,0,0,4,2,0,0,6,0,8,10,0,0,2,0,0,0,0,2,0,0,4,2,10,22,34,0,0,8,4,36,4,250,0,0,2,4,4,0,0,2,0,0,0,2,20,0,12,10,6,2,0,2,2
7,5,0,0,0,0,2,0,38,0,78,0,0,0,4,0,110,0,0,0,58,0,0,0,0,6,4,2,0,0,16,10,4,0,0,2,0,0,2,0,0,14,0,12,8,6,66,4,2,0,0,36,0,312,2,0,0,16,4,2,0,0,0,0,6,0,54,0,18,10,6,0,0,0,0
10,20,0,0,0,0,8,0,12,2,52,0,2,2,2,0,102,0,0,16,96,0,0,2,4,2,0,4,0,2,6,6,0,0,2,0,0,0,2,0,0,0,2,8,0,8,50,2,0,0,0,14,0,224,2,0,0,8,2,2,0,0,0,0,0,0,40,0,10,8,0,0,0,0,0
14,40,0,0,4,2,0,2,18,0,50,0,0,0,2,0,72,0,0,26,62,0,0,0,4,6,0,4,0,0,4,4,2,0,0,0,0,0,0,0,2,0,0,0,6,2,40,0,0,0,0,12,0,206,0,0,4,14,2,0,0,0,0,0,0,0,34,20,10,2,0,0,0,0,2
19,65,2,0,0,0,6,0,38,4,80,0,0,0,6,0,94,2,0,14,68,0,2,0,0,0,0,0,0,0,14,6,2,4,0,0,4,2,0,2,0,0,6,0,0,6,44,2,0,0,0,24,0,182,0,0,4,14,0,0,0,0,0,0,0,0,38,0,8,14,2,0,0,0,0
24,90,0,0,6,2,0,0,16,2,58,0,0,2,4,0,92,0,0,10,68,0,0,0,0,4,0,4,0,2,4,2,2,0,0,0,0,0,0,0,2,0,4,2,2,2,52,2,0,0,2,28,0,216,0,0,2,10,0,0,0,0,0,2,4,0,30,0,4,6,0,2,0,4,2
28,110,0,4,8,8,0,0,36,2,76,0,0,2,10,2,94,0,0,8,94,0,4,0,0,26,4,2,0,6,12,2,6,0,2,0,0,0,0,2,0,0,6,2,0,6,24,0,0,0,2,14,6,144,2,2,0,14,0,0,0,0,2,0,6,2,10,0,10,6,0,2,0,0,0
33,135,0,0,4,0,0,0,16,0,52,0,2,0,4,0,104,0,0,0,96,6,0,0,8,10,2,0,0,0,16,10,4,4,0,0,0,0,0,0,0,0,4,0,0,0,32,4,4,0,2,30,2,198,0,0,0,14,0,0,0,0,0,0,2,0,12,0,12,2,0,0,0,0,0
37,155,0,8,2,4,0,0,32,0,46,0,2,0,4,0,56,0,0,18,68,0,0,0,2,2,4,2,0,0,12,8,4,2,0,0,4,0,0,2,0,0,4,0,2,18,46,0,0,0,0,30,4,210,2,2,0,10,2,0,0,0,0,0,0,2,54,0,6,8,2,0,0,0,0
41,175,0,0,4,4,0,0,0,0,44,0,0,0,2,0,82,0,0,16,112,2,0,0,0,0,0,0,0,0,14,8,0,2,0,0,4,0,0,0,0,0,6,2,2,4,46,0,0,0,2,22,2,244,0,0,0,12,2,0,0,0,0,0,0,0,36,0,2,2,0,0,0,0,0
46,297,0,0,0,2,14,2,64,0,6,0,4,2,0,0,136,0,0,64,122,0,0,0,6,12,0,18,0,0,42,20,6,0,4,0,8,0,0,0,0,0,8,0,6,70,60,2,0,0,0,0,2,478,0,0,0,2,2,0,2,2,0,0,0,0,112,0,12,0,0,0,0,0,0
49,459,0,0,10,6,0,0,30,0,4,0,0,0,2,0,112,0,0,32,252,2,0,0,2,0,0,4,0,0,24,10,2,0,0,0,2,0,0,2,0,0,0,2,10,2,64,0,0,0,0,4,0,406,0,0,0,2,0,0,0,0,0,0,4,4,50,0,8,6,0,0,0,0,0
53,674,0,0,2,4,0,0,24,0,2,0,0,0,0,0,64,0,0,22,182,0,0,0,2,4,2,4,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,2,4,0,240,0,2,0,0,0,0,0,0,0,0,0,0,36,0,6,6,2,4,0,0,0
55,782,0,12,8,6,0,0,50,0,6,2,0,0,0,0,100,0,2,52,170,0,2,0,4,0,2,2,0,0,26,2,2,0,2,0,0,0,0,0,0,0,4,0,2,4,56,0,0,0,0,2,0,438,0,0,0,2,6,0,0,0,0,0,0,4,66,0,14,8,0,0,0,2,0
62,1159,0,0,6,4,0,0,22,0,0,0,0,0,0,0,72,0,0,36,66,0,2,0,0,2,2,4,0,0,20,16,2,0,0,0,0,0,0,2,0,0,6,2,0,0,28,0,0,0,0,0,4,294,0,0,6,0,0,0,0,0,0,0,0,2,24,0,8,2,4,0,2,4,2
68,NA,2,0,0,0,24,0,22,0,0,2,0,0,10,0,80,2,0,34,90,0,0,0,8,2,0,10,0,0,40,4,2,0,0,0,0,2,0,0,0,0,4,4,2,24,92,0,0,0,0,10,0,462,0,0,2,0,0,8,0,0,0,0,2,0,82,0,18,10,4,0,0,0,0
