"sample.depths","sample.ages","Abies","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nuphar","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
1,-28,2,21,0,2,2,34,0,1,0,93,4,1,0,6,3,4,0,13,2,1,0,2,0,1,1,1,2,1,0,8,2,26,1,0,30,3,0,0,25,1,0,1,0,0,0,0,0,1,0,0,0,1,5,0,6,2,1
20,1,2,19,0,2,4,76,2,2,0,152,0,0,0,10,4,2,0,27,4,5,0,3,0,0,0,0,0,0,0,7,1,20,5,0,38,3,0,0,18,0,3,3,2,5,2,0,0,1,0,0,0,4,5,1,16,4,0
40,31,1,11,0,2,3,52,2,1,1,121,1,1,0,8,1,1,0,7,2,0,0,4,1,0,0,0,0,0,0,5,1,8,1,0,32,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,4,10,0,6,3,0
60,62,2,10,1,2,3,45,0,3,0,77,0,0,0,4,1,1,0,13,1,4,0,1,0,0,0,0,0,0,0,10,3,17,1,0,24,1,0,0,11,0,0,8,0,4,0,0,0,0,0,0,0,2,36,0,19,6,0
80,93,6,19,0,1,0,8,0,0,0,91,1,0,0,4,0,0,0,33,0,0,0,2,0,0,0,0,2,0,0,5,3,35,0,1,6,0,0,0,10,0,0,5,0,0,0,26,0,0,0,0,0,2,45,0,23,1,0
90,130,3,16,0,2,0,3,1,0,0,88,2,0,0,17,0,1,0,40,2,1,0,2,0,0,0,0,0,0,0,11,0,15,0,2,2,0,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1,54,0,19,1,0
100,190,2,20,0,1,1,0,1,0,0,90,1,0,0,6,0,0,0,38,2,0,0,1,0,0,0,0,0,0,0,15,2,27,0,0,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,5,37,0,33,0,0
120,309,2,19,0,2,0,0,1,1,0,112,3,0,0,6,2,0,0,30,4,3,0,1,0,0,2,0,0,1,0,15,1,27,0,2,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,20,1,22,2,0
140,428,1,26,0,2,0,2,2,0,0,62,4,0,0,0,0,4,0,37,2,1,0,7,0,0,4,0,1,0,0,27,3,27,0,0,0,1,0,0,22,0,1,0,2,0,0,0,0,0,1,0,0,7,36,0,31,0,0
160,546,1,16,0,2,0,3,0,1,0,96,2,0,0,1,0,1,0,28,2,3,0,4,0,0,1,0,1,0,0,27,1,10,0,1,1,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,4,52,0,30,1,0
180,665,0,16,0,1,1,1,0,1,0,84,2,0,0,12,0,1,0,35,2,3,0,5,0,1,0,0,0,0,0,19,2,18,0,2,1,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,8,31,0,38,0,0
200,784,1,21,0,3,0,1,0,0,0,76,0,0,1,10,0,0,0,40,2,2,0,2,0,0,0,0,1,2,0,9,1,10,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,60,0,37,0,0
220,903,3,21,0,1,0,1,0,0,0,56,0,0,0,26,1,0,0,36,9,5,0,4,0,0,1,0,0,0,0,10,0,8,0,1,0,1,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,5,44,0,43,3,0
240,1033,4,35,0,2,0,2,0,0,0,39,5,0,0,6,3,0,0,58,5,3,0,3,0,0,1,0,0,0,0,14,3,14,0,1,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,6,42,0,36,3,1
260,1195,2,28,0,0,0,1,1,0,0,32,1,0,0,8,1,1,0,62,7,2,0,3,0,0,1,0,0,0,0,10,4,12,0,4,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,9,74,0,22,3,0
280,1357,0,24,0,2,1,0,2,0,0,41,0,0,0,6,1,0,0,93,5,2,0,4,0,0,0,0,0,0,1,17,2,15,0,0,0,1,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,10,32,0,31,3,0
300,1519,2,27,0,0,0,0,1,0,0,42,1,0,0,8,1,0,0,86,1,3,0,6,0,0,0,0,0,0,0,7,1,15,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,30,2,0
320,1681,2,26,0,0,0,0,0,1,0,45,2,0,0,21,0,0,0,77,0,2,1,2,0,0,0,0,1,0,0,9,1,19,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,48,0,24,0,0
340,1843,3,26,0,0,0,1,0,0,0,49,4,0,0,2,2,1,0,105,0,5,0,5,0,0,0,0,0,0,0,15,1,15,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,21,2,0
360,2004,1,35,0,0,0,1,1,1,0,46,0,0,0,5,0,1,0,102,1,1,0,4,0,0,0,1,0,0,0,4,1,10,0,2,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,23,0,0
380,2166,2,21,0,0,0,0,0,0,0,40,4,0,0,5,0,0,0,87,4,2,0,3,0,0,0,0,0,0,0,7,0,22,0,1,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,4,25,0,51,0,0
400,2328,2,34,0,0,0,0,0,0,0,56,2,0,0,3,0,1,0,75,1,3,0,2,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,1,2,49,0,41,0,0
420,2490,3,36,0,2,0,0,0,1,0,51,5,0,0,7,0,1,0,63,4,2,0,1,0,0,2,0,1,0,0,11,2,13,0,1,1,1,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,2,40,0,39,0,0
440,2652,1,40,0,1,0,2,2,0,0,61,0,0,0,16,0,0,0,50,3,1,0,4,0,0,0,0,0,0,0,13,0,14,0,4,1,0,0,1,20,0,0,0,0,0,0,0,0,2,0,0,0,1,42,0,33,1,0
460,2814,2,10,0,2,0,1,0,1,0,43,3,0,0,14,2,0,0,58,8,1,0,2,0,0,1,0,0,0,0,26,1,11,0,1,1,4,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,3,56,0,31,2,0
480,2976,1,32,0,1,0,1,1,0,0,50,2,0,0,1,0,0,0,49,5,2,0,3,0,0,0,1,0,0,0,14,0,15,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,40,0,0
500,3138,2,28,0,2,0,0,1,0,0,104,8,0,0,3,0,0,0,36,0,3,0,1,0,0,0,0,0,0,0,17,1,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,7,31,0,30,0,0
520,3300,1,21,0,3,0,0,0,0,0,107,1,0,0,16,0,0,0,51,8,1,0,2,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,21,1,0
