"sample.depths","sample.ages","Abies","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Larix","Picea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Populus","Poaceae","Plantago","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Ostrya","Fraxinus.nigra","Fraxinus.americana","Acer.rubrum","Artemisia","Carya","Juglans.nigra","Juglans.cinerea","Ericaceae","Tilia","Corylus","Sarcobatus.vermiculatus","Myrica","Apiaceae","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Thalictrum","Ephedra.nevadensis.type"
1,-15,0.00833333333333333,0.270833333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.0291666666666667,0.0208333333333333,0.00416666666666667,0.0541666666666667,0.00416666666666667,0.00416666666666667,0.0833333333333333,0.00416666666666667,0.0291666666666667,0.0541666666666667,0.0541666666666667,0.00833333333333333,0.0125,0.00416666666666667,0.0416666666666667,0.0125,0.216666666666667,0.0333333333333333,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,266,0.0173913043478261,0.278260869565217,0,0.00434782608695652,0.00434782608695652,0.0130434782608696,0.00869565217391304,0.0260869565217391,0,0.0434782608695652,0.0130434782608696,0,0.0695652173913043,0.00434782608695652,0.0260869565217391,0.0173913043478261,0.0391304347826087,0,0.0434782608695652,0.00434782608695652,0.0608695652173913,0.00434782608695652,0.28695652173913,0.0130434782608696,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,562,0.00476190476190476,0.314285714285714,0,0.0285714285714286,0,0.0619047619047619,0.0142857142857143,0.0142857142857143,0,0.0142857142857143,0,0,0.157142857142857,0,0.0380952380952381,0.0380952380952381,0.00476190476190476,0.00476190476190476,0,0,0.019047619047619,0.00476190476190476,0.223809523809524,0,0.0380952380952381,0.0142857142857143,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,858,0,0.322115384615385,0,0.0192307692307692,0.00480769230769231,0.0673076923076923,0,0.00480769230769231,0,0.0192307692307692,0,0,0.105769230769231,0.00961538461538462,0.0528846153846154,0.0144230769230769,0,0,0,0,0.0480769230769231,0.00480769230769231,0.245192307692308,0.0288461538461538,0.00961538461538462,0.0144230769230769,0.00961538461538462,0.00480769230769231,0.00480769230769231,0.00480769230769231,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0
80,1154,0,0.223809523809524,0,0,0.00952380952380952,0.0523809523809524,0.00476190476190476,0.0142857142857143,0.00476190476190476,0.0285714285714286,0,0.00476190476190476,0.185714285714286,0,0.0142857142857143,0.019047619047619,0.00476190476190476,0,0.00476190476190476,0,0.0476190476190476,0,0.323809523809524,0.0238095238095238,0.019047619047619,0,0.00476190476190476,0,0.00476190476190476,0,0,0.00476190476190476,0,0,0,0,0,0,0,0,0,0
100,1450,0,0.278846153846154,0,0.00480769230769231,0.00480769230769231,0.0432692307692308,0.00480769230769231,0.0144230769230769,0,0.0576923076923077,0,0.00480769230769231,0.144230769230769,0.00480769230769231,0.0240384615384615,0.0240384615384615,0,0,0.00480769230769231,0,0.0192307692307692,0.00480769230769231,0.302884615384615,0.0336538461538462,0.00961538461538462,0.00480769230769231,0.00961538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1746,0.00495049504950495,0.277227722772277,0,0.0198019801980198,0.00495049504950495,0.0396039603960396,0.0148514851485149,0.00495049504950495,0,0.0445544554455446,0,0,0.103960396039604,0,0.0445544554455446,0.00495049504950495,0,0,0,0,0.0247524752475248,0,0.366336633663366,0,0.0247524752475248,0.00495049504950495,0.0148514851485149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2042,0,0.151219512195122,0,0.0048780487804878,0,0.048780487804878,0,0.0097560975609756,0,0.0536585365853659,0,0,0.11219512195122,0,0.0682926829268293,0.0048780487804878,0,0.0097560975609756,0.0097560975609756,0,0.024390243902439,0.0048780487804878,0.414634146341463,0.0195121951219512,0.0292682926829268,0.0097560975609756,0.0048780487804878,0,0.0048780487804878,0.0097560975609756,0,0.0048780487804878,0,0,0,0,0,0,0,0,0,0
160,2338,0,0.212871287128713,0,0.0099009900990099,0,0.0643564356435644,0,0.00495049504950495,0,0.0594059405940594,0,0,0.188118811881188,0,0.0247524752475248,0.00495049504950495,0,0,0.00495049504950495,0,0.0445544554455446,0,0.356435643564356,0.0148514851485149,0.00495049504950495,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0
180,2634,0.00495049504950495,0.212871287128713,0,0.00495049504950495,0.00495049504950495,0.0544554455445545,0.00495049504950495,0.0247524752475248,0,0.0198019801980198,0,0,0.0792079207920792,0.00495049504950495,0.0495049504950495,0.00495049504950495,0,0,0,0,0.0247524752475248,0.00495049504950495,0.430693069306931,0.0445544554455446,0.00495049504950495,0,0.0099009900990099,0,0,0.00495049504950495,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0
200,2930,0.0145631067961165,0.203883495145631,0,0,0.00485436893203883,0.0145631067961165,0.00970873786407767,0.0145631067961165,0.00485436893203883,0.029126213592233,0,0.00485436893203883,0.087378640776699,0,0.0436893203883495,0.0194174757281553,0,0,0,0,0.0242718446601942,0.00485436893203883,0.485436893203884,0.0194174757281553,0.00970873786407767,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3226,0.00492610837438424,0.226600985221675,0,0,0,0.0295566502463054,0.00492610837438424,0.00492610837438424,0,0.0197044334975369,0,0,0.0689655172413793,0,0.0147783251231527,0,0,0,0.00492610837438424,0,0.0147783251231527,0,0.541871921182266,0.0492610837438424,0.00985221674876847,0,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0
240,3523,0.00480769230769231,0.211538461538462,0.00480769230769231,0.00961538461538462,0,0.0336538461538462,0.00480769230769231,0.00480769230769231,0,0.0625,0,0,0.0480769230769231,0,0.0240384615384615,0.0240384615384615,0.00480769230769231,0,0,0,0.0192307692307692,0.00480769230769231,0.490384615384615,0.0480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3819,0.00492610837438424,0.206896551724138,0,0,0,0.0246305418719212,0.00492610837438424,0.0246305418719212,0,0.0394088669950739,0,0,0.0295566502463054,0,0,0.00492610837438424,0,0,0,0,0.0246305418719212,0,0.536945812807882,0.0591133004926108,0.00492610837438424,0.00985221674876847,0,0,0.00985221674876847,0.00492610837438424,0,0.00492610837438424,0,0.00492610837438424,0,0,0,0,0,0,0,0
280,4115,0.00485436893203883,0.213592233009709,0,0.00485436893203883,0,0.0242718446601942,0.0145631067961165,0.0145631067961165,0,0.0436893203883495,0,0,0.0339805825242718,0,0.0436893203883495,0.0242718446601942,0,0,0,0,0.029126213592233,0,0.470873786407767,0.0533980582524272,0.0145631067961165,0,0.00485436893203883,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0
