"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula...20.µm.","Betula...25.µm.","Betula..20.25.µm.","Castanea","Cornus","Corylus.type","Cyperaceae","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Indeterminable","Isoëtes","Juglans","Juniperus","Lycopodium","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Poaceae","Polypodiaceae","Populus","Quercus","Rosaceae","Rubiaceae","Salix","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown"
0,-37,14,0,274,0,0,0,0,2,2,2,116,0,0,6,44,0,6,16,0,2,0,38,0,0,2,50,0,0,2,0,0,90,8,2,70,0,2,0,0,0,54,0,2,0,0
5,46,6,0,256,0,0,2,6,0,4,0,168,0,0,22,22,0,10,18,0,0,0,58,0,2,4,38,0,0,4,2,0,58,18,2,68,2,0,0,0,0,90,0,0,0,2
10,129,14,0,252,0,0,0,4,0,4,2,144,0,0,8,26,0,0,4,0,2,2,70,0,2,4,50,0,2,2,0,2,102,16,6,42,2,0,0,0,0,48,0,0,0,0
15,212,14,0,206,0,0,0,4,0,2,0,134,0,2,34,24,0,6,20,0,0,0,44,0,0,0,28,0,2,4,0,2,76,22,0,48,0,0,0,0,2,52,0,0,2,0
20,295,30,0,232,0,0,2,2,0,6,14,154,0,0,12,34,0,10,12,0,2,0,62,2,2,0,46,0,2,2,0,0,72,10,0,82,0,2,0,0,0,58,0,0,0,2
25,378,8,0,240,0,0,0,0,0,0,0,140,0,0,34,20,0,0,16,0,0,0,62,0,0,0,48,0,0,0,0,0,120,18,0,84,0,0,0,0,2,38,0,0,2,6
30,461,46,2,280,0,2,4,2,0,2,12,150,0,0,2,30,0,4,14,0,2,0,44,2,0,2,32,0,0,6,0,0,102,24,0,50,0,0,0,0,4,40,0,0,0,0
35,544,16,0,212,0,0,0,6,0,0,0,136,2,0,22,14,0,0,32,0,4,0,58,0,0,2,26,2,4,4,0,0,112,14,0,80,2,0,0,0,0,34,2,0,0,2
40,627,36,0,206,0,0,0,0,2,6,0,126,0,0,12,42,0,4,12,0,2,0,34,0,2,4,54,0,2,0,0,0,126,24,0,66,0,4,0,0,2,30,0,0,0,0
45,772,22,0,218,2,0,0,0,2,0,0,164,0,0,20,32,0,0,18,0,0,0,46,0,0,0,16,0,0,0,6,2,92,18,2,70,2,0,0,0,0,70,0,0,0,6
