"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","cf..Taxus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Juglans.cinerea","Larix","Populus.tremuloides.type","Taxus","Amaranthaceae","Carya.ovata","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Rosaceae.undiff.","Castanea.dentata","Myrica.gale","Ribes","Viburnum.edule","Morus.rubra.type","Tilia","Acer.saccharinum","Viburnum.undiff.","Salix.herbacea.type","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Impatiens","Liliaceae","Cornus","Shepherdia.canadensis","Potentilla.palustris.type","Prunus.pensylvanica","Rhus.typhina","Saxifraga.cernua.type","Onagraceae.undiff.","Polygonaceae.undiff.","Epilobium","Apiaceae","Brassicaceae","Ranunculaceae","Oxytropis.maydelliana.type","cf..Oxyria.digyna","cf..Diapensia.lapponica"
5,121,481,1,1,12,2,31,1,240,1,2,25,5,1,1,5,2,11,34,17,2,3,5,10,1,14,2,1,29,1,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,606,657,2,0,15,0,4,0,287,0,7,44,5,7,0,2,0,33,52,14,2,8,3,4,2,15,4,2,76,0,0,44,10,1,3,2,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1212,908,5,1,17,3,1,2,417,0,11,72,8,4,0,4,0,26,48,24,1,26,5,13,4,28,2,1,88,0,0,65,6,0,1,4,0,6,0,4,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1585,532,6,1,6,3,0,3,258,0,14,56,6,2,0,1,0,2,30,7,2,10,2,3,1,17,3,0,26,0,0,61,2,0,0,5,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1958,750,4,0,8,0,0,0,373,1,5,71,14,8,0,6,0,1,42,31,0,17,0,8,0,33,2,1,34,0,0,61,11,1,1,4,4,0,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2330,1128,11,0,18,2,2,2,480,0,9,123,6,8,0,6,1,10,87,25,0,26,5,8,8,41,4,1,147,0,0,82,6,0,0,5,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2703,509,4,0,2,1,0,1,237,2,8,52,9,2,0,2,0,0,37,11,1,15,6,4,6,20,1,3,29,0,0,41,2,0,2,2,0,2,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3076,473,1,1,6,2,1,3,207,0,8,44,7,3,0,0,0,3,38,16,4,8,8,5,2,22,1,0,42,0,0,25,2,0,0,2,2,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3449,729,3,0,5,0,4,0,344,1,10,59,15,1,0,1,0,0,70,22,1,13,2,12,1,34,0,1,77,0,0,35,8,0,2,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3821,513,2,0,1,0,1,0,245,0,5,36,6,4,0,4,0,1,43,17,0,5,9,1,4,22,0,0,64,0,0,21,2,0,0,1,3,0,0,1,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
