"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Amorpha.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Pinus","Rubiaceae","Corylus","Thalictrum","Tilia","Urtica.type","Alnus","Ranunculus","Iva.annua.type","Elymus","Juglans.cinerea","Ostrya.Carpinus","Picea","Sarcobatus.vermiculatus","Populus","Dalea.candida","Dalea.purpurea","Abies","Lamiaceae","Cupressaceae","Platanus","Plantago","Rhamnaceae.Vitaceae.undiff.","Acer.saccharum.type","Carya","Ericaceae","Rosaceae","Cornus","Polygonum","Apiaceae","Larix","Humulus","Ephedra","Malvaceae","Parthenocissus","Shepherdia.canadensis","Epilobium.type","Juglans.nigra","Brassicaceae","Fagus","Shepherdia.argentea","Caryophyllaceae"
400,3076,302,0,30,3,53,2,17,32,2,2,36,1,1,33,0,3,10,8,50,0,1,0,0,0,5,1,0,1,0,1,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,3223,301,1,37,0,54,0,26,29,0,1,60,0,1,12,1,9,12,4,46,0,0,0,0,0,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,3369,302,0,34,1,71,3,28,17,0,1,52,0,1,21,0,7,10,4,44,0,1,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
430,3516,301,0,30,0,52,0,27,48,0,2,50,0,0,15,0,6,10,5,40,0,0,0,0,0,5,1,1,0,0,0,3,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,3662,298,0,36,3,51,2,26,32,0,0,62,2,0,9,2,8,9,5,32,0,1,2,0,0,4,0,0,1,0,1,3,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,3809,304,0,25,1,64,1,19,28,0,0,45,0,0,25,0,3,9,8,59,0,1,1,0,0,2,3,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3955,302,0,58,1,67,2,19,22,0,0,25,0,0,28,0,1,15,11,42,0,0,0,0,0,2,0,0,1,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
470,4102,303,0,74,1,49,2,28,15,1,0,27,2,0,30,0,5,15,8,29,0,0,0,0,0,6,1,4,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,4248,305,0,35,0,59,7,24,29,0,0,50,1,1,21,0,1,18,2,38,0,0,1,0,0,3,1,0,1,0,0,1,1,0,2,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490,4395,302,0,37,0,50,10,26,22,0,0,29,1,0,28,0,3,16,9,50,0,0,1,0,0,7,1,0,1,0,0,6,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500,4541,300,1,61,0,38,1,30,24,5,0,44,1,1,20,0,4,9,12,33,0,1,0,0,1,5,0,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
510,4688,301,0,56,1,50,3,20,25,1,0,49,1,0,22,0,3,13,7,31,0,0,0,0,0,2,2,2,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,4834,300,0,36,1,49,1,27,23,0,2,44,0,0,31,0,0,13,11,48,0,1,0,0,0,4,0,0,0,0,0,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,4981,304,0,65,1,49,9,29,36,0,0,23,0,0,13,0,5,11,5,28,0,2,1,0,0,3,0,0,5,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,5127,304,0,55,0,65,0,27,42,0,1,47,1,0,9,0,1,9,11,21,0,0,0,0,0,4,0,3,3,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,5274,301,0,73,1,62,2,17,25,0,1,34,0,0,17,0,5,11,9,36,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,5420,307,0,135,0,45,0,17,9,0,0,30,0,0,16,2,0,9,10,20,0,0,0,0,0,1,0,2,6,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
570,5567,294,0,40,0,69,3,24,17,0,2,54,0,0,9,1,5,4,21,28,0,0,0,0,0,2,1,1,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
580,5713,301,0,42,0,69,1,22,27,0,2,62,0,0,20,0,2,9,15,19,0,1,0,0,0,2,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,5860,301,0,47,0,59,3,19,23,0,2,65,0,1,26,0,8,10,4,23,0,0,0,0,0,2,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600,6006,297,0,154,0,35,0,20,18,0,0,13,0,0,6,0,0,20,1,20,0,0,1,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
610,6153,306,0,32,1,38,3,51,26,1,0,45,0,0,22,0,0,8,6,51,0,1,1,0,0,3,3,0,3,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,6299,303,0,69,0,43,1,41,17,0,3,57,1,0,21,0,0,7,5,28,0,1,0,0,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,6446,296,0,45,2,56,10,20,15,0,2,47,0,0,37,0,0,5,21,21,0,1,0,0,0,3,0,2,0,0,0,4,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,6592,296,0,54,1,59,7,17,23,0,0,35,0,0,26,0,0,10,20,21,0,1,1,1,0,1,0,2,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
650,6739,295,0,42,0,48,6,27,22,1,0,41,0,0,48,0,0,7,15,14,0,1,3,0,0,1,1,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
660,6885,300,0,40,0,73,7,33,18,0,0,53,1,1,23,1,0,6,14,11,0,4,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,7032,296,0,45,1,60,7,30,23,0,0,43,0,0,21,2,0,9,8,23,0,1,2,0,0,4,2,1,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,7178,301,0,38,2,61,5,27,36,0,0,50,0,0,18,0,0,15,9,13,0,1,1,0,0,5,1,0,2,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,7325,298,0,56,0,55,6,41,30,0,0,33,0,0,25,0,0,4,5,22,0,0,1,0,0,1,1,0,0,0,0,13,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,7471,306,0,44,1,51,11,44,22,0,0,29,0,0,27,0,0,5,4,25,0,0,0,0,0,4,2,0,2,0,0,28,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
710,7618,295,1,41,0,50,5,44,15,1,0,39,0,0,20,0,0,13,3,39,0,0,2,0,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720,7764,303,0,51,2,58,3,33,14,1,0,48,0,0,25,0,0,10,4,28,0,1,0,1,0,2,2,2,5,0,0,8,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
730,7911,297,0,39,1,57,11,33,17,0,0,32,0,0,47,0,0,10,7,29,0,1,0,1,0,2,0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,8057,298,0,32,0,62,3,24,35,0,1,56,0,2,29,0,0,7,9,14,0,1,0,0,0,5,1,0,1,0,0,12,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,8204,300,0,55,0,55,5,34,19,0,0,16,0,1,25,1,0,7,3,23,0,4,0,0,0,0,1,0,0,0,0,47,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
760,8350,300,0,37,0,51,6,38,26,0,0,27,0,1,40,0,0,5,16,20,0,5,0,0,0,3,0,0,3,0,0,19,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,8497,300,0,77,0,54,2,32,11,0,0,28,0,0,29,0,0,8,13,18,0,2,0,0,0,1,2,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,8643,302,0,53,0,48,16,40,17,0,0,46,2,0,24,0,0,7,6,9,0,0,0,0,0,2,3,0,2,0,0,22,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,8789,298,0,69,0,44,9,25,16,0,0,35,0,0,35,0,0,7,6,13,0,1,0,0,0,3,4,0,1,0,0,25,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,8936,302,0,24,0,37,1,31,45,0,0,54,0,0,47,0,0,6,10,21,0,1,0,0,0,5,1,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,9082,302,0,25,0,40,12,29,25,0,0,49,0,1,28,0,0,5,14,31,0,1,0,0,0,2,1,1,1,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,9229,304,0,35,0,48,8,26,20,0,0,33,0,0,40,0,0,8,12,29,0,2,0,0,0,5,0,0,5,0,0,25,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
830,9382,300,0,39,0,33,9,22,10,0,0,45,0,1,45,1,0,10,25,38,0,2,0,0,0,1,1,2,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,9534,287,0,9,0,36,6,18,39,1,0,61,0,0,35,0,0,6,20,31,0,1,1,0,0,3,0,0,0,0,0,13,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,9687,300,0,28,0,40,11,16,12,0,0,51,1,0,48,0,4,5,30,31,0,6,1,0,0,2,0,0,0,0,1,9,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
