"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.racemosa","Cornus.sericea","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lentibulariaceae","Lycopodiaceae","Menyanthes.trifoliata","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.lapathifolium","Polygonum.viviparum","Populus","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosella","Rumex.mexicanus","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Selaginella","Shepherdia","Sphagnum","Stellaria","Thalictrum","Tilia","Tsuga","Typha.angustifolia.type","Typha.latifolia","Ulmus","Vitis"
25,42,0,1,14,1,4,56,1,3,3,1,22,3,6,0,0,0,0,0,0,0,16,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0.5,4.5,85,0,1,0,72,0,0,3,2,0,0,124,0,3,0,0,1,1,0,0,0,0,0,0,0,5,4,8,3,18,3
30,81,0,1,20,1,2,35,0,1,6,0,17,2,7,0,0,0,0,0,0,1,21,0,0,12,4,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,2,0,0,75.5,0,0,40,0,0,4,6,0,0,111,0,4,3,0,3,2,0,0,0,0,0,0,0,3,6,8,2,18,2
35,208,0,0,13,5,2,3,0,3,3,0,6,0,11,0,0,0,0,0,0,0,14,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,89,0,0,22,0,0,3,2,0,0,104,0,2,1,0,0,1,0,0,0,0,0,1,0,3,8,1,1,19,1
40,423,0,0,28,5,0,4,0,1,9,0,10,0,12,0,0,0,0,0,0,0,14,0,0,21,2,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,3,0,87,0,0,0,20,1,0,1,0,0,0,91,0,2,0,0,2,0,0,0,0,0,0,0,0,9,12,4,4,22,0
45,638,0,0,25,2,1,3,0,1,5,0,17,0,8,0,0,0,0,0,0,1,12,0,0,22,6,2,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,103,1,3,12,2,0,2,0,0,0,103,0,0,0,0,1,3,0,0,0,0,0,0,0,7,10,5,1,17,1
50,853,0,0,30,2,0,5,0,2,3,0,15,0,18,0,0,0,0,0,0,3,15,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,20,0,1,2.5,0,0,88,0,0,13,1,0,4,1,0,0,91,0,1,0,0,2,0,0,0,0,0,0,1,0,6,4,6,2,19,1
55,1068,0,0,20,0,0,17,0,1,8,0,13,0,8,0,0,0,0,0,0,0,26,0,0,15,6,1,0,0,1,0,0,0,1,0,0,0,0,13,0,0,0,0,0,116,1,4,22,0,0,9,3,0,0,100,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4.5,3,1,20,0
60,1283,0,0,22,0,0,2,0,0,5,0,6,0,19,0,0,0,0,0,0,1,17,0,0,39,5,0,0,0,2,0,0,0,0,0,0,0,0,19,0,1,0,0,61.5,0,0,1,9,1.5,0,3,0,0,0,76,0,1,0,0,4,3,0,0,0,0,0,0,0,5,6,1,1,15,2
65,1498,0,0,22,2,0,3,0,0,1,0,10,0,10,0,0,0,0,0,0,0,19,0,0,32,3,1,1,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,30.5,0,1,1,0,0,1,0,0,0,91,0,3,0,0,2,0,0,0,0,0,0,1,0,4,5,0,0,22,0
70,1713,0,0,17,2,0,2,0,0,1,0,8,2,8,0,0,0,0,0,0,0,28,0,0,22,1,1,0,0,1,0,0,0,0,0,0,1,0,33,0,0,0,0,0,26.5,0,1,9,0,0,1,0,0,0,123,0,1,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,19,0
