"sample.depths","sample.ages","Bumelia","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Fabaceae.undiff.","Quercus","Ambrosia","Myrica","Pinus","Amaranthaceae","Betula","Cephalanthus","Liquidambar","Salix","Alnus","Juglans","Poaceae","Euphorbiaceae","Polygonaceae","Casuarina","Ericaceae","Cupressaceae.Taxaceae","Ilex","Magnolia","Fraxinus","Celtis","Ulmus","Melastomataceae","Polygalaceae","Apiaceae","Cornus","Sophora","Cyrilla.racemiflora","Ostrya.Carpinus"
1,-36,0.00595238095238095,0.0119047619047619,0.0297619047619048,0.0119047619047619,0.136904761904762,0.00595238095238095,0.0654761904761905,0.166666666666667,0.0119047619047619,0.196428571428571,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-19,0,0,0.269922879177378,0.0308483290488432,0.146529562982005,0,0.0179948586118252,0,0.0025706940874036,0.15681233933162,0.329048843187661,0.0051413881748072,0.0051413881748072,0.0025706940874036,0.0025706940874036,0.0025706940874036,0.0025706940874036,0.0154241645244216,0.0025706940874036,0.0025706940874036,0.0051413881748072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1,0,0.0185185185185185,0.166666666666667,0.0481481481481481,0.137037037037037,0.0037037037037037,0.0259259259259259,0,0.0222222222222222,0.166666666666667,0.337037037037037,0.0148148148148148,0,0,0.0148148148148148,0,0,0.0148148148148148,0.0037037037037037,0,0.0185185185185185,0.0037037037037037,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0
7,16,0,0.0243055555555556,0.125,0.0381944444444444,0.197916666666667,0.00347222222222222,0.0416666666666667,0,0.0243055555555556,0.149305555555556,0.34375,0.00347222222222222,0.00694444444444444,0,0,0.00347222222222222,0,0.0104166666666667,0.00347222222222222,0,0,0.00347222222222222,0.00694444444444444,0.00694444444444444,0.00347222222222222,0.00347222222222222,0,0,0,0,0,0,0,0,0
9,33,0,0.0205479452054795,0.00684931506849315,0.0342465753424658,0.301369863013699,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.0342465753424658,0.280821917808219,0.273972602739726,0,0,0,0,0,0,0.00684931506849315,0,0,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0
11,50,0.00588235294117647,0.0235294117647059,0.00588235294117647,0.0823529411764706,0.088235294117647,0.0117647058823529,0.0529411764705882,0.00588235294117647,0.141176470588235,0.264705882352941,0.211764705882353,0.0117647058823529,0.0235294117647059,0,0,0.0117647058823529,0,0.0117647058823529,0.00588235294117647,0,0,0,0.0117647058823529,0.00588235294117647,0,0,0.0117647058823529,0.00588235294117647,0.00588235294117647,0,0,0,0,0,0
13,97,0,0.00985221674876847,0.0147783251231527,0.0935960591133005,0.0985221674876847,0.0147783251231527,0.0394088669950739,0.00985221674876847,0.133004926108374,0.266009852216749,0.251231527093596,0.0295566502463054,0.00492610837438424,0.00492610837438424,0,0.00492610837438424,0,0.0147783251231527,0,0,0,0.00492610837438424,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0
15,145,0,0.00552486187845304,0.0165745856353591,0.0497237569060773,0.110497237569061,0,0.0276243093922652,0.00552486187845304,0.0110497237569061,0.331491712707182,0.38121546961326,0.0276243093922652,0.00552486187845304,0,0,0,0,0.00552486187845304,0,0,0,0,0.00552486187845304,0,0,0,0.00552486187845304,0,0,0.00552486187845304,0.00552486187845304,0,0,0,0
17,193,0,0,0.0304878048780488,0.0670731707317073,0.0792682926829268,0.0121951219512195,0.0548780487804878,0,0.0914634146341463,0.286585365853659,0.310975609756098,0.0121951219512195,0.00609756097560976,0,0,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0.00609756097560976,0.00609756097560976,0.0121951219512195,0,0
19,240,0,0,0,0.0694444444444444,0.111111111111111,0,0.0694444444444444,0,0.0625,0.305555555555556,0.291666666666667,0.00694444444444444,0.00694444444444444,0,0,0,0,0.0138888888888889,0.00694444444444444,0,0,0.0138888888888889,0.0138888888888889,0,0,0.00694444444444444,0.00694444444444444,0,0,0,0.00694444444444444,0,0.00694444444444444,0,0
