"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Sarcobatus.vermiculatus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Poaceae","Fraxinus.pennsylvanica","Populus.balsamifera","Ericaceae","Iva.undiff.","Ostrya.Carpinus","Potentilla.type","Salix","Iva.annua","Myrica","Iva.xanthifolia","Brassicaceae","Rumex","Apiaceae","Acer.saccharum","Fabaceae","Juglans.cinerea","Thalictrum","Polygonum.amphibium","Ranunculus","Tilia","Urtica.type","Shepherdia.canadensis","Cornus.canadensis","Dryas","Humulus.Cannabis.sativa","Caryophyllaceae","Rhus","Juglans.nigra","Empetrum","Acer.negundo","Epilobium","Elaeagnus.commutata","Castanea","Fagus","Saxifraga.oppositifolia.type","Plantago","Shepherdia.argentea","Euphorbia","Lysimachia"
1135,8226,765,2,57,120,9,10,136,0,7,1,10,8,1,3,29,4,0,329,2,0,0,3,6,0,8,1,5,0,0,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,8282,557,4,48,69,0,11,68,1,4,4,14,7,3,1,20,0,0,250,10,0,0,1,5,0,10,0,4,0,1,3,0,2,1,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,8362,561,1,1,4,4,14,63,1,4,5,13,4,0,5,62,0,0,332,6,1,0,3,4,0,5,0,5,0,1,0,0,7,1,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,8472,896,1,5,3,2,18,122,0,5,5,15,10,2,8,88,0,0,545,5,0,0,10,6,0,18,0,8,0,0,1,0,5,0,9,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,8619,656,1,2,1,4,18,48,1,10,2,9,6,3,2,42,0,0,466,2,0,0,4,6,0,5,0,12,0,1,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,8810,675,0,4,2,1,15,80,2,5,3,4,8,1,6,56,0,0,428,4,1,0,12,17,0,4,0,4,0,1,4,0,5,0,1,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,9053,649,4,0,0,1,9,44,0,2,3,0,2,3,12,77,0,0,457,11,0,0,5,7,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,9353,695,8,0,2,3,19,77,0,3,10,9,4,3,20,170,0,0,258,12,2,0,11,37,0,22,0,11,0,0,2,0,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,9720,691,12,0,1,4,16,38,2,6,1,9,10,2,43,317,0,0,127,16,0,0,9,32,0,12,0,22,0,0,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,10172,540,22,1,2,1,15,17,1,7,10,45,10,9,22,136,0,0,77,18,0,0,7,36,0,10,1,45,0,4,7,0,27,3,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,10438,549,24,1,3,1,22,9,1,10,4,18,12,15,13,247,0,0,61,19,2,0,8,29,0,6,0,19,1,1,3,0,13,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
