"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Adiantum","Alisma","Allium","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amelanchier.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium.filix.femina","Avena.type","Avena.Triticum","Betula","Brasenia.schreberi","Brassica","Brassicaceae.undiff.","Campanula.rotundifolia.type","Carya","Caryophyllaceae.undiff.","Ceanothus","Celtis","Cephalanthus","Cerealia.undiff.","cf..Parnassia","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Dryopteris.type","Engelhardtia.type","Ephedra.trifurca.type","Ephedra.viridis.type","Equisetum","Ericaceae","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Gaura","Humulus","Huperzia.lucidula","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lemna","Liliaceae.undiff.","Lycopodiaceae.undiff.","Lycopus.type","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Parthenocissus","Pediomelum.type","Phlox","Picea","Pinaceae..vesiculate..undiff.","Pinaceae.undiff.","Pinus.edulis.type","Pinus.subg..Pinus","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Plantago.major.type","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.bistortoides.type","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Prunus.type","Pteridium.type","Quercus","Ranunculaceae..pericolpate.","Ranunculaceae..tricolpate..undiff.","Ranunculaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sanguisorba","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphaeralcea","Sphagnum","Stellaria","Stuckenia","Symphoricarpos.type","Thalictrum","Tidestromia.type","Tilia","Triticum.type","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Urtica.type","Utricularia","Viburnum.lentago","Vitis","Xanthium","Zea.mays","Zigadenus"
1832,5661,0,0,0,0,0,0,0,1,6,0,17,48,0,2,0,1,0,95.5,12,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,51.5,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,0,0,0,0,0,37,0,0,0,142,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,2,1,0,1,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0
1840,5741,0,0,0,0,1,0,0,0,10,0,62,75,0,0,0,2,0,124,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,6,63,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,1,0,1,0,0,0,1,0,0,0,2,0,4,0,0,0,8,0,0,0,9,2,43,0,0,0,114,0,0,0,0,1,1,0,0,0,22,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0
1848,5821,1,1,0,0,0,0,0,0,24,0,12,155,0,0,0,0,0,41,18,0,0,0,0,0,7,0,0,1,0,3,0,0,0,0,0,0,0,1,40,0.5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,161,0,0,0,0,3,1,0,0,0,11,0,0,0,0,1,1,0,1,4,0,0,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,15,1,0,0,5,0,0,0,0,0,3,0,0
1856,5902,0,0,0,0,0,0,0,0,11,0,21,144,0,0,0,0,0,141,38,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,4,74,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,28,0,0,0,80,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,3,1,0,3,0,0,0,0,1,5,0,0
1864,5982,0.5,0,0,0,0,0,0,0,1,0,37,122,0,0,0,0,1,140,48.5,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,2,0,19.5,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,29,0,0,0,82,0,1,0,0,0,1,1,0,0,7,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0
1872,6063,0,0,0,0,0,0,0,0,6,0,39,52,0,0,0,1,0,110,23,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,66,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0.5,0,0,0,0,0,23.5,0,0,0,148,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0
1880,6143,1,3,0,0,0,0,0,0,6,0,20,36,0,1,0,3,0,90.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,36,0,0,0,75,0,0,0,0,1,0,3,1,0,12,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,4,0,0,1,1,0,0,0,0,0,0,0
1888,6185,0,0,0,0,0,0,0,0,10,0,56,348,0,0,0,0,0,598,133,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,4,142,4,2,0,11,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,5,0,34,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,0,9,2,79,0,0,0,297,0,0,0,0,1,0,1,0,0,20,0,1,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,0,0
1896,6270,0.5,1,0,0,0,0,1,0,4,0,30,79,0,0,0,0,0,212,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,15,0,0,0,61,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
1904,6355,2,1,0,0,0,0,0,0,4,0,27,93,0,0,0,2,0,106,9,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,49,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,2,28.5,0,0,0,66,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,9,1,1,1,0,0,0,0,0,0,0,0
