"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Acer.spicatum","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Acer.rubrum","Fraxinus.nigra.type","Salix","Myrica.gale","Ilex.Nemopanthus","Acer.saccharinum","Tilia","Taxus","Campanula.type","Thalictrum","Liliaceae","Arceuthobium.pusillum","Populus.balsamifera.type","Polygonum","Viburnum.undiff.","cf..Oxyria.digyna","Caryophyllaceae","Rhus","Onagraceae.undiff.","Shepherdia.canadensis","Viburnum.edule","Brassicaceae","Saxifraga.oppositifolia.type","Fabaceae","Plantago","Ranunculaceae.undiff.","Epilobium","Impatiens"
0,0,0.0204460966542751,0.066914498141264,0.00185873605947955,0.00371747211895911,0.399628252788104,0.00557620817843866,0.00185873605947955,0.00743494423791822,0.00743494423791822,0.00185873605947955,0.00185873605947955,0.00371747211895911,0.102230483271375,0.0687732342007435,0.00743494423791822,0.00185873605947955,0.00929368029739777,0.00557620817843866,0.00557620817843866,0.00371747211895911,0.0297397769516729,0.00371747211895911,0.00185873605947955,0.0111524163568773,0.0241635687732342,0.00743494423791822,0.195167286245353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,431,0.018970189701897,0.035230352303523,0,0.002710027100271,0.53929539295393,0.008130081300813,0.00542005420054201,0,0.00542005420054201,0.002710027100271,0,0.008130081300813,0.092140921409214,0.037940379403794,0.021680216802168,0,0.008130081300813,0.00542005420054201,0.002710027100271,0,0.010840108401084,0.002710027100271,0.002710027100271,0,0.018970189701897,0.002710027100271,0.140921409214092,0.008130081300813,0.002710027100271,0.002710027100271,0.002710027100271,0.002710027100271,0.002710027100271,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,862,0.0140105078809107,0.021015761821366,0.00175131348511384,0.00175131348511384,0.334500875656743,0.00875656742556918,0.00175131348511384,0,0,0.00350262697022767,0.010507880910683,0.0507880910683012,0.124343257443082,0.063047285464098,0.0122591943957968,0,0.010507880910683,0,0.00350262697022767,0,0.0560420315236427,0.00525394045534151,0.00175131348511384,0.00875656742556918,0.0367775831873905,0.00875656742556918,0.204903677758319,0.00350262697022767,0,0,0,0.00175131348511384,0,0.00175131348511384,0,0.00175131348511384,0.00175131348511384,0.00175131348511384,0.00175131348511384,0.00175131348511384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1293,0.0106157112526539,0.0276008492569002,0.00212314225053079,0,0.339702760084926,0.00212314225053079,0.00849256900212314,0,0,0.00849256900212314,0,0,0.220806794055202,0.0403397027600849,0.0254777070063694,0.00212314225053079,0.00636942675159236,0.00636942675159236,0.00212314225053079,0,0.0828025477707006,0.00424628450106157,0,0.0233545647558386,0.0382165605095541,0.0254777070063694,0.114649681528662,0,0,0,0,0,0.00212314225053079,0,0,0,0.00212314225053079,0,0,0,0.00424628450106157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1724,0.0168067226890756,0.0357142857142857,0.00420168067226891,0.00210084033613445,0.36344537815126,0.00630252100840336,0.00210084033613445,0.00420168067226891,0,0.00630252100840336,0.00840336134453781,0.0420168067226891,0.0756302521008403,0.0609243697478992,0.0168067226890756,0,0.0126050420168067,0,0.00630252100840336,0,0.0378151260504202,0.00420168067226891,0.00210084033613445,0.0126050420168067,0.0126050420168067,0.00420168067226891,0.247899159663866,0.00210084033613445,0.00210084033613445,0.00210084033613445,0,0.00210084033613445,0,0.00210084033613445,0,0,0.00210084033613445,0,0,0,0,0.00210084033613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2155,0.0434782608695652,0.0152173913043478,0,0.00434782608695652,0.278260869565217,0.00434782608695652,0,0.00217391304347826,0.00217391304347826,0.00217391304347826,0,0,0.273913043478261,0.041304347826087,0.00869565217391304,0,0.00434782608695652,0,0.00434782608695652,0,0.102173913043478,0.00869565217391304,0,0.0326086956521739,0.091304347826087,0.00652173913043478,0.0673913043478261,0,0,0,0,0,0,0.00217391304347826,0,0.00217391304347826,0.00217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2585,0.014957264957265,0.0299145299145299,0,0.00641025641025641,0.502136752136752,0.00854700854700855,0.00427350427350427,0,0,0.00427350427350427,0,0.00213675213675214,0.117521367521368,0.047008547008547,0.00427350427350427,0.00213675213675214,0.00427350427350427,0.00427350427350427,0,0,0.0256410256410256,0.00854700854700855,0,0.00641025641025641,0.0256410256410256,0.00213675213675214,0.164529914529915,0,0,0,0.00213675213675214,0,0.00213675213675214,0.00213675213675214,0,0.00213675213675214,0.00427350427350427,0.00213675213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3164,0.0447761194029851,0.027363184079602,0,0.00746268656716418,0.338308457711443,0.0099502487562189,0.0124378109452736,0.00746268656716418,0,0.0149253731343284,0,0,0.18407960199005,0.0447761194029851,0.0199004975124378,0.00248756218905473,0.0099502487562189,0,0.00497512437810945,0,0.099502487562189,0.00497512437810945,0,0.0174129353233831,0.0472636815920398,0.00746268656716418,0.0796019900497512,0,0,0,0,0.00248756218905473,0,0,0,0,0.00746268656716418,0,0,0,0.00248756218905473,0,0.00248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3743,0.0235081374321881,0.0470162748643761,0.00361663652802893,0.00180831826401447,0.415913200723327,0.00180831826401447,0,0,0,0.0054249547920434,0.00361663652802893,0,0.148282097649186,0.0470162748643761,0.00723327305605787,0.00180831826401447,0.00361663652802893,0,0.00180831826401447,0,0.0488245931283906,0.00723327305605787,0,0.00180831826401447,0.0379746835443038,0.00361663652802893,0.168173598553345,0.00180831826401447,0.00180831826401447,0,0.00361663652802893,0,0,0.00180831826401447,0,0,0.00723327305605787,0,0,0,0,0,0.00180831826401447,0.00180831826401447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4322,0.00226244343891403,0.083710407239819,0,0.00452488687782805,0.490950226244344,0.00678733031674208,0.00226244343891403,0.00226244343891403,0,0.00452488687782805,0.00226244343891403,0.00678733031674208,0.113122171945701,0.0429864253393665,0.00904977375565611,0,0.00678733031674208,0,0.00452488687782805,0,0.0361990950226244,0.00904977375565611,0,0.0180995475113122,0.0610859728506787,0.00226244343891403,0.0769230769230769,0,0,0.00226244343891403,0,0,0,0.00226244343891403,0,0.00452488687782805,0,0,0,0,0,0.00226244343891403,0.00226244343891403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
