"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Thalictrum"
0,-50,303,0,10,1,77,14,0,0,0,4,15,3,0,4,1,40,3,32,1,0,1,2,36,0,1,1,0,3,1,2,51,0
10,1277,271,0,20,0,3,3,5,0,0,3,5,1,12,3,1,94,3,15,0,6,12,4,48,0,0,2,5,10,6,0,10,0
20,2604,205,0,7,0,1,2,0,0,0,1,2,1,3,1,0,147,1,8,0,1,21,4,2,0,0,0,0,1,0,0,2,0
30,3931,210,0,26,0,33,6,1,0,0,15,10,3,1,7,1,50,1,14,0,14,14,5,2,0,0,0,0,2,0,0,5,0
40,5257,203,0,7,0,17,2,1,0,0,2,7,0,1,1,0,121,2,32,0,3,4,0,1,0,0,0,0,0,1,0,1,0
45,5626,235,0,24,2,29,3,5,0,0,8,0,2,0,8,0,38,6,24,0,8,19,19,1,28,1,0,0,1,4,0,5,0
50,5995,222,2,0,0,4,0,0,0,0,0,3,0,3,6,2,151,2,19,0,0,3,4,0,0,0,0,0,0,22,0,1,0
60,6733,202,3,0,0,6,0,1,0,0,0,2,1,1,0,2,163,1,17,0,0,2,2,0,0,0,0,0,0,0,0,1,0
80,8209,200,8,0,0,4,1,1,0,0,0,2,0,1,0,2,162,0,10,0,1,0,0,0,0,1,0,0,0,5,0,2,0
90,8947,202,3,0,0,8,0,0,0,0,0,1,0,3,1,5,176,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
95,9316,201,5,0,1,7,0,0,0,0,0,0,0,3,1,4,174,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0
100,9685,202,2,0,0,8,0,1,0,0,0,0,1,3,2,5,170,1,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0
110,10423,195,5,1,0,16,1,2,0,0,0,0,0,0,4,4,123,4,20,0,0,0,9,0,0,1,0,0,0,4,0,1,0
120,NA,213,2,2,0,8,0,5,0,0,0,5,1,1,9,11,134,4,18,0,0,0,5,0,0,1,1,0,0,5,0,1,0
130,NA,207,0,2,0,5,2,0,0,0,0,4,1,2,9,19,134,0,15,2,0,2,1,0,0,0,3,0,0,4,0,2,0
140,NA,235,2,0,1,8,1,14,0,0,0,12,1,2,7,35,92,12,27,12,0,1,0,1,0,3,0,0,1,3,0,0,0
150,NA,225,0,1,1,12,0,3,0,0,0,6,3,10,8,50,78,7,17,3,0,0,3,0,0,2,1,0,0,11,0,9,0
160,NA,223,0,1,1,12,1,6,0,0,0,6,1,10,15,51,64,7,21,0,0,5,6,1,0,0,1,0,0,13,0,1,0
165,NA,246,1,2,4,27,0,4,0,0,0,0,1,4,3,87,58,4,19,1,0,3,2,0,3,4,3,0,3,8,0,5,0
170,NA,216,1,0,3,10,2,0,0,0,0,4,0,5,8,108,31,10,12,0,0,2,0,3,0,5,3,0,1,4,0,4,0
180,NA,237,0,0,4,10,1,5,0,0,0,4,0,10,0,124,31,10,11,1,0,1,0,3,0,9,0,1,0,9,0,3,0
185,NA,246,0,0,4,5,0,5,0,0,0,0,0,13,8,134,25,1,13,2,0,1,2,3,0,8,3,0,0,15,0,4,0
190,NA,252,1,0,0,7,0,2,0,1,0,0,0,2,1,150,26,2,8,0,0,1,2,2,0,11,4,2,0,26,0,4,0
200,NA,221,2,0,0,2,1,5,1,0,0,0,0,0,2,161,18,1,13,0,0,0,0,0,0,2,3,0,1,5,0,4,0
210,NA,220,0,0,1,1,0,5,0,0,0,2,0,0,6,167,15,4,5,1,0,1,0,2,0,2,1,0,0,4,0,3,0
220,NA,239,0,0,0,1,0,11,0,0,0,0,0,0,7,171,6,4,11,0,0,0,0,5,0,4,3,0,0,7,0,8,1
225,NA,185,0,0,1,2,0,6,0,0,0,0,0,0,5,96,8,1,10,0,0,0,3,0,1,3,6,0,1,36,0,6,0
230,NA,266,0,0,0,4,0,6,0,0,0,3,0,0,4,137,32,3,16,1,0,0,0,5,0,5,1,0,0,42,0,6,1
234,NA,249,0,0,0,0,1,6,0,0,0,3,0,0,2,138,43,4,9,0,0,0,0,1,0,2,4,0,0,31,0,5,0
