"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Cystopteris","Dryopteris","Dryopteris.type.undiff.","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.lapathifolium.type","Polygonum.viviparum","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rhamnus.Vitis.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.nudum","Woodsia.type"
250,2027,12,0,0,0,0,16,4,1,9,0,0,0,1,2,0,0,239,0,0,0,0,0,0,0,0,0,0,2,13,0,4,0,1,0,0,27,2,1,0,1,0,0,36,0,3,0,0,1,0,5,0,0,4,0,0,0,0,0,0,2,0,14,16,2,0,27,26,0,7,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,5,0,1,0,0,2,1,1,0,24,0,0,0,0,5,2,5,1,0,0,0
275,2229,0,0,0,5,0,23,0,14,2,1,2,0,0,1,0,0,459,0,0,0,2,0,1,0,0,0,0,0,12,0,0,0,2,0,0,45,8,4,2,1,0,0,9,2,0,0,0,3,2,3,0,0,3,0,0,4,0,0,0,0,0,12,1,19,0,74,15,0,6,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,32,0,0,0,0,11,0,12,7,0,0,0
300,2432,0,0,0,0,0,5,1,0,10,0,1,0,1,2,0,0,156,0,0,0,0,1,0,0,0,0,0,7,22,0,0,0,0,0,0,10,5,1,2,0,0,2,10,0,5,4,0,0,0,0,0,0,12,0,2,1,0,0,0,3,0,6,0,4,0,60,17,0,1,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,20,0,0,0,0,5,0,1,1,0,0,0
325,2635,23,0,0,3,0,16,4,6,7,0,0,0,1,1,0,0,396,0,0,0,2,0,0,0,0,0,0,10,15,0,1,0,1,0,0,60,7,3,0,0,0,0,27,0,4,2,0,4,1,2,0,0,6,0,0,1,0,0,0,3,0,1,2,27,0,55,45,0,4,0,0,0,0,4,2,0,0,0,24,0,0,0,0,0,0,0,0,8,0,1,0,0,1,2,0,0,46,0,0,0,0,9,0,3,3,0,0,0
350,2837,1,0,0,2,0,24,2,9,3,0,0,0,0,2,0,0,320,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,22,11,0,3,0,0,0,12,0,4,2,0,4,0,0,0,0,7,0,0,2,0,0,0,5,0,11,4,49,0,19,26,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,1,22,0,0,0,0,6,0,12,3,0,0,0
375,3040,1,0,0,1,0,11,0,3,3,0,0,0,0,1,0,0,343,0,0,0,1,0,0,0,0,0,0,1,14,0,0,0,1,0,0,24,4,2,2,0,0,0,21,0,6,1,0,4,0,0,0,0,1,0,0,4,0,0,0,2,0,5,3,32,0,21,34,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,13,2,0,0,0
400,3243,1,0,0,1,0,29,0,0,4,0,0,0,1,3,0,0,381,0,0,1,1,0,0,0,0,0,1,1,8,0,0,0,1,0,0,28,12,3,0,0,0,0,18,0,0,0,0,2,3,1,0,0,4,0,0,0,0,0,0,3,0,3,8,20,0,33,29,0,5,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,14,0,0,0,0,12,0,7,1,0,0,0
425,3446,18,0,1,4,0,30,4,0,10,0,0,0,1,3,0,0,448,0,0,0,1,0,0,0,0,0,0,16,27,0,1,0,1,0,0,25,8,5,0,0,0,0,26,0,6,1,0,3,1,1,0,0,9,0,5,3,0,0,0,5,0,14,5,30,0,78,35,0,20,0,0,0,0,2,3,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1,0,20,0,0,0,0,14,1,3,2,0,0,0
450,3648,2,0,0,0,0,23,0,18,2,1,0,0,1,2,0,0,288,0,0,1,2,0,0,0,0,1,0,0,3,0,0,3,0,0,0,20,8,2,0,1,0,0,21,2,4,1,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,4,1,42,0,31,6,0,5,1,0,0,0,0,1,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,10,0,2,5,0,0,0
475,3851,1,0,0,2,0,26,0,7,0,0,0,0,1,0,0,0,363,0,0,0,2,0,0,0,0,0,0,1,13,0,0,0,1,0,0,20,7,2,0,0,0,0,14,1,6,5,0,3,0,2,0,0,3,0,0,0,0,0,0,4,0,5,6,28,0,20,19,0,2,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,2,2,0,0,0
