"sample.depths","sample.ages","upland.sum","Carya","Cephalanthus","Quercus","Salix","Myrica","Pinus","Amaranthaceae","Polygonaceae","Waltheria","Asteraceae","Poaceae","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ficus.Celtis","cf..Acer"
1.5,131,96,6,20,4,16,2,18,24,4,2,0,0,0,0,0,0
5.5,607,180,4,2,0,4,0,10,154,0,0,6,0,0,0,0,0
10.5,1203,386,0,6,0,2,2,28,332,4,0,10,2,0,0,0,0
15.5,1799,604,0,0,0,0,0,24,580,0,0,0,0,0,0,0,0
21,2454,640,0,0,0,0,0,14,618,2,0,2,2,2,0,0,0
27,2872,604,0,0,0,0,0,12,582,4,0,0,2,0,2,2,0
29,2991,546,0,0,0,0,0,42,500,4,0,0,0,0,0,0,0
35,3350,586,0,0,0,2,0,114,456,10,0,4,0,0,0,0,0
39,3589,442,0,0,0,0,0,70,356,10,0,0,4,0,2,0,0
45,3720,698,0,0,0,0,0,38,650,8,0,0,2,0,0,0,0
51,3737,664,0,0,0,0,2,40,614,6,0,0,0,0,0,0,2
