"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Xanthium","Alnus","Ambrosia","Populus","Poaceae","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Larix.laricina","Pinus.strobus.type","Acer.rubrum","Juniperus.Thuja","Dalea.candida","Tilia.americana","Humulus.lupulus","Sarcobatus.vermiculatus","Juglans","Dalea.purpurea","Carya","Iva.annua","Caryophyllaceae","Brassicaceae","Thalictrum","Ephedra","Rosaceae","Ericaceae","Platanus","Vitis","Amorpha","Lamiaceae","Plantago","Galium","Celtis.occidentalis","Symphoricarpos.occidentalis","Shepherdia"
1,-10,408,1,6,49,7,4,10,3,8,147,31,3,3,6,1,2,21,34,1,24,1,3,1,13,3,1,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,489,0,19,52,11,6,8,3,6,187,16,1,3,7,2,0,18,33,5,38,0,2,0,24,3,0,11,27,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,44,453,0,14,59,9,5,14,1,4,203,21,3,4,7,0,0,17,19,5,13,1,3,2,17,2,0,12,15,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,72,379,1,19,49,2,5,17,6,5,161,32,3,1,2,0,0,10,15,3,15,0,3,1,5,1,0,11,8,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100,412,0,19,62,3,6,11,3,7,166,16,2,4,4,0,0,17,7,4,23,0,2,2,11,1,1,12,25,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,229,387,1,8,34,4,2,6,7,7,183,12,0,4,2,0,0,10,12,1,29,0,3,0,19,1,0,7,31,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,357,457,0,10,46,2,4,10,7,17,196,16,3,1,2,0,0,12,8,0,47,0,1,0,20,1,0,8,41,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,485,440,0,6,32,2,1,10,5,7,192,20,2,2,1,0,0,16,6,1,50,0,2,0,23,1,0,10,45,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100,869,398,0,12,79,2,1,8,20,3,115,19,2,3,5,0,0,14,1,0,63,0,1,1,11,2,0,9,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1125,510,0,10,62,1,3,13,9,3,153,25,0,3,5,1,0,26,3,3,149,1,2,4,6,2,2,9,10,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,1382,544,0,8,37,1,0,5,7,8,147,19,2,1,6,0,0,8,2,11,224,0,2,1,7,1,0,7,36,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
160,1638,345,0,12,44,4,5,2,2,0,185,13,0,0,2,0,0,10,2,1,14,0,0,1,5,3,0,9,29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,1894,370,0,10,61,1,5,9,13,4,127,19,1,2,7,0,0,16,2,1,44,0,1,2,2,2,1,4,32,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2150,378,0,4,50,2,2,7,13,2,134,51,0,1,6,0,0,5,3,1,56,0,0,2,3,4,2,6,19,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2278,390,0,8,71,2,2,9,17,1,105,60,0,3,13,0,0,16,3,2,60,0,1,2,1,3,2,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,2407,383,0,16,112,1,6,12,27,0,74,48,4,1,7,0,0,22,4,2,16,0,0,3,3,3,1,3,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2663,364,0,9,103,2,2,9,42,2,50,65,1,1,6,0,0,16,3,2,20,0,0,2,2,8,3,3,5,1,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2791,388,0,9,98,1,6,11,39,3,53,63,6,0,17,0,1,15,7,2,29,0,0,2,5,1,6,2,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2902,329,0,11,100,1,2,9,31,2,27,51,2,4,12,0,1,17,7,6,22,2,0,0,0,4,8,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3091,317,1,6,96,2,4,9,43,2,18,62,3,2,4,0,0,15,7,3,12,2,0,0,0,13,5,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3279,409,0,10,85,3,2,24,83,0,15,74,3,3,5,0,0,8,6,5,57,0,2,1,0,10,3,2,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,3468,392,0,5,62,8,4,16,53,2,36,87,0,5,15,0,0,32,5,4,37,0,1,3,1,1,3,1,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
340,3656,395,0,5,116,2,4,16,69,1,4,63,0,3,8,0,0,14,2,2,65,0,0,1,2,4,7,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3845,596,0,16,180,4,15,21,84,2,25,119,3,3,7,0,0,31,4,6,58,1,1,1,1,3,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
380,4033,766,0,25,293,11,7,23,53,1,24,122,7,4,11,0,1,20,21,5,119,2,1,0,1,4,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
400,4222,572,0,21,156,10,12,21,35,2,33,155,1,6,11,0,0,15,17,3,39,2,0,1,2,4,10,0,5,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410,4316,431,0,25,64,5,5,20,16,0,38,136,7,10,7,0,0,23,16,5,33,0,0,1,1,0,2,0,7,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
420,4443,894,0,73,68,20,13,40,20,1,82,220,19,29,11,0,1,56,62,2,115,1,0,3,21,10,9,1,11,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
440,4796,829,1,69,86,20,6,59,16,3,57,231,16,13,9,0,0,47,24,1,140,2,0,1,11,3,2,0,1,0,1,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
460,5148,346,0,48,15,10,2,17,9,0,47,79,7,6,2,0,0,20,10,0,62,0,0,0,2,1,1,0,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,5500,354,0,59,18,7,6,16,1,0,23,91,2,10,4,0,0,21,21,0,70,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5853,328,0,4,22,6,5,32,10,0,36,81,10,5,6,1,0,12,13,0,71,2,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0
520,6205,310,0,48,7,8,8,13,7,0,10,114,5,5,5,0,0,9,19,3,37,1,0,0,2,1,3,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,6557,351,0,67,9,23,10,22,2,1,18,71,13,7,1,0,0,16,11,1,67,0,0,0,2,1,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
