"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum","Diphasiastrum.complanatum","Huperzia.lucidula","Myriophyllum","Nuphar","Sagittaria","Typha","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..crumpled.","Unknown..tetracolporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..triporate."
307,619,0,2,4,19,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,121,0,155,0,1,3,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
309,622,1,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,0,159,0,0,1,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
311,625,2,0,6,38,1,0,3,0,0,0,0,0,0,0,1,5,0,0,0,3,0,1,174,0,170,0,0,6,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0
313,628,1,2,6,31,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,4,1,3,192,0,124,0,0,6,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
319,637,0,3,4,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,0,192,0,2,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
329,651,0,0,5,43,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,121,0,131,0,0,1,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
339,666,0,0,4,29,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,126,0,142,0,0,3,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0
339.1,666.5,0,3,5,42,0,0,0,0,5,0,0,0,0,0,2,3,0,0,0,2,0,3,157,0,165,0,0,8,3,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,12,0,0,1,3
349,674,4,0,3,26,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,90,0,159,0,0,5,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
359,681,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,89,0,205,0,0,5,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
369,688,0,0,3,45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,94,0,160,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,731,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,152,0,133,0,1,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
389,774,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,111,0,143,0,0,4,1,1,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3
399,817,0,2,8,39,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,1,108,0,200,0,1,8,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0
401,826,0,0,5,34,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,104,0,171,0,0,2,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,7,0,0,1,0
407,852,1,1,5,31,0,0,0,0,3,0,0,0,0,0,1,5,1,0,0,3,0,0,51,0,235,0,0,3,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
409,860,0,2,7,37,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,2,1,146,0,88,0,0,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
411,869,0,1,12,27,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,3,0,3,70,0,303,0,0,2,2,0,2,0,1,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,17,0,1,1,0
419,903,1,0,2,36,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,113,0,210,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0
429,946,0,1,6,29,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,144,0,131,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
439,990,0,1,1,35,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,108,0,155,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
449,1033,1,0,5,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,120,0,141,0,1,3,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
459,1075,0,0,0,26,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,118,0,158,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
469,1115,1,0,8,33,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,96,0,153,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
479,1156,1,1,7,24,0,0,0,0,4,0,1,4,1,0,1,2,0,0,0,1,0,2,123,0,169,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,6,6,0,0,0,0
489,1193,0,3,7,37,0,0,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,136,0,118,0,0,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
499,1226,0,1,3,39,0,0,0,1,2,0,0,0,0,1,4,8,0,0,1,2,0,2,102,0,141,1,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,0,0,5,1
509,1258,0,1,5,37,1,0,1,0,11,0,0,1,1,0,0,3,0,0,1,4,0,1,91,0,191,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,2,5,5,0,0,1,2
519,1291,4,0,3,23,0,0,1,0,0,0,0,3,0,0,1,3,0,0,0,2,0,2,100,0,168,0,0,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,0,1,1,1
529,1324,0,3,10,22,4,0,0,2,5,0,0,0,1,0,2,3,0,0,0,2,0,3,83,0,158,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,3,0,1,0,2
539,1357,0,0,1,24,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,122,0,146,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
549,1389,2,1,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,110,0,164,0,0,3,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,16,0,0,0,1
559,1422,0,0,0,27,0,0,0,1,4,0,0,1,2,0,0,1,0,0,0,0,0,4,111,0,159,0,2,3,1,0,1,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
569,1455,0,3,6,23,0,0,0,1,6,0,0,1,1,0,1,5,0,0,0,0,0,4,126,0,157,0,0,2,3,0,0,1,1,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,2,7,0,1,0,0
579,1496,0,1,2,31,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,5,140,0,120,0,0,1,2,0,0,0,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,1,2,1
589,1556,0,1,9,28,0,0,0,1,7,0,0,0,0,0,1,4,0,0,0,2,0,4,136,0,138,0,2,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0
599,1617,1,1,10,27,1,0,0,1,3,0,0,3,1,0,1,2,0,0,0,2,1,2,129,0,172,0,0,3,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,1,4,0,0,1,0
609,1677,0,2,5,35,0,0,0,1,3,0,0,0,0,0,2,3,0,0,0,2,0,1,196,1,71,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,6,0,0,1,1
619,1738,0,1,4,25,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,1,0,2,127,0,162,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,11,0,0,1,0
629,1798,0,1,6,42,0,0,0,1,3,0,0,0,1,0,0,2,0,0,1,3,0,4,168,0,110,0,0,5,0,0,0,1,0,0,1,3,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,3,2,5,0,1,0,0
639,1859,1,3,7,33,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,2,0,1,124,0,205,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,3,10,0,1,0,1
649,1920,0,0,5,23,2,0,0,0,9,0,0,0,0,0,2,3,0,0,0,0,0,1,138,0,148,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,6,5,0,0,0,0
659,1980,0,2,6,24,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,3,139,0,140,0,1,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
