"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Corylus","Cyperaceae","Elaeagnus","Ericaceae","Fraxinus","Herbs.undiff.","Indeterminable","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Trees.undiff.","Typha.Sparganium","Ulmus"
0,11,0,101,6,0,15,5,233,0,1,0,2,0,0,1,0,1,0,1,0,90,199,3,0,1,0,1,0,11,0,0,10,0,0,0,0
10,275,0,51,2,1,8,1,114,0,0,0,1,1,1,0,0,0,1,0,0,41,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0
20,539,0,51,1,1,11,0,82,0,1,0,1,0,1,3,0,1,0,0,0,58,155,1,0,0,0,0,0,3,0,0,20,0,0,1,0
30,803,0,37,1,1,6,1,75,0,1,0,3,0,0,1,0,1,0,0,0,33,96,1,0,1,0,1,0,2,0,0,1,0,0,0,0
40,1067,0,51,0,0,7,1,77,0,0,0,3,0,2,1,1,0,0,0,0,53,119,4,0,1,0,0,0,3,0,0,11,1,0,0,0
50,1331,0,49,3,1,8,0,81,0,1,0,5,0,0,0,0,0,0,0,0,36,111,3,0,0,0,0,0,1,0,0,1,0,0,2,0
60,1595,0,56,2,1,15,3,70,0,5,0,6,0,0,4,2,0,0,1,0,44,158,5,0,3,0,0,0,2,0,0,12,0,0,0,0
70,1859,0,59,1,0,8,0,105,0,0,0,6,0,0,0,0,0,0,0,0,53,142,1,0,0,0,0,0,2,0,0,1,0,0,0,0
80,2123,0,46,0,0,8,3,81,0,1,0,5,0,0,0,0,0,0,0,0,47,211,1,0,1,0,1,0,2,0,0,19,0,0,0,0
90,2387,0,52,1,0,9,1,86,0,0,0,1,0,0,0,0,0,0,0,0,46,133,2,0,0,0,0,0,6,0,0,4,0,0,0,2
100,2651,0,36,0,0,0,0,66,0,1,0,3,0,0,1,0,0,0,0,0,56,158,4,0,0,0,0,0,2,0,0,8,0,0,0,0
110,2915,1,22,0,1,7,1,53,1,1,0,5,0,3,2,0,0,0,0,0,50,129,2,0,0,0,0,0,1,1,0,0,0,0,0,0
120,3179,1,50,1,0,9,1,59,0,2,0,1,0,0,0,0,2,0,1,0,41,154,2,0,0,0,1,0,5,0,0,2,0,0,0,0
