"sample.depths","sample.ages","Picea","Pinus","Larix","Betula","Populus","Quercus","Acer","Juniperus","Alnus","Salix","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Arctostaphylos","Chenopodiineae","Rosaceae","Polygonaceae","Caryophyllaceae","Brassicaceae","Cyperaceae"
0,-41,0.486754966887417,0.076158940397351,0,0.0629139072847682,0,0,0,0.00662251655629139,0.0463576158940397,0.00993377483443709,0.201986754966887,0.0397350993377483,0.0132450331125828,0.00662251655629139,0,0.00662251655629139,0.0033112582781457,0.0198675496688742,0,0,0.0198675496688742
50,991,0.543333333333333,0.0833333333333333,0.0133333333333333,0.06,0,0,0,0,0.0266666666666667,0.0166666666666667,0.106666666666667,0.0566666666666667,0.0133333333333333,0,0.01,0,0.01,0,0,0,0.06
100,2023,0.739247311827957,0.104838709677419,0,0.0295698924731183,0,0,0,0.00537634408602151,0.0349462365591398,0.0134408602150538,0.0349462365591398,0.00537634408602151,0,0.00537634408602151,0.00537634408602151,0,0.00268817204301075,0,0.00268817204301075,0.00268817204301075,0.0134408602150538
150,3056,0.623100303951368,0.106382978723404,0,0.0455927051671733,0,0,0,0,0.112462006079027,0.0182370820668693,0.0547112462006079,0.0151975683890578,0.00303951367781155,0,0,0,0.00911854103343465,0,0.00303951367781155,0,0.00911854103343465
200,4089,0.251908396946565,0.0381679389312977,0,0.139949109414758,0.00254452926208651,0,0.00254452926208651,0,0.348600508905852,0.0330788804071247,0.0152671755725191,0.0279898218829517,0.0203562340966921,0.0152671755725191,0,0.0101781170483461,0,0,0,0,0.094147582697201
250,5122,0.769574944071588,0.0357941834451902,0,0.0671140939597315,0,0,0,0,0.0268456375838926,0.00671140939597315,0.0178970917225951,0.0246085011185682,0.00671140939597315,0,0,0.00894854586129754,0.00447427293064877,0.0134228187919463,0.00447427293064877,0,0.0134228187919463
300,6154,0.431428571428571,0.0885714285714286,0,0.12,0,0,0,0.00571428571428571,0.148571428571429,0.0257142857142857,0.0885714285714286,0.02,0.00571428571428571,0,0,0.0228571428571429,0.00857142857142857,0,0,0,0.0342857142857143
350,7187,0.60632183908046,0.0459770114942529,0.00862068965517241,0.120689655172414,0,0.0028735632183908,0,0.00862068965517241,0.0977011494252874,0.0172413793103448,0.00574712643678161,0.00574712643678161,0.014367816091954,0.0114942528735632,0,0.00862068965517241,0.00574712643678161,0,0.0028735632183908,0.0028735632183908,0.0344827586206897
