"sample.depths","sample.ages","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","cf..Oxyria.digyna","Chamaedaphne.calyculata","Corylus.cornuta","Cyperaceae","Dryas","Equisetum","Ericaceae.undiff.","Fagus","Huperzia.selago.type","Isoëtes","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.tremuloides.type","Pyrola","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Salix","Sphagnum","Thalictrum","Typha.Sparganium","Ulmus","Unknown..monolete.","Unknown..trilete.","Vaccinium.oxycoccos","Vaccinium.uliginosum.type"
0,0,1,0,6,38,0,0,1,0,0,162,0,0,2,3,235,0,0,30,1,18,0,1,0,1,1,1,0,0,2,85,30,4,2,15,2,3,0,0,0,5,1,3,4,0,0,0,4,3,0,7
5,258,0,0,3,32,0,1,7,1,0,84,0,0,0,0,384,0,0,6,0,0,0,0,0,1,0,2,0,0,0,114,61,2,0,19,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,3
15,773,0,0,1,47,0,0,5,0,0,70,0,0,0,0,212,0,4,1,0,0,0,0,1,1,0,3,2,0,2,107,39,5,1,9,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
25,1289,0,0,8,81,0,0,0,1,0,50,0,0,0,0,90,0,0,1,0,0,0,0,2,1,0,4,0,0,0,92,36,4,1,8,3,1,0,1,0,0,0,4,3,0,0,0,1,0,0,0
35,1804,0,0,2,71,0,1,0,0,0,59,1,0,3,0,175,0,0,1,0,0,0,2,0,4,0,1,0,0,5,68,33,3,0,9,0,1,0,0,0,2,0,0,9,0,0,0,1,0,1,0
45,2320,0,0,1,61,0,0,0,2,0,65,0,0,0,2,178,3,1,3,0,0,2,2,1,2,0,2,1,0,0,66,36,2,0,3,2,0,0,0,0,5,0,2,19,0,0,0,0,1,0,0
55,2836,0,0,4,107,0,0,3,1,0,121,0,0,0,0,166,0,0,3,0,0,0,0,0,1,0,3,0,0,7,87,13,1,0,0,2,0,0,1,0,3,0,1,36,0,0,2,0,0,0,0
65,3351,0,0,2,70,0,0,0,1,1,51,0,0,1,0,140,0,0,5,0,0,2,1,0,0,0,5,0,1,5,63,17,1,1,0,4,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0
75,3867,0,0,1,119,0,1,1,0,0,73,0,0,1,0,216,0,0,4,0,1,6,1,0,1,0,5,2,0,13,85,13,5,0,2,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
85,4307,0,0,1,142,0,0,0,1,0,93,0,2,0,0,112,0,0,3,0,0,5,0,0,0,0,9,0,0,14,75,15,0,0,0,4,0,0,3,0,1,0,4,9,0,1,0,1,0,0,0
95,4656,0,0,0,215,0,0,0,3,0,144,0,1,0,0,140,0,0,5,0,0,14,0,0,1,0,18,0,0,2,112,23,1,0,1,7,0,0,1,0,3,0,2,7,0,1,0,3,0,0,0
105,5005,0,0,4,210,0,1,1,1,0,178,0,0,0,0,151,0,0,6,0,0,23,0,0,3,0,10,1,0,6,50,13,3,0,2,5,0,4,0,0,1,0,2,0,1,0,0,0,0,0,1
115,5354,0,0,4,142,1,1,1,1,0,144,0,0,0,0,130,0,0,2,0,0,5,1,0,3,0,3,0,0,0,19,5,3,1,0,6,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0
125,5703,0,1,6,101,1,0,3,0,0,237,0,0,1,0,134,0,0,5,0,0,1,1,0,0,0,3,0,0,4,12,2,4,2,1,1,0,0,0,0,1,0,2,25,0,0,0,1,0,0,0
