"sample.depths","sample.ages","upland.sum","Asteraceae.undiff.","Quercus","Salix","Vitis","Pinus","Amaranthaceae","Poaceae","Polygonaceae","Waltheria","Cephalanthus","Ulmus","Cyperaceae.undiff.","Justicia","Vigna","Casuarina","Annona","Bumelia","Ambrosia"
0.5,-37,92,4,8,2,10,26,34,2,2,4,0,0,0,0,0,0,0,0,0
4.5,50,62,0,0,0,4,26,18,0,0,0,4,2,2,2,2,2,0,0,0
9.5,701,72,0,0,0,0,18,48,0,0,0,6,0,0,0,0,0,0,0,0
12.5,1091,54,0,2,0,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0
15.5,1481,112,4,0,0,0,4,100,0,0,0,4,0,0,0,0,0,0,0,0
17.5,1741,326,6,0,2,0,2,304,2,0,0,6,0,2,0,0,0,2,0,0
18.5,1872,640,16,0,8,0,2,598,2,0,0,0,0,2,4,0,0,2,4,2
