"sample.depths","sample.ages","Abies","Alnus","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Caryophyllaceae","Cyperaceae","Dryas.type","Dryopteris.type","Ericaceae","Fabaceae","Fraxinus","Isoëtes","Lycopodium.type","Onagraceae","Picea","Pinus","Poaceae","Quercus","Rubus","Salix","Sphagnum","Woodsia"
10,2363,13,73,0,0,0,40,0,3,0,3,3,0,0,2,2,0,88,2,1,0,0,1,2,0
20,3469,22,203,0,0,0,42,0,2,0,15,6,0,0,1,4,1,121,3,3,0,1,0,5,1
30,4575,21,98,0,0,0,66,0,1,0,3,1,0,1,0,3,0,124,5,1,0,0,1,0,0
40,5681,15,86,0,1,0,60,0,0,0,13,1,0,0,0,7,0,83,2,2,0,0,2,0,0
50,6788,10,157,0,0,1,64,0,2,0,0,3,0,0,0,37,0,19,2,2,0,0,1,1,0
60,7894,2,96,0,1,0,51,0,16,1,1,11,0,0,0,4,0,19,7,6,0,3,21,0,0
70,NA,1,42,1,2,1,84,0,8,1,1,7,1,1,0,2,0,16,9,13,1,23,43,1,0
80,NA,0,19,3,4,0,46,2,10,0,1,3,0,0,0,4,0,10,12,7,0,1,12,0,0
90,NA,1,16,1,2,1,54,0,17,0,2,3,0,0,0,5,0,11,14,13,1,0,2,0,0
