"sample.depths","sample.ages","Acer.saccharinum.type","Artemisia","Betula","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Ambrosia","Ostrya.type","Amorpha","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..incana","Thuja.type","Larix","Melilotus.type","Platanus","Urtica.type","Acer.saccharum","Ephedra.trifurca.type","Cerealia.undiff.","Dalea.purpurea","Acer.negundo","Ephedra.viridis.type","Thalictrum","Alnus.cf..A..viridis","Abies","Sarcobatus.vermiculatus","Tilia","Rosaceae.undiff.","Tsuga","Agastache.type","Apiaceae","Lilium","Rumex","Ranunculus.type","Gentiana.puberulenta.type","Polygonum.lapathifolium.type","Dalea.candida.type","Asteraceae.subf..Cichorioideae","Potentilla.type","Brassicaceae"
0,-29,0.00309119010819165,0.00927357032457496,0.0494590417310665,0.00309119010819165,0.136012364760433,0.00618238021638331,0.00309119010819165,0.0618238021638331,0.00309119010819165,0.00154559505409583,0.304482225656878,0.0370942812982998,0.0850077279752705,0.0154559505409583,0.00618238021638331,0.00927357032457496,0.00309119010819165,0.00309119010819165,0.0556414219474498,0.00309119010819165,0.00309119010819165,0.0123647604327666,0.00927357032457496,0.142194744976816,0.0309119010819165,0.00309119010819165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,62,0,0.0233918128654971,0.050682261208577,0.00389863547758285,0.140350877192982,0,0,0.0584795321637427,0,0,0.175438596491228,0.0155945419103314,0.0974658869395711,0.00389863547758285,0.0116959064327485,0.0116959064327485,0,0.00389863547758285,0.0818713450292398,0.00389863547758285,0,0.0662768031189084,0.0350877192982456,0.177387914230019,0.0194931773879142,0,0.00389863547758285,0.00389863547758285,0.00389863547758285,0.00389863547758285,0.00389863547758285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,98,0,0.0257510729613734,0.0429184549356223,0.00858369098712446,0.11587982832618,0,0,0.0386266094420601,0,0.0128755364806867,0.304721030042918,0.0257510729613734,0.055793991416309,0.0171673819742489,0.00429184549356223,0.00858369098712446,0,0,0.0600858369098712,0.0171673819742489,0,0.036480686695279,0.0214592274678112,0.152360515021459,0.0257510729613734,0.00858369098712446,0,0,0,0,0,0.00429184549356223,0.00858369098712446,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,134,0,0.0212314225053079,0.0254777070063694,0.00849256900212314,0.140127388535032,0.00849256900212314,0,0.0679405520169851,0,0.00636942675159236,0.356687898089172,0.0212314225053079,0.0382165605095541,0.0212314225053079,0.0127388535031847,0.00849256900212314,0,0,0.029723991507431,0.0169851380042463,0,0.0127388535031847,0,0.169851380042463,0.00849256900212314,0,0.00424628450106157,0,0,0,0.00424628450106157,0,0,0,0.00424628450106157,0.00424628450106157,0.00424628450106157,0.00424628450106157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,200,0,0.018348623853211,0.0513761467889908,0.018348623853211,0.0990825688073395,0.0073394495412844,0.0036697247706422,0.0513761467889908,0.0073394495412844,0.0073394495412844,0.444036697247706,0,0.0330275229357798,0.0073394495412844,0.0110091743119266,0,0,0,0.0073394495412844,0.0110091743119266,0.0036697247706422,0.0330275229357798,0.0073394495412844,0.104587155963303,0.0477064220183486,0,0,0,0,0,0.0036697247706422,0,0,0,0,0,0,0.0073394495412844,0.0036697247706422,0.0036697247706422,0.0036697247706422,0.0036697247706422,0,0,0,0,0,0,0,0,0,0,0,0
70,355,0,0.0265151515151515,0.0416666666666667,0.00378787878787879,0.0833333333333333,0.00757575757575758,0,0.0643939393939394,0,0.00946969696969697,0.409090909090909,0.0113636363636364,0.0795454545454545,0.00757575757575758,0.0151515151515152,0.00757575757575758,0,0,0.0113636363636364,0.0227272727272727,0,0.053030303030303,0,0.0776515151515152,0.0378787878787879,0,0.00378787878787879,0,0,0,0,0,0,0,0.00757575757575758,0,0,0.0113636363636364,0.00378787878787879,0,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0
80,502,0,0.0193861066235864,0.0533117932148627,0.0161550888529887,0.111470113085622,0,0,0.0581583198707593,0.00323101777059774,0.024232633279483,0.389337641357027,0.00323101777059774,0.074313408723748,0.012924071082391,0.0161550888529887,0.00969305331179321,0,0,0.00646203554119548,0.012924071082391,0,0.0290791599353796,0.012924071082391,0.108239095315024,0.0290791599353796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323101777059774,0,0,0,0.00323101777059774,0.00323101777059774,0,0,0,0,0,0,0,0,0,0
90,695,0,0.0352250489236791,0.0900195694716243,0.00391389432485323,0.0841487279843444,0.0156555772994129,0,0.129158512720157,0,0.025440313111546,0.334637964774951,0.00782778864970646,0.0352250489236791,0,0.00391389432485323,0.00391389432485323,0,0,0.0117416829745597,0.0117416829745597,0,0.0665362035225049,0.00391389432485323,0.0684931506849315,0.0234833659491194,0.0117416829745597,0,0,0.00391389432485323,0,0,0,0,0,0.00391389432485323,0,0,0.0117416829745597,0.00587084148727984,0,0,0,0,0,0.00391389432485323,0.00391389432485323,0,0,0,0,0,0,0,0
105,983,0,0.0221729490022173,0.12860310421286,0.0177383592017738,0.135254988913525,0.0177383592017738,0,0.0753880266075388,0,0.00665188470066519,0.23059866962306,0,0.110864745011086,0.00443458980044346,0.00886917960088692,0.00443458980044346,0,0,0.00886917960088692,0.0266075388026608,0.00886917960088692,0.048780487804878,0,0.0643015521064302,0.057649667405765,0.00886917960088692,0,0,0,0,0.00886917960088692,0,0,0,0,0,0,0,0,0,0,0.00443458980044346,0,0,0,0,0,0,0,0,0,0,0,0
130,1464,0,0.0414746543778802,0.0737327188940092,0.00921658986175115,0.163594470046083,0,0,0.170506912442396,0,0.0161290322580645,0.225806451612903,0.00921658986175115,0.0552995391705069,0.0138248847926267,0.0414746543778802,0.0230414746543779,0,0,0.0184331797235023,0.0184331797235023,0.00460829493087558,0.0253456221198157,0,0.0138248847926267,0.0391705069124424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184331797235023,0.00921658986175115,0.00921658986175115,0,0,0,0,0
150,1848,0,0.0221774193548387,0.0524193548387097,0.0201612903225806,0.25,0.00403225806451613,0,0.262096774193548,0,0,0.163306451612903,0.00806451612903226,0.0403225806451613,0.0120967741935484,0.0362903225806452,0.00403225806451613,0,0,0.00806451612903226,0.00806451612903226,0,0.0362903225806452,0.00806451612903226,0.0221774193548387,0.0201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0.00403225806451613,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0.0100806451612903,0,0,0,0
160,2040,0,0.0442913385826772,0.0590551181102362,0.00984251968503937,0.334645669291339,0.00984251968503937,0,0.16240157480315,0.00984251968503937,0,0.123031496062992,0.00492125984251968,0.0664370078740158,0.00984251968503937,0.0369094488188976,0,0,0,0.00984251968503937,0.00984251968503937,0.00984251968503937,0.0329724409448819,0.0147637795275591,0.0123031496062992,0.0295275590551181,0,0,0,0,0,0,0,0,0,0,0,0,0.00492125984251968,0,0.00492125984251968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2425,0,0.013009540329575,0.0520381613183001,0.013009540329575,0.37510841283608,0.013009540329575,0,0.151777970511709,0,0.00433651344319167,0.0910667823070252,0,0.0737207285342585,0.00867302688638335,0.0303555941023417,0.00867302688638335,0,0,0.0303555941023417,0.0346921075455334,0.00433651344319167,0.0199479618386817,0.00867302688638335,0.00650477016478751,0.0173460537727667,0.00867302688638335,0.00867302688638335,0,0,0,0,0.00433651344319167,0,0,0,0,0.00433651344319167,0.00433651344319167,0,0,0.00433651344319167,0,0,0,0,0,0,0.00433651344319167,0,0.00433651344319167,0,0,0,0
210,NA,0,0.0458015267175573,0.0244274809160305,0.00610687022900763,0.459541984732824,0,0,0.174045801526718,0,0.00458015267175573,0.0778625954198473,0.00305343511450382,0.0519083969465649,0.0122137404580153,0.067175572519084,0.00305343511450382,0,0,0.0122137404580153,0.00305343511450382,0.00305343511450382,0.00763358778625954,0.0122137404580153,0.00152671755725191,0.00916030534351145,0,0,0,0,0,0,0.00305343511450382,0,0,0,0.00305343511450382,0.00305343511450382,0.00305343511450382,0,0,0,0,0,0,0,0,0,0,0,0,0.00916030534351145,0,0,0
229,NA,0,0.0633245382585752,0.0131926121372032,0,0.465699208443272,0.00263852242744063,0,0.238786279683377,0,0,0.0527704485488127,0.0131926121372032,0.0343007915567282,0.0131926121372032,0.0343007915567282,0,0,0,0.0079155672823219,0.00263852242744063,0,0.00395778364116095,0.0158311345646438,0.00923482849604222,0.00527704485488127,0,0,0,0,0,0,0,0,0.00263852242744063,0,0,0,0.00263852242744063,0,0,0.00263852242744063,0,0,0,0,0,0,0.00263852242744063,0,0.00263852242744063,0,0.00527704485488127,0.00263852242744063,0.00263852242744063
