"sample.depths","sample.ages","Carya","cf..Rhus","Fraxinus","Ilex","Myrica","Nyssa","Pinus","Quercus","Salix","Ulmus","Asteraceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Poaceae","Polygonum","Smilax","Xyris"
2,21,0.00204081632653061,0,0,0.151020408163265,0.310204081632653,0,0.0469387755102041,0.271428571428571,0.0163265306122449,0,0.0755102040816327,0.0469387755102041,0.00612244897959184,0.026530612244898,0,0,0.0469387755102041
15,357,0,0.00280898876404494,0,0.646067415730337,0.0393258426966292,0,0.0252808988764045,0.0786516853932584,0,0,0.117977528089888,0.0421348314606742,0.00280898876404494,0.0224719101123595,0.00280898876404494,0.00280898876404494,0.0168539325842697
30,737,0,0.00238663484486874,0,0.260143198090692,0.0692124105011933,0.00954653937947494,0.0262529832935561,0.167064439140811,0.0143198090692124,0,0.116945107398568,0.303102625298329,0,0.0190930787589499,0.00238663484486874,0.00238663484486874,0.0071599045346062
45,947,0,0,0.00251889168765743,0.0680100755667506,0.216624685138539,0.00503778337531486,0.0403022670025189,0.226700251889169,0,0,0.0780856423173804,0.287153652392947,0.00251889168765743,0.0478589420654912,0,0,0.0251889168765743
60,1186,0,0,0,0.0519187358916479,0.133182844243792,0.0158013544018059,0.0203160270880361,0.2686230248307,0.0316027088036117,0,0.0632054176072235,0.327313769751693,0.00225733634311512,0.0338600451467269,0,0,0.0519187358916479
75,2299,0.0142857142857143,0.0142857142857143,0,0.0142857142857143,0.157142857142857,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0142857142857143,0.0142857142857143,0.128571428571429,0.171428571428571,0,0.314285714285714,0,0.0285714285714286,0
105,6733,0,0,0,0.0294117647058824,0.191176470588235,0,0.264705882352941,0.220588235294118,0.0147058823529412,0.0147058823529412,0.0588235294117647,0.0294117647058824,0.0294117647058824,0.147058823529412,0,0,0
120,8168,0,0,0,0.0493827160493827,0.469135802469136,0.0123456790123457,0.037037037037037,0.0246913580246914,0.0246913580246914,0,0.197530864197531,0.0123456790123457,0.0617283950617284,0.111111111111111,0,0,0
135,9422,0,0,0,0.00477326968973747,0.13126491646778,0,0.331742243436754,0.0405727923627685,0.138424821002387,0.00477326968973747,0.0214797136038186,0.0143198090692124,0.0381861575178998,0.267303102625298,0,0.0071599045346062,0
150,NA,0,0,0,0.0357142857142857,0.0952380952380952,0.0158730158730159,0.361111111111111,0.0515873015873016,0.28968253968254,0.00793650793650794,0.0357142857142857,0.0158730158730159,0.0674603174603175,0.0238095238095238,0,0,0
