"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Viburnum.edule","Salix.undiff.","Populus.tremuloides.type","Pinus.resinosa.type","Rhamnus.cathartica","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ilex.Nemopanthus.undiff.","Acer.spicatum","Saxifraga.oppositifolia.type","Viburnum.opulus","Asteraceae.subf..Cichorioideae","Impatiens","Prunus.pensylvanica","Rosaceae.undiff.","Acer.saccharinum","Nemopanthus.mucronatus","Amaranthaceae","Morus.rubra.type","Juglans.nigra","Populus.balsamifera.type","Fraxinus.americana.type","Apiaceae","Asteraceae.undiff.","Picea.cf..P..glauca","Cornus","Sambucus","Onagraceae","Thalictrum","cf..Oxyria.digyna","Ephedra","Salix.herbacea.type","Sedum"
5,77,621,1,2,9,4,22,6,339,1,3,1,58,3,3,2,4,3,14,3,20,1,1,1,8,9,16,8,6,1,1,4,1,7,7,15,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,387,690,1,0,12,5,0,1,298,0,2,0,68,12,6,0,2,1,10,28,29,0,5,1,18,21,4,6,24,1,0,0,3,5,23,0,80,0,0,1,1,2,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,773,728,1,0,7,1,1,0,338,0,2,1,98,10,5,3,3,1,15,23,26,0,2,0,18,22,0,2,20,1,0,2,0,5,18,0,84,0,0,0,0,0,11,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1160,589,0,2,10,3,2,3,332,0,5,1,71,11,4,3,1,1,5,13,22,0,2,0,10,9,0,2,16,1,2,0,1,0,16,0,28,0,0,2,0,0,1,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1546,522,0,1,7,3,1,0,263,0,1,2,74,5,2,1,2,2,4,23,22,1,0,0,10,6,0,2,23,2,1,2,0,4,18,1,33,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1933,555,0,2,10,2,0,1,307,0,1,1,72,18,5,1,1,3,1,13,26,0,2,0,23,1,0,1,14,1,0,1,0,1,14,0,25,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2320,784,2,3,5,3,1,1,364,0,0,1,117,9,5,2,2,0,5,30,40,2,2,0,21,22,1,4,25,1,0,2,1,3,33,0,65,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2706,615,1,0,8,4,1,1,314,0,1,1,96,10,6,0,2,5,4,40,17,1,2,1,16,19,0,1,17,0,1,1,3,1,20,0,13,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3093,577,1,0,11,3,1,0,278,0,0,2,96,9,4,0,3,1,2,27,16,0,2,0,15,20,2,4,15,2,2,4,0,4,23,1,23,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3479,601,1,2,9,3,0,0,352,0,0,2,60,4,4,3,2,4,3,38,18,2,1,0,11,17,0,5,16,0,0,0,3,5,17,0,7,0,0,0,0,0,5,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
