"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Castanea","Cupressaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Platanus","Quercus","Tsuga","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Corylus","Cyperaceae","Larix","Amorpha","Asteraceae.subf..Asteroideae.undiff.","Juglans.cinerea","Myrica","Artemisia","Tilia","Salix","Ephedra.torreyana.type","Amaranthaceae","Acer.rubrum","Juglans.nigra"
1,59,205,3,30,1,2,7,3,5,1,5,1,11,15,4,5,9,4,1,3,4,1,79,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,758,203,0,38,0,0,2,10,3,1,5,0,16,21,3,3,1,2,0,0,2,0,80,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30,1125,202,2,36,0,0,7,9,2,5,3,1,7,20,2,0,1,1,2,0,6,1,86,6,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
40,1493,202,0,29,0,0,2,14,2,2,1,2,10,26,2,1,0,1,1,0,4,0,93,8,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
50,1861,204,0,24,0,0,6,11,4,2,4,1,7,16,6,3,0,1,0,0,4,0,97,11,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0
60,2229,203,0,28,1,1,3,11,3,1,1,0,8,27,6,4,0,0,1,0,3,0,95,3,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0
70,2597,201,1,26,0,0,6,8,1,4,3,1,7,23,1,2,0,0,1,0,4,0,98,11,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
80,2964,201,1,22,1,0,11,12,1,0,1,1,7,22,3,1,0,1,0,0,1,0,104,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
90,3332,204,1,26,0,0,2,10,4,3,3,1,6,18,5,1,0,2,1,0,3,0,103,11,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
100,3642,201,2,26,0,0,11,9,1,1,0,2,9,14,2,2,0,2,0,0,1,0,99,16,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
110,3894,205,0,18,0,0,8,9,5,3,2,1,9,6,4,1,0,0,0,0,3,0,110,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4146,202,0,19,0,0,6,6,2,6,2,0,10,5,1,3,0,1,1,0,5,0,127,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,4398,202,0,18,0,0,5,7,2,4,2,0,15,5,2,4,0,0,1,0,4,0,126,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
140,4650,204,1,22,0,0,4,1,6,1,0,1,14,4,8,2,1,3,0,0,5,0,117,9,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,4902,207,0,13,1,0,8,2,6,2,1,0,10,5,7,3,1,2,1,1,1,0,133,3,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0
160,5154,201,0,13,0,0,4,2,1,4,2,0,12,4,1,4,0,0,0,1,2,0,143,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
170,5406,201,0,24,1,0,4,5,1,3,1,1,13,7,1,1,0,0,0,1,3,0,123,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5627,202,0,23,0,0,2,4,2,1,2,1,14,12,4,6,0,1,0,1,4,0,109,10,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
190,5817,201,0,17,0,0,3,4,1,0,2,0,7,25,3,2,0,1,0,0,0,0,113,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
200,6007,200,0,18,1,0,1,2,0,2,0,0,8,15,4,1,1,0,1,0,6,0,120,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
210,6197,206,0,18,0,0,6,3,4,0,2,0,13,22,3,2,0,0,0,0,3,0,112,11,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0
220,6386,201,0,9,0,0,4,3,1,0,2,2,6,20,2,1,1,0,0,0,2,0,128,16,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
230,6576,202,1,10,0,0,7,7,2,1,0,1,8,14,2,2,0,2,2,0,2,0,123,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,6766,203,0,11,1,0,1,2,3,2,4,0,9,11,1,0,0,0,1,0,3,1,126,22,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
250,6956,204,1,17,1,0,3,3,4,2,2,2,5,9,2,3,3,3,1,1,5,0,120,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
260,7146,202,0,11,1,0,2,5,2,2,2,3,11,11,4,5,0,0,0,1,5,1,120,10,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0
270,7336,201,1,6,1,0,1,4,1,6,0,0,8,6,1,3,0,1,1,0,4,0,140,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
280,7526,202,3,13,1,0,1,3,2,10,0,2,11,2,3,0,0,0,0,0,3,0,135,9,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
290,NA,202,0,8,0,0,1,0,2,4,1,2,11,2,4,0,0,2,1,0,1,0,143,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
300,NA,205,0,5,0,0,4,1,5,2,0,0,14,0,2,2,3,5,0,0,1,0,135,20,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1
310,NA,204,0,13,3,0,0,1,4,3,2,0,6,0,4,1,0,2,1,0,1,0,116,44,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
