"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Carya.ovata","Caryophyllaceae","cf..Callitriche","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.sibiricum.type","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
0,1,0,0,0,6,169,1,3,0,1,4,0,76,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,123,23,64,0,7,0,0,0,1,0,0,2,0,2,0,0,3,0,0,4,0,0,0,0,1,0,0,1,0,3,14,0,0
20,530,0,0,2,2,137,2,0,0,1,0,0,78,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,1,0,3,0,1,1,0,0,0,0,197,22,82,1,6,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,25,0,0
40,1061,1,0,2,7,186,0,0,0,3,1,0,104,0,0,0,0,10,0,0,0,1,11,0,1,1,0,0,1,21,0,0,0,1,10,2,1,0,5,0,2,0,0,0,0,0,0,5,184,39,102,8,16,0,2,0,0,1,0,1,0,0,1,0,0,0,0,62,0,0,1,0,0,0,0,1,1,15,1,0,0
60,1591,0,0,0,5,191,2,0,0,3,1,0,74,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,14,0,0,1,0,4,0,0,0,7,1,0,0,0,1,1,0,0,0,189,27,113,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,13,0,0
80,2122,1,0,2,3,131,0,1,0,1,0,0,87,0,0,0,0,7,0,0,0,0,4,0,0,1,1,0,0,11,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,112,21,61,1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,16,0,0
100,2652,0,0,0,5,134,0,1,0,2,2,0,118,0,0,0,0,10,0,0,0,0,3,0,0,0,1,0,0,26,0,0,2,0,1,0,0,0,5,2,2,0,0,1,0,0,1,0,196,21,65,1,3,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0
120,3183,1,0,1,7,100,0,0,0,4,0,2,105,0,0,1,0,9,0,1,0,0,2,0,1,0,1,1,0,8,0,0,0,2,5,0,0,0,5,1,1,1,0,0,0,0,3,2,150,0,41,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,9,1,0,0
130,3448,0,0,1,1,195,0,0,0,2,0,2,95,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,15,0,0,1,4,3,0,0,0,5,0,2,0,0,0,0,0,1,0,122,34,41,2,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,1,24,3,0,0
140,3713,1,0,0,3,112,3,0,0,2,3,0,117,0,0,0,1,9,0,0,0,0,4,0,0,0,0,1,0,20,0,0,2,0,0,0,0,0,5,0,7,0,0,2,0,0,0,2,182,23,29,0,3,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,6,0,0
150,3978,0,0,0,11,118,2,0,0,3,3,0,114,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,15,0,0,2,5,4,0,0,0,3,0,4,0,1,0,0,0,2,0,119,19,40,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,8,16,1,0
