"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Ilex","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fabaceae","Rosaceae.undiff.","Juglans","Myrica","Pinus","Poaceae","Polygonum","Asteraceae.subf..Cichorioideae","Picea","Thalictrum","Fraxinus","Populus","Amaranthaceae","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Nyssa","Viburnum","Impatiens","Platanus","Liriodendron","Abies","Acer.undiff.","Potentilla.type","Ranunculaceae.undiff.","Trees.undiff.","Rhamnaceae","Corylus","Artemisia","Apiaceae","Caryophyllaceae","Celtis","Larix","Liliaceae","Onagraceae","Galium","Plantago","Shepherdia.canadensis","Dryas.type"
7.5,27,0.003003003003003,0.042042042042042,0.0760760760760761,0.0730730730730731,0.042042042042042,0.035035035035035,0.031031031031031,0.003003003003003,0.042042042042042,0.007007007007007,0.031031031031031,0.007007007007007,0.014014014014014,0.263263263263263,0.021021021021021,0.007007007007007,0.003003003003003,0.007007007007007,0.135135135135135,0.007007007007007,0.021021021021021,0.003003003003003,0.003003003003003,0.033033033033033,0.087087087087087,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,89.5,0.00432432432432432,0.00864864864864865,0.0713513513513514,0.0356756756756757,0.0302702702702703,0.0616216216216216,0.0345945945945946,0,0.065945945945946,0,0.00432432432432432,0.00432432432432432,0.00216216216216216,0.35027027027027,0.0140540540540541,0.0205405405405405,0.0324324324324324,0.00648648648648649,0.139459459459459,0,0,0,0.00648648648648649,0.0356756756756757,0.0367567567567568,0,0.00216216216216216,0.00108108108108108,0.00216216216216216,0.0227027027027027,0.00432432432432432,0.00216216216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,127,0.00514933058702369,0.023686920700309,0.0813594232749743,0.0205973223480947,0.01956745623069,0.023686920700309,0.043254376930999,0,0.0720906282183316,0,0.01956745623069,0,0.00514933058702369,0.43048403707518,0.00926879505664264,0.00926879505664264,0.023686920700309,0.00411946446961895,0.102986611740474,0,0.00514933058702369,0,0.00514933058702369,0.0597322348094748,0.0257466529351184,0,0,0.00205973223480947,0,0.0082389289392379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,216,0.0087527352297593,0.0175054704595186,0.0218818380743982,0.0525164113785558,0.0437636761487965,0.0568927789934354,0.00437636761487965,0,0.00547045951859956,0,0.0262582056892779,0.0087527352297593,0.0175054704595186,0.37527352297593,0.00437636761487965,0.0131291028446389,0.0350109409190372,0.00437636761487965,0.175054704595186,0.00437636761487965,0.00437636761487965,0,0.0175054704595186,0.050328227571116,0.0175054704595186,0,0,0.00437636761487965,0.00437636761487965,0.0087527352297593,0,0,0.00437636761487965,0.0087527352297593,0.00437636761487965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,281,0,0.0214067278287462,0.0101936799184506,0.089704383282365,0.0428134556574924,0.0285423037716616,0,0,0.0428134556574924,0.00713557594291539,0.0101936799184506,0.00713557594291539,0,0.474006116207951,0,0.0214067278287462,0.0254841997961264,0.00713557594291539,0.146788990825688,0,0,0,0,0.0468909276248726,0,0,0,0.00713557594291539,0,0.00713557594291539,0,0,0,0,0,0.00407747196738022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.4,420,0.00304259634888438,0.00608519269776876,0.0101419878296146,0.0963488843813387,0.039553752535497,0.0365111561866126,0.00304259634888438,0.00608519269776876,0.026369168356998,0.00304259634888438,0.0162271805273834,0.00608519269776876,0.00608519269776876,0.483772819472617,0,0.0162271805273834,0.0202839756592292,0,0.129817444219067,0,0,0,0.00608519269776876,0.0496957403651116,0.00304259634888438,0,0,0.00304259634888438,0,0.026369168356998,0,0,0,0,0,0,0.00304259634888438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,594,0,0.0204918032786885,0.0102459016393443,0.0717213114754098,0.0307377049180328,0.0358606557377049,0,0,0.0256147540983607,0,0.0153688524590164,0,0,0.444672131147541,0,0.0204918032786885,0.0102459016393443,0.0307377049180328,0.138319672131148,0,0.00512295081967213,0,0.0102459016393443,0.0584016393442623,0.0461065573770492,0,0,0,0,0.0153688524590164,0,0,0,0,0,0.00512295081967213,0,0.00512295081967213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.5,783.5,0.0121334681496461,0.00505561172901921,0,0.0738119312436805,0.0616784630940344,0.0232558139534884,0,0,0.0465116279069767,0,0.0252780586450961,0.00202224469160768,0.00505561172901921,0.508594539939333,0,0.0252780586450961,0.00808897876643074,0.0131445904954499,0.125379170879676,0,0,0,0.00202224469160768,0.0283114256825076,0.0101112234580384,0,0,0.00404448938321537,0,0.0182002022244692,0,0,0,0,0,0,0,0,0.00202224469160768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,982,0.00407747196738022,0.0203873598369011,0.00407747196738022,0.0927624872579,0.0438328236493374,0.0326197757390418,0.00203873598369011,0.00713557594291539,0.0234454638124363,0.00407747196738022,0.0234454638124363,0,0.00713557594291539,0.416921508664628,0,0.0326197757390418,0.018348623853211,0.00713557594291539,0.155963302752294,0,0.0142711518858308,0,0,0.0601427115188583,0.00203873598369011,0,0,0.00101936799184506,0.00203873598369011,0.018348623853211,0.00203873598369011,0.00203873598369011,0,0,0.00203873598369011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.6,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
