"sample.depths","sample.ages","Abies","Acer","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Isoëtes","Juglans","Larix","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Quercus","Rumex","Salix","Sphagnum","Tilia","Trees.undiff.","Tsuga","Ulmus","Unknown"
0,11,0,9,6,0,0,35,1,2,10,49,4,2,0,0,7,4,2,5,1,0,41,114,1,0,0,47,0,4,2,53,2,262,9,4,32,1,115,26,1,2,0,6,5,6,2
0,11,0,9,6,0,0,35,1,2,10,49,4,2,0,0,7,4,2,5,1,0,41,114,1,0,0,47,0,4,2,53,2,262,9,4,32,1,115,26,1,2,0,6,5,6,2
25,253,0,9,10,0,1,37,0,0,14,83,7,5,0,0,5,1,4,13,4,4,34,109,1,0,1,42,2,5,3,28,13,156,3,0,31,0,137,39,2,0,0,0,5,3,0
28,282,0,3,5,0,1,22,0,1,7,38,2,2,0,0,0,1,3,10,1,0,26,48,1,0,0,39,1,3,3,15,1,102,0,1,17,0,55,0,0,0,0,1,4,1,0
31,311,0,7,7,0,1,18,1,1,5,31,1,3,0,0,4,0,3,15,0,0,36,31,2,0,1,28,0,4,3,19,3,108,3,2,6,0,63,34,0,0,0,2,6,0,0
35,419,0,1,3,0,1,3,0,3,3,33,4,1,0,0,1,0,1,12,4,1,18,20,2,0,0,18,1,2,1,8,2,86,0,0,7,0,69,17,0,0,0,0,9,3,1
45,862,1,3,2,1,0,0,0,0,3,37,8,3,0,0,1,1,1,13,4,2,26,17,0,0,1,19,0,4,1,9,6,122,0,0,6,0,116,3,0,0,0,0,12,7,0
55,1318,1,1,4,0,0,0,0,0,6,27,9,1,0,0,2,0,2,36,4,0,19,7,1,0,0,14,0,2,1,17,17,128,0,0,2,0,73,0,0,0,0,0,11,4,0
65,1811,0,4,5,0,0,1,0,0,4,32,6,1,0,1,0,0,0,20,4,0,57,2,0,0,0,15,0,3,0,20,12,174,0,0,4,0,52,1,1,0,1,0,10,4,0
75,2304,0,9,3,1,1,0,0,0,0,20,7,1,0,0,1,1,0,17,4,0,50,10,0,3,0,13,0,3,0,20,12,138,0,1,4,0,105,0,1,0,0,0,2,4,0
82,2649,0,1,2,1,1,0,0,0,0,15,0,0,0,0,1,0,0,8,1,0,21,0,0,0,0,14,5,2,0,8,10,110,0,2,3,0,124,0,0,0,0,1,9,6,0
101,3586,0,5,2,0,1,0,0,0,0,23,5,1,0,0,2,3,0,14,3,1,11,3,0,0,0,17,0,4,0,13,17,162,0,2,1,0,67,0,0,0,0,0,4,4,0
105,3783,0,7,5,0,0,1,0,0,0,36,6,0,0,0,0,0,0,27,6,0,9,2,0,0,0,27,2,4,0,12,13,124,0,0,5,1,133,0,0,0,0,0,7,7,0
115,4277,0,6,1,0,0,0,0,1,0,20,10,0,0,0,1,1,0,33,2,0,32,2,3,0,0,31,0,4,1,31,12,171,0,3,0,2,96,1,1,0,0,0,1,2,0
125,4770,0,11,6,1,0,1,0,0,2,43,4,2,0,0,2,0,0,32,7,0,37,8,0,0,0,28,1,10,0,12,3,132,0,8,5,0,122,0,2,0,0,0,0,1,0
135,5263,0,6,4,1,0,0,0,1,3,35,5,3,0,0,2,1,0,29,3,0,43,8,0,0,1,29,1,4,1,10,9,110,0,3,5,0,97,0,0,1,0,1,8,5,0
145,5639,0,8,10,0,1,1,0,1,4,50,2,1,0,2,3,2,0,37,8,1,56,20,3,0,0,45,2,4,0,17,14,179,0,5,8,0,248,0,0,0,1,0,27,13,1
155,5976,0,1,5,0,0,0,0,0,2,21,1,1,0,0,1,1,0,27,5,0,25,4,3,0,0,24,3,2,1,25,3,147,0,4,3,0,135,1,0,0,0,0,16,6,0
165,6313,0,3,1,1,1,1,1,1,1,14,1,1,0,0,4,1,0,24,3,0,25,3,0,0,0,25,1,1,2,26,7,179,0,0,1,0,116,0,2,0,1,0,15,2,0
175,6650,0,2,4,0,0,1,0,2,4,22,3,0,0,0,4,5,1,39,6,0,36,2,1,0,0,8,1,8,0,13,8,146,0,2,1,0,164,0,0,0,1,0,29,8,0
185,6987,0,5,4,0,0,2,1,0,4,20,1,0,0,0,0,2,0,30,3,0,36,1,0,0,0,24,2,5,0,6,5,117,0,4,3,0,151,0,0,0,0,0,22,7,1
191,7190,0,2,4,1,0,1,1,0,0,27,1,1,0,0,4,2,1,11,3,0,41,4,0,0,0,13,1,4,0,14,4,121,0,4,0,1,176,2,0,0,0,0,22,8,1
205,7662,0,4,1,1,1,0,0,0,2,22,0,0,0,0,4,3,0,12,7,0,14,0,0,0,1,17,2,7,0,9,7,104,0,3,2,0,126,0,1,0,1,1,11,3,0
215,7999,0,5,4,0,0,2,0,1,3,22,2,1,0,0,0,3,0,18,4,1,27,1,0,0,0,27,5,3,1,16,5,118,0,2,2,0,87,1,0,0,0,0,10,7,1
225,8336,0,2,4,3,0,2,0,0,2,22,1,1,0,0,1,6,0,18,2,0,18,2,2,0,0,28,0,4,0,20,9,98,0,5,4,0,168,1,0,1,1,0,9,8,1
235,8673,0,1,5,0,1,0,0,0,2,14,2,0,0,0,1,6,0,2,1,0,13,3,0,0,1,34,1,4,0,8,8,113,0,0,5,0,100,0,0,0,0,0,7,3,0
245,9010,0,3,2,1,0,2,0,0,0,11,2,1,0,0,0,0,0,28,1,0,28,0,1,0,0,28,2,3,0,25,11,234,0,0,3,0,129,0,1,0,0,0,11,3,0
255,9270,0,5,6,1,1,2,0,2,3,21,3,0,0,0,0,2,0,12,3,0,40,2,0,0,1,24,3,5,1,7,9,134,0,0,9,0,131,0,0,0,0,6,5,2,0
265,9414,0,1,5,1,0,3,0,0,1,16,1,0,0,0,1,2,0,15,0,0,46,9,1,0,0,41,0,7,1,21,11,180,0,0,6,0,112,5,0,1,0,0,5,4,1
275,9558,0,2,2,3,1,2,0,1,4,19,2,0,0,0,0,1,2,23,3,0,47,9,0,0,1,56,10,5,0,8,15,139,0,1,9,0,148,0,1,0,0,0,6,2,0
285,9701,1,4,3,3,0,2,0,0,4,18,0,0,0,0,2,3,1,16,4,0,31,26,0,1,0,59,1,5,1,11,22,114,0,2,7,0,160,4,0,0,0,0,4,2,0
293,9817,0,3,5,2,0,1,0,0,2,8,0,0,0,0,2,2,0,6,2,0,17,30,1,0,0,29,3,1,2,14,16,130,0,0,4,0,121,0,1,0,0,0,6,3,0
305,9989,0,4,2,1,0,3,0,1,0,22,0,0,0,2,3,0,4,8,2,0,13,64,0,0,0,59,8,9,1,36,7,157,0,1,6,2,192,3,0,0,0,0,5,2,1
