"sample.depths","sample.ages","upland.sum","Betula","Bumelia","Celtis","Asteraceae.undiff.","Quercus","Rhizophora","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Cyperaceae.undiff.","Avicennia","Conocarpus","Casuarina","cf..Acanthaceae","Sophora","Carya","Fabaceae.undiff.","Liquidambar","Poaceae","Aster","Ilex","Alnus","Euphorbiaceae","Schinus","Bursera.simaruba","Hippocratea","Cephalanthus","Cornus","cf..Coccoloba","Ericaceae","Trema","Ostrya.Carpinus","Fraxinus","Juglans","Cyrilla.racemiflora","Polygonaceae","Cupressaceae.Taxaceae","Ephedra","Fagus"
1,-42,134,2,8,2,6,18,8,2,2,8,48,6,8,2,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-35,114,0,0,0,0,2,4,0,0,20,68,4,2,0,0,0,0,0,2,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-29,350,0,10,2,2,18,18,0,0,62,116,10,12,10,14,8,0,2,4,18,0,0,10,4,2,14,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-23,280,0,12,0,4,16,12,4,0,96,76,2,0,2,4,4,0,0,0,12,0,0,20,0,0,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-16,234,0,6,0,4,4,12,0,4,64,106,2,0,0,0,4,0,0,0,4,0,2,10,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-10,294,4,10,0,16,14,14,0,4,58,90,2,6,22,2,12,0,0,2,10,0,0,6,0,2,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,34,0,0,2,0,0,0,2,0,4,14,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
15,20,46,0,0,0,0,4,6,0,2,12,14,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,35,250,0,2,0,4,2,4,0,0,68,128,2,6,0,0,0,0,0,0,20,0,0,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,50,388,0,16,0,6,26,14,0,0,118,92,8,6,0,10,0,0,0,0,20,0,0,48,0,2,10,0,4,2,0,2,4,0,0,0,0,0,0,0,0,0,0
