"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Arceuthobium","Armeria","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cistaceae","Clethra","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Diphasiastrum.complanatum.type","Elymus","Ericaceae","Eriocaulon","Fagus","Fraxinus","Gentianaceae","Haloragaceae.undiff.","Herbs.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liliaceae","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis"
10,60,0,5,0,0,1,1,23,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,32,2,0,0,7,0,0,1,0,0,6,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,27,0,0,0,0,0,0,104,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0
20,120,0,25,0,0,8,0,5,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,10,0,11,42,4,0,0,40,0,0,4,0,0,4,0,20,0,0,0,1,0,0,0,14,0,0,0,0,0,0,15,8,0,0,0,134,0,17,4,0,0,0,404,0,3,1,0,0,2,0,0,0,0,179,0,0,0,0,0,0,0,0,19,0,0,0,47,0,0,1,0,0,2,13,12,0,0,0,2,6
30,470,0,64,0,3,13,1,1,0,0,0,0,0,1,0,8,0,0,0,26,0,2,0,0,0,8,0,8,373,0,0,0,22,0,5,8,0,0,0,0,2,2,0,0,3,0,0,0,20,0,0,0,0,0,0,44,3,0,0,0,522,0,15,8,0,1,0,534,0,4,3,0,0,3,0,0,0,0,333,0,1,0,0,0,1,0,0,29,0,1,0,187,2,0,0,1,0,10,12,22,6,0,0,0,6
40,1110,0,19,0,1,13,1,3,3,0,0,0,0,1,0,5,0,0,0,31,0,1,0,0,0,2,1,12,137,1,0,0,21,0,4,3,0,0,2,0,1,0,0,1,1,0,0,0,33,0,0,0,0,0,0,27,3,0,0,0,428,0,1,12,0,1,0,347,0,0,2,0,0,2,0,0,0,0,426,0,0,0,0,1,0,0,0,30,0,0,0,92,0,0,1,3,0,8,10,22,2,0,1,7,3
60,2390,0,41,1,0,7,0,0,0,0,0,0,0,2,0,6,0,0,0,14,1,0,0,1,0,11,0,9,161,0,0,0,16,0,5,7,0,0,1,0,2,19,0,0,0,0,0,0,20,0,0,0,0,0,0,26,6,0,0,0,282,0,21,4,0,0,0,393,0,2,2,0,0,2,0,0,0,0,237,0,3,0,0,0,0,0,0,41,0,0,0,97,0,2,0,1,0,7,22,15,8,0,0,0,4
70,3031,0,38,0,0,12,0,4,0,0,0,0,0,0,0,1,0,0,29,24,0,3,0,0,0,1,0,9,151,2,0,0,18,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,31,4,0,0,0,503,0,10,5,0,0,0,415,0,0,2,0,0,4,0,0,1,0,233,0,0,0,0,0,0,0,0,30,0,0,0,195,6,1,0,0,1,11,20,10,4,0,0,0,0
90,4311,0,40,2,1,8,2,2,0,0,0,0,0,3,2,3,0,0,0,31,0,0,0,0,0,8,0,6,604,10,0,0,31,0,9,6,0,0,39,0,3,2,0,0,0,0,0,0,20,1,0,0,0,0,0,69,5,0,0,0,174,0,5,7,0,0,0,470,0,1,5,0,0,2,1,0,0,0,415,0,0,0,0,0,1,0,0,44,0,3,0,38,7,1,0,0,0,6,14,19,5,0,2,5,0
102,5079,0,26,0,0,3,0,2,0,1,0,0,0,0,0,8,0,0,0,22,0,2,0,0,0,1,0,8,163,4,0,0,25,0,6,5,0,0,7,0,8,1,0,0,0,0,0,0,23,0,0,0,0,0,0,19,0,0,0,0,579,0,2,7,0,0,0,274,0,0,6,0,0,1,0,0,0,0,425,0,0,0,0,0,2,0,0,20,0,0,0,86,0,0,0,0,1,6,13,21,3,0,0,15,0
120,6232,0,5,0,1,9,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,1,0,0,0,4,0,0,115,6,0,0,12,0,4,3,0,0,14,0,2,6,0,0,0,0,0,0,18,1,0,0,0,0,0,5,2,0,0,0,156,0,3,5,0,0,0,107,0,0,2,0,0,1,0,0,0,0,270,0,0,0,0,0,0,0,0,6,0,0,0,24,1,0,0,0,1,7,13,19,1,0,1,0,3
127,6680,0,8,0,0,4,0,6,1,0,0,0,1,3,0,0,0,0,0,16,0,1,0,0,0,0,0,4,98,2,0,0,18,0,3,4,0,0,5,0,4,4,0,0,0,0,0,0,21,0,0,0,0,0,0,4,1,0,0,0,116,0,2,2,0,0,0,118,0,0,1,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,5,0,0,0,22,0,0,0,0,0,4,10,20,1,0,0,0,0
