"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dryopteris.type","Equisetum","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium","Zea.mays"
1,-29,0,0,1,12,0,0,4,57,0,0,1,5,1,15,0,0,2,0,0,1,0,0,1,5,7,1,2,0,0,2,1,0,0,0,0,16,0,0,2,0,0,0,0,0,0,1,0,0,4,1,15,0,0,16,0,8,0,3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,11,0,0,0
10,-21,0,0,2,3,0,0,3,31,0,0,2,2,0,16,0,3,0,0,0,1,0,0,0,8,7,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,21,0,7,0,0,33,2,1,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,5,8,0,0,0
20,-13,0,0,1,7,0,5,5,21,1,0,0,5,6,15,0,0,0,0,0,1,0,0,0,6,8,0,0,0,0,1,4,10,14,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,1,2,12,0,9,1,1,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,6,15,0,0,0
30,-5,0,2,0,5,0,4,3,63,0,0,1,6,4,5,0,1,0,0,0,0,0,0,3,0,12,1,0,0,4,1,5,2,7,0,3,10,0,0,0,0,2,1,0,0,0,0,1,0,6,1,14,0,1,30,0,6,0,3,31,0,0,0,2,1,1,0,0,0,0,2,0,0,1,0,1,1,7,12,1,0,0
40,3,0,0,0,5,0,1,4,22,1,0,1,0,1,8,3,0,3,0,0,0,0,0,2,15,9,0,0,0,0,1,0,2,2,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,20,1,7,0,1,36,0,1,0,0,3,2,0,0,0,0,1,0,0,0,3,0,2,2,9,1,0,0
50,12,0,0,0,4,0,1,4,56,0,0,1,0,6,7,1,0,1,0,0,0,1,0,2,41,16,0,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,15,0,2,26,0,2,0,1,11,0,0,1,1,0,7,0,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0
60,20,0,0,0,5,0,3,2,52,0,0,2,4,5,10,0,0,1,0,0,0,0,0,0,11,4,0,3,0,1,1,1,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,10,2,14,0,2,34,0,3,0,4,24,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,4,0,11,4,0,0,0
70,28,0,0,0,4,0,1,5,92,1,0,2,2,5,13,0,0,2,0,0,2,0,1,1,10,3,0,1,0,2,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,1,0,40,0,5,0,1,36,0,0,0,1,1,6,0,0,0,0,3,0,0,0,1,1,0,9,13,0,0,0
80,36,1,0,0,3,0,1,1,49,0,0,1,2,2,3,0,1,0,0,0,2,0,0,2,7,10,0,1,0,0,2,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,40,0,3,0,2,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,5,2,0,0,0
90,44,0,0,1,3,0,2,4,92,0,0,0,6,8,15,0,1,0,0,1,0,0,0,0,2,6,0,0,0,8,0,2,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1,0,64,0,5,0,2,29,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,19,3,0,0,0
