"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Herbs.undiff.","Ilex","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shepherdia","Shrubs.undiff.","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
15,10,0,5,0,1,0,20,0,1,0,3,0,8,0,0,0,0,14,0,5,0,0,0,18,2,0,2,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,5,0,0,57,2,0,7,0,1,0,0,0,0,139,0,0,12,0,0,0,0,0,0,0,0,0,1,3,0,2,1
20,155,0,5,0,1,0,8,0,0,0,0,0,2,0,0,0,0,11,0,8,0,0,0,25,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,58,0,0,9,0,1,0,0,0,1,155,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,1,1
25,300,0,3,1,1,0,4,0,0,0,1,0,1,0,0,0,0,8,0,16,0,0,0,38,0,0,2,0,1,14,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,6,0,58,1,0,9,0,1,0,0,0,3,141,0,0,14,0,0,0,0,0,0,0,1,0,0,2,0,0,2
35,1400,0,4,0,3,0,1,0,0,1,3,0,4,0,0,0,0,5,0,19,0,0,0,27,0,0,2,0,3,2,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,1,4,0,48,0,0,20,0,0,0,0,0,1,146,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0
45,2500,0,3,0,2,0,3,0,0,0,5,0,4,0,0,0,0,11,0,19,0,0,0,15,1,0,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,61,0,0,20,0,1,1,0,0,5,140,0,0,19,0,1,0,0,0,0,0,0,0,0,2,0,2,0
55,3600,0,2,1,4,0,2,0,0,0,2,0,1,0,0,0,0,13,0,10,0,0,0,27,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,50,0,0,21,0,1,0,0,0,2,160,0,0,15,0,1,0,0,0,0,0,0,0,0,1,0,1,0
60,4150,0,5,0,2,0,2,0,0,0,0,0,3,0,0,0,0,9,0,2,0,0,0,84,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,75,0,1,11,0,2,1,0,0,1,190,0,0,14,0,1,0,0,0,0,0,0,0,0,3,0,0,1
65,4699,0,7,0,0,0,1,0,2,0,0,0,2,0,0,0,0,6,0,14,0,0,0,46,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,68,0,0,18,0,3,0,0,0,0,125,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,2,1
75,5973,0,1,1,2,0,1,0,1,0,1,0,4,0,0,0,0,9,0,7,0,0,0,27,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,33,0,0,14,0,2,0,0,0,1,182,0,0,12,0,2,0,0,0,0,0,1,0,0,9,0,0,0
80,6610,0,3,0,1,0,1,0,1,0,6,0,6,0,0,0,0,15,0,6,0,0,0,33,3,0,5,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,5,6,0,2,1,0,21,0,1,28,0,10,0,1,0,1,216,0,0,11,0,0,0,0,0,0,0,6,0,0,7,0,4,1
