"sample.depths","sample.ages","upland.sum","Cyperaceae","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Pinus","Amaranthaceae","Poaceae","Acer.saccharum","Tilia","Alnus","Artemisia","Carya","Tsuga","Ulmus","Fagus","Cupressaceae","Thalictrum","Betula","Caryophyllaceae","Shepherdia.canadensis","Salix","Fraxinus.nigra"
3,NA,100,1,1,4,3,2,1,3,46,3,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,100,1,0,2,2,3,0,1,53,2,23,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
65,NA,100,0,0,0,1,5,0,1,38,0,0,24,21,0,1,1,2,6,0,0,0,0,0,0,0,0
69,NA,100,3,0,0,3,6,0,0,38,0,3,17,22,0,0,0,1,6,1,0,0,0,0,0,0,0
75,NA,300,64,9,0,165,2,1,1,34,0,11,0,0,2,0,0,0,2,0,1,8,0,0,0,0,0
90,13351,301,120,2,1,74,3,7,2,45,0,24,0,0,1,3,1,0,2,0,0,10,2,1,3,0,0
99,13961,298,73,6,0,182,1,2,2,19,1,0,0,0,1,5,0,0,1,0,0,0,3,0,0,1,1
110,NA,100,15,0,0,55,0,0,1,20,0,4,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0
