"sample.depths","sample.ages","Acer","Alnus","Aquifoliaceae","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Liriodendron","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Platanus.occidentalis","Populus","Quercus","Salix","Sambucus","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Impatiens","Lycopus","Plantago","Poaceae","Polygonum.aviculare","Polygonum.lapathifolium","Rosaceae","Rumex","Thalictrum","Urtica","Botrychium","Cheilanthes","Dryopteris.type","Huperzia.lucidula","Osmunda","Pteridium","Pediastrum","Sphagnum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium","Typha.undiff.","Typha.angustifolia","Typha.latifolia","Utricularia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..hidden.","Unknown"
5,27,9,0,0,2,4,0,0,42,1,0,0,0,2,2,2,1,0,0,7,0,22,2,0,17,56,2,4,2,2,51,0,1,7,0,0,4,11,2,1,4,33,0,0,0,0,0,0,0,7,13,0,31,1,11,1,0,0,0,0,0,22,16,2,123,9,0,7,22,0,1
10,106,2,1,2,1,2,0,0,61,1,0,0,0,0,5,2,6,0,1,1,0,23,0,1,28,12,5,6,6,4,67,0,2,11,0,1,6,15,2,0,1,26,0,0,0,1,0,1,0,0,15,0,27,3,1,0,1,1,0,3,1,19,22,0,100,11,0,11,16,3,5
15,186,7,0,0,0,3,0,0,81,0,0,0,0,2,2,3,2,0,0,13,0,27,1,0,10,33,0,5,13,0,40,0,0,6,0,0,0,45,0,0,0,21,0,0,0,0,0,0,0,9,30,0,77,6,6,0,0,0,0,0,0,7,8,0,48,0,0,7,19,3,0
20,265,11,1,0,0,6,0,0,72,1,0,0,0,0,2,6,2,0,0,2,0,31,1,0,14,31,0,6,9,4,90,1,1,29,1,0,4,62,1,1,0,44,0,5,0,0,0,0,0,0,16,0,36,6,0,2,0,1,0,0,4,1,10,0,0,1,0,7,23,6,3
25,344,15,0,0,2,12,1,0,73,0,0,0,0,10,5,10,4,0,0,9,0,41,4,0,15,59,5,6,7,0,25,1,1,7,0,0,3,18,1,0,0,14,0,0,0,0,0,0,0,16,42,0,69,11,0,2,1,0,0,0,0,1,9,0,6,1,0,8,14,3,0
30,423,26,0,1,0,11,1,0,110,0,0,0,0,8,3,6,0,0,1,4,1,44,1,0,16,46,2,9,7,4,6,0,1,7,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,5,84,50,39,4,0,0,0,0,0,0,0,0,0,0,0,1,0,20,27,5,4
40,581,16,0,8,2,7,0,0,284,1,0,0,0,7,1,7,7,0,0,5,0,14,10,0,24,43,0,11,6,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,26,7,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,26,2,6
45,661,23,0,18,6,21,0,0,266,0,0,0,0,17,14,32,13,0,0,5,0,33,18,0,57,49,0,6,12,0,2,0,1,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,64,0,9,5,0,0,0,0,0,1,0,0,1,0,0,0,0,11,7,2,0
60,898,21,0,0,3,9,2,0,68,0,0,1,0,7,5,2,1,0,0,9,0,39,5,0,28,14,0,5,9,0,10,1,1,5,1,0,1,45,0,0,0,13,0,0,0,0,0,0,0,5,60,6,127,12,0,0,1,0,0,0,0,2,10,0,0,1,0,8,18,5,2
65,977,6,0,0,0,4,1,0,317,0,0,0,0,2,0,17,1,0,1,0,0,16,5,0,28,28,0,3,3,0,3,0,3,2,0,0,2,4,0,0,0,9,0,0,0,0,0,0,2,0,12,0,7,4,0,0,0,2,0,0,5,0,3,0,0,3,0,7,25,20,12
75,1136,40,0,13,2,17,1,0,464,0,0,0,0,14,27,20,8,0,2,10,0,48,9,0,82,89,8,24,13,19,4,0,4,7,0,0,2,12,0,0,0,4,0,0,0,0,4,0,0,0,39,0,14,7,0,0,0,1,0,0,4,1,3,0,0,1,0,20,60,11,14
85,1294,8,0,7,1,8,1,1,254,0,0,0,1,17,23,12,4,0,1,5,0,18,7,0,40,41,3,7,4,2,4,0,1,2,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,14,0,4,1,0,0,0,0,0,1,1,0,2,0,2,0,0,9,19,3,5
90,1373,13,0,10,5,9,1,0,148,0,0,0,0,19,21,18,4,1,0,6,2,32,29,0,48,96,3,1,12,1,1,0,1,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,11,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,10,40,0,1
95,1458,32,0,12,3,15,0,0,174,0,0,0,0,19,13,39,10,0,1,4,0,17,13,0,48,32,0,9,15,5,3,1,1,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,4,0,3,41,0,0,0,0,0,0,0,0,0,0,0,1,0,15,36,5,2
105,1628,45,1,48,7,11,1,0,62,0,1,0,0,20,19,15,2,0,0,3,0,44,19,0,55,44,10,11,14,4,0,5,1,1,0,0,3,6,0,0,0,30,0,0,0,0,1,0,0,0,9,0,3,2,0,0,0,1,0,0,3,6,0,0,0,2,1,9,45,4,4
115,1798,5,0,0,1,3,0,0,26,0,0,0,0,2,1,5,4,0,0,2,0,10,0,0,8,18,0,2,3,0,1,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1
125,1967,20,0,21,4,13,3,0,175,0,0,0,0,25,17,7,9,0,0,5,0,38,18,0,45,49,0,6,6,2,5,0,2,3,0,0,2,4,0,0,0,9,0,0,0,0,0,0,0,0,15,0,2,1,0,0,0,1,0,0,0,1,4,0,0,0,0,9,23,3,4
135,2137,9,1,1,2,1,0,0,10,0,0,0,0,4,9,3,1,0,0,2,0,6,0,0,6,24,0,2,1,1,0,1,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,7,1,0
145,2307,21,0,9,3,6,1,0,56,2,0,0,0,13,20,16,1,0,0,6,0,25,7,0,54,82,0,8,14,2,2,3,4,6,0,0,1,17,1,1,0,103,0,0,1,0,0,0,0,0,8,0,2,3,0,0,1,0,0,0,4,3,9,0,0,2,0,13,46,3,8
