"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Celtis","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Equisetum","Ericales","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Juglans.cinerea","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Pteridium","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia"
200,4076,0,1,3,0,1,0,0,0,17,0,0,0,7,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0,0,3,68,107,0,0,0,0,1,1,0,0,33,0,0,0,1,0
210,4282,3,0,1,0,0,0,1,0,15,0,0,0,8,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,17,52,106,0,1,0,1,2,0,0,0,56,1,0,2,1,0
220,4488,2,1,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,54,135,0,0,0,2,0,0,0,0,15,0,0,2,0,0
230,4693,2,0,1,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,92,82,1,0,0,0,3,0,0,0,4,0,0,1,0,0
240,4899,6,0,4,1,0,0,0,0,3,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,85,93,0,0,0,0,4,0,0,0,3,0,0,1,0,0
250,5104,4,0,4,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,67,108,0,1,0,1,4,1,0,0,1,1,0,1,0,0
260,5310,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,44,149,0,0,0,0,0,0,0,0,0,1,0,0,0,1
270,5515,1,0,2,1,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,6,110,71,0,0,1,1,1,0,0,0,0,1,0,1,0,0
280,5721,4,1,5,2,0,0,0,0,7,0,0,2,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,66,114,0,0,0,1,2,0,0,0,2,0,0,0,0,0
290,5926,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,154,0,0,0,0,1,0,0,0,0,0,0,2,0,1
300,6132,1,0,2,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,44,140,0,1,2,4,1,0,0,0,0,0,0,1,0,0
310,6453,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,57,132,0,0,0,1,4,0,0,0,0,0,0,0,1,0
320,7121,1,0,1,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,2,53,133,0,0,0,2,1,0,0,0,0,0,0,1,0,1
330,7788,0,0,1,0,0,0,0,1,5,0,0,0,1,1,0,0,0,1,0,0,1,0,6,0,0,0,1,6,1,1,71,113,0,1,0,4,1,0,0,0,0,0,0,1,1,0
340,8456,2,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,5,1,4,60,116,0,0,0,5,3,0,0,0,2,0,0,2,0,0
350,9124,4,0,1,1,0,0,4,0,12,0,0,0,0,4,0,0,0,0,0,0,1,0,6,1,0,0,1,7,1,10,130,30,1,0,0,4,2,0,0,0,0,0,0,4,0,0
360,9791,11,0,10,1,0,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,10,147,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
370,10459,2,1,2,1,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,9,163,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0
380,11127,0,0,2,0,0,0,0,0,5,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,147,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
390,NA,0,0,0,1,2,0,2,0,28,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,50,112,6,0,0,0,1,1,0,0,0,0,0,1,0,1,0
400,NA,0,0,0,0,2,0,3,0,22,0,0,3,2,2,0,0,0,0,0,0,0,0,6,0,1,1,0,0,3,69,68,14,0,0,1,1,11,0,0,0,1,0,1,3,0,0
410,NA,0,0,1,1,4,0,3,0,22,0,0,2,2,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0,3,82,77,0,0,0,0,1,11,1,0,0,0,0,1,3,0,0
420,NA,1,0,0,1,0,0,2,3,13,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,127,38,2,0,0,4,1,4,1,0,0,0,0,0,5,1,0
430,NA,0,1,2,0,2,0,2,0,9,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,117,47,3,1,0,0,11,14,1,0,0,0,0,0,5,0,0
440,NA,0,1,0,0,1,0,5,0,11,0,0,6,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,104,54,7,0,0,2,4,12,2,1,1,0,0,0,2,0,0
450,NA,0,1,2,3,5,0,6,3,18,3,0,5,1,6,1,0,0,0,0,1,5,1,0,0,1,0,0,0,5,26,76,3,0,1,11,0,37,7,0,1,3,0,1,13,0,0
460,NA,2,1,0,3,2,0,5,1,18,0,1,5,6,5,0,0,0,0,0,0,13,0,1,0,1,0,0,0,0,24,116,9,0,4,0,11,5,4,1,0,6,0,0,18,0,0
