"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Lamiaceae","Fabaceae","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Portulacaceae","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Viburnum","Vitis"
1.5,0,578,0,1,1,1,113,6,5,1,1,2,20,2,1,2,0,15,1,5,1,192,0,0,0,0,2,0,0,2,0,2,1,4,1,2,1,3,2,170,0,0,9,0,1,0,0,0,8,0,0,0
10,195,546,0,1,0,1,86,3,5,6,1,3,4,4,0,7,2,30,4,5,1,194,0,3,0,0,0,0,1,0,1,1,4,15,1,3,1,1,0,136,0,8,3,0,0,0,0,1,8,1,1,0
20,424,532,0,0,1,4,89,6,5,8,6,1,1,2,2,1,0,23,3,6,1,189,0,0,2,1,0,0,1,0,0,5,3,10,1,6,0,1,1,136,0,3,3,1,0,0,0,1,9,0,0,0
30,653,506,0,0,2,1,77,2,9,11,10,0,3,4,0,4,3,21,5,4,0,160,1,1,1,0,0,2,0,0,0,6,6,15,0,4,1,0,3,131,1,1,4,0,0,0,0,2,11,0,0,0
40,882,529,0,0,2,3,9,5,5,6,10,0,2,2,0,3,0,12,6,4,2,211,0,2,2,0,0,1,1,0,0,9,8,37,0,2,1,2,0,155,0,0,6,0,1,0,0,2,18,0,0,0
50,1112,561,1,0,1,4,14,5,5,1,6,1,1,1,0,6,0,30,9,3,2,221,0,4,1,0,0,0,0,0,0,7,13,34,0,1,0,0,0,174,0,0,2,0,0,0,1,2,11,0,0,0
60,1341,548,1,0,4,1,10,2,2,2,11,0,0,1,0,3,1,19,11,2,1,225,1,0,3,0,0,0,0,2,0,17,13,29,0,4,0,0,0,175,0,0,1,0,0,0,0,1,6,0,0,0
70,1570,517,0,0,5,1,11,2,10,5,4,0,1,1,0,3,0,20,8,5,2,195,0,0,2,0,0,0,0,0,0,12,9,21,0,0,0,1,0,188,0,0,0,0,1,1,0,1,7,1,0,0
80,1799,585,0,6,6,0,4,3,8,1,4,0,0,1,0,2,0,26,9,3,1,246,0,1,4,0,0,0,0,0,0,12,28,37,0,4,0,0,0,172,0,0,1,0,0,1,0,2,3,0,0,0
88,1982,569,0,0,3,1,6,3,8,3,12,1,1,2,0,7,1,22,9,5,1,227,0,2,0,0,0,1,0,1,0,19,16,28,0,1,0,0,0,178,0,0,0,0,1,0,1,1,7,0,0,1
100,2257,571,0,1,4,1,6,5,7,1,14,0,1,0,0,5,0,23,10,6,2,232,0,0,2,0,0,0,0,0,0,9,22,40,0,2,0,0,0,168,0,0,2,0,0,0,0,0,8,0,0,0
110,2486,535,0,0,1,1,15,6,3,2,7,0,2,2,0,3,0,22,10,4,0,203,0,2,8,0,0,0,0,0,0,12,8,45,0,2,0,1,0,169,0,0,1,0,0,0,1,0,4,1,0,0
120,2715,548,0,0,5,3,9,3,4,7,11,2,1,1,0,5,0,21,2,2,2,212,0,1,3,0,1,0,0,0,1,8,18,35,0,3,0,1,0,168,0,0,0,0,0,0,3,0,16,0,0,0
130,2944,485,0,1,0,5,4,6,7,1,10,0,0,2,0,4,0,21,6,2,2,128,0,3,1,0,0,0,0,0,0,14,12,63,0,3,1,0,0,178,0,0,0,0,0,0,0,1,9,1,0,0
140,3174,224,0,0,1,1,4,2,1,0,3,0,0,1,1,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,176,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0
