"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Abies.balsamea","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Populus.tremuloides.type","Taxus","Populus.balsamifera.type","Juniperus.communis.Thuja.occidentalis.type","Fagus","Ranunculaceae.undiff.","Rosaceae","Acer.saccharum","Fraxinus.nigra.type","Tsuga.canadensis","Thalictrum","Juniperus.type","Nemopanthus.mucronatus","Ulmus","Fraxinus.pennsylvanica.type","Onagraceae","cf..Diapensia.lapponica","Juglans.cinerea","Viburnum.edule","Carya.ovata","cf..Oxyria.digyna","Morus.rubra.type","Brassicaceae","Ribes","Acer.rubrum"
5,423,451,1,11,61,1,2,88,3,4,3,3,163,10,5,1,1,1,4,2,1,11,13,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,845,574,0,10,63,0,2,119,5,8,7,0,228,10,2,1,0,1,7,3,0,7,16,4,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1268,435,0,11,47,2,4,67,8,3,3,0,226,2,2,2,0,0,6,1,0,5,19,0,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1554,628,0,13,100,2,2,132,9,5,5,0,198,9,3,0,0,0,5,0,1,13,22,13,85,4,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1702,893,0,8,101,0,2,170,12,13,7,0,388,47,5,4,1,1,7,2,0,11,31,2,77,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1851,629,0,11,66,0,3,109,5,7,5,1,276,11,1,1,0,0,8,2,0,22,25,1,71,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1999,490,0,15,36,0,3,66,7,3,3,0,288,5,1,1,1,0,4,1,0,11,16,5,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2148,550,0,4,106,0,1,92,3,7,1,0,249,2,1,4,1,1,6,1,0,19,16,3,29,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45,2296,398,0,6,52,1,1,43,4,2,3,0,205,2,1,1,1,1,3,2,0,22,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2445,815,0,4,125,1,3,151,10,6,1,0,393,3,0,2,0,1,5,1,1,33,27,2,35,0,1,0,1,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
