"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Woodsia"
1,25,12,2,23,21,0,2,0,3,0,90,0,0,0,0,0,0,10,16,0,0,1,0,0,0,2,0,0,12,0,0,0,0,0,19,1,0,0,2,0,0,0,0,2,85,152,24,0,1,12,0,3,0,4,0,6,1,0,1,0,0,0,2,0,1,0,1,0,3,1,0,0,1
10,246,12,1,16,7,3,3,0,3,1,65,0,0,0,0,0,2,8,6,0,3,0,4,1,0,0,0,0,8,0,0,0,0,0,11,0,0,5,2,0,0,0,0,1,110,182,16,0,0,9,0,3,1,2,0,6,0,0,0,2,0,0,1,0,0,0,2,8,1,1,0,0,0
20,492,11,1,23,19,2,2,0,3,0,79,0,0,0,0,0,0,5,12,0,1,1,4,2,0,0,0,0,7,0,0,0,0,0,11,1,0,3,0,1,0,1,1,0,96,138,14,0,1,14,0,7,0,2,0,5,0,0,0,0,1,0,1,0,0,0,0,4,2,2,0,0,1
30,738,10,0,27,15,1,3,0,1,1,73,0,0,0,0,0,0,4,9,0,0,2,4,1,1,0,0,0,0,0,0,1,0,0,9,2,0,1,0,2,0,0,0,1,103,165,10,0,1,6,3,0,0,5,0,8,0,0,0,1,0,0,3,0,0,0,3,4,3,0,0,0,0
40,984,17,0,20,10,2,6,0,2,1,90,0,0,0,0,0,0,15,9,0,2,0,0,1,1,0,0,0,16,0,0,0,0,0,15,1,0,4,1,6,0,0,0,3,96,158,10,0,1,13,0,5,0,2,0,6,1,0,0,3,0,0,0,0,0,0,0,13,4,2,0,1,0
50,1230,7,1,27,17,3,6,0,2,1,62,0,0,0,0,0,3,2,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,4,0,2,0,0,0,2,82,143,14,0,2,7,0,8,0,0,0,10,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0
60,1476,11,2,24,8,0,1,0,3,0,76,0,0,0,1,0,1,7,10,0,3,0,0,1,2,0,0,0,4,0,0,0,0,0,11,0,0,6,0,2,0,0,0,1,96,163,18,0,0,8,0,4,0,0,0,5,0,0,1,1,0,0,2,0,0,0,0,4,2,0,1,0,0
70,1722,12,2,31,19,0,1,0,1,0,87,0,0,0,0,1,2,9,11,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,14,0,0,2,0,0,0,0,0,1,100,150,33,0,2,9,1,6,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0
80,1968,8,3,20,6,1,1,0,1,0,70,0,0,0,0,0,2,14,11,0,1,1,0,1,1,0,1,0,12,0,0,0,1,0,6,2,0,2,1,3,0,0,0,0,96,174,26,0,2,7,0,3,0,1,0,8,0,0,1,3,0,0,0,0,0,0,0,0,2,3,1,1,0
90,2214,16,0,33,11,2,0,0,2,1,83,0,0,0,0,0,2,11,15,0,0,0,4,1,2,0,0,0,1,0,0,0,0,0,8,2,0,10,0,0,0,0,0,1,115,167,41,0,1,15,2,3,0,2,0,8,0,0,0,1,0,0,2,0,0,0,0,1,4,0,0,0,0
100,2460,9,1,13,10,0,2,0,3,1,71,0,0,0,2,0,1,13,15,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,10,2,0,1,0,1,0,0,0,3,96,147,39,0,0,13,0,4,0,2,0,6,0,0,0,2,0,0,3,0,0,0,1,10,0,1,0,0,0
110,2706,14,1,28,10,0,2,0,1,1,105,1,0,0,0,0,0,8,12,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,5,58,168,41,0,2,13,1,1,0,6,0,5,0,0,0,1,1,0,2,0,1,0,0,9,2,0,0,0,0
120,2952,8,0,14,13,0,2,0,2,0,108,0,0,0,0,0,0,19,14,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,5,1,0,1,1,1,0,0,0,1,78,153,43,0,0,7,0,2,0,4,0,5,0,0,0,1,0,0,2,0,0,0,1,4,3,1,0,0,0
130,3198,9,0,36,15,0,2,1,3,1,122,0,0,0,0,0,2,7,9,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,5,1,1,1,0,1,0,0,0,3,67,144,49,0,0,11,0,4,0,1,0,5,0,0,1,3,0,0,2,1,0,0,1,6,1,3,0,0,0
140,3448,13,2,20,10,1,2,0,2,1,117,0,0,0,1,0,1,13,9,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,14,2,0,1,3,0,0,0,0,1,54,121,83,0,0,2,0,1,0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,5,2,1,0,0,0
150,3739,14,0,19,11,1,0,0,2,2,71,0,0,0,0,0,1,5,10,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,83,136,64,0,0,8,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0
160,4029,10,2,28,16,2,3,0,4,0,160,0,0,0,0,0,2,19,8,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,9,2,0,3,2,1,0,0,0,1,47,161,65,0,0,12,0,6,0,2,0,5,0,0,0,2,1,0,1,0,0,0,0,6,5,2,0,0,0
170,4319,16,0,19,9,3,2,0,3,0,124,0,0,0,0,1,1,11,11,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,10,3,0,4,0,1,0,0,0,1,84,130,59,0,0,17,1,17,0,4,0,5,0,0,0,1,0,0,5,0,0,0,0,2,2,1,0,0,0
180,4610,5,1,12,4,1,3,0,2,0,107,0,0,0,0,0,1,24,4,0,0,2,0,2,1,0,1,0,4,0,0,1,0,0,6,0,0,1,0,3,0,0,0,1,36,102,98,1,0,8,0,5,0,2,0,4,0,0,0,1,0,0,2,0,0,0,0,6,4,2,0,0,0
190,4900,12,2,25,18,0,1,0,2,4,133,0,1,0,0,0,4,20,9,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,9,6,0,8,0,2,0,0,1,2,57,178,125,0,1,8,0,10,0,1,0,9,0,0,0,2,0,0,1,0,1,0,1,14,3,2,0,0,0
200,5191,7,2,20,18,0,1,0,2,0,124,0,0,0,0,0,2,63,12,0,1,0,0,0,2,0,0,1,11,0,0,1,0,0,7,2,0,3,0,5,1,0,0,0,51,120,89,1,1,10,0,10,0,5,0,2,0,1,0,1,1,0,1,0,0,0,0,4,5,4,0,0,0
210,5481,11,2,6,14,1,0,0,2,1,69,0,0,0,1,0,0,45,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,36,106,120,0,1,2,0,8,0,4,0,2,0,0,0,6,1,0,0,0,1,0,0,4,4,1,1,0,0
220,5772,8,0,10,18,0,2,0,4,1,79,0,0,0,0,0,0,46,3,0,0,4,0,1,0,0,0,0,8,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,34,99,120,0,0,3,0,6,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0
230,6047,1,1,10,15,0,1,0,2,1,70,0,0,0,0,0,0,36,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,1,2,0,0,0,0,4,29,115,48,0,0,5,0,2,0,3,0,7,0,0,0,0,0,0,0,0,0,0,2,8,2,1,0,0,0
240,6322,2,1,16,21,1,4,0,2,0,128,0,0,0,0,0,1,62,13,0,1,0,0,2,4,0,0,1,3,0,0,1,1,0,4,0,0,3,0,1,0,0,0,2,37,134,71,0,0,2,0,13,0,5,0,6,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0
250,6596,1,0,4,11,0,1,0,1,0,49,0,0,0,0,0,0,41,6,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,11,2,0,2,0,1,0,0,0,1,41,118,62,0,0,5,1,8,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
260,6870,4,2,10,15,1,4,0,8,2,67,0,0,0,0,0,1,37,2,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,17,0,0,8,1,1,0,0,0,2,29,183,110,0,0,8,1,6,1,5,1,6,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0
270,7145,2,2,2,15,0,2,0,2,1,45,0,0,0,0,0,1,10,9,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,28,120,75,0,2,2,2,4,0,1,0,3,0,0,0,1,0,0,3,0,0,0,0,1,5,1,0,0,0
280,7419,5,1,1,10,0,2,0,6,0,56,0,0,0,0,0,1,6,19,0,0,2,0,1,1,0,0,0,7,0,0,0,0,0,12,2,0,0,0,0,0,0,0,6,52,200,89,0,3,9,0,19,0,6,0,10,0,0,0,1,0,0,4,0,0,0,0,4,9,1,0,0,0
290,7694,2,1,4,9,7,13,0,3,3,71,0,0,0,0,0,1,6,36,0,4,1,0,1,0,1,0,0,5,0,0,0,0,1,13,2,0,0,0,1,0,0,0,3,53,308,13,0,0,6,1,21,1,8,0,7,0,0,0,4,0,0,3,0,0,0,0,4,7,0,0,0,0
297,NA,9,0,2,4,3,10,0,7,4,73,0,0,1,0,2,2,5,25,0,1,5,0,1,1,1,0,0,4,0,2,0,0,0,14,0,0,0,1,1,0,0,0,8,61,266,21,0,1,8,0,41,1,15,0,5,0,0,0,4,0,0,2,0,0,0,0,8,1,1,0,0,1
309,NA,7,1,2,10,6,3,0,7,1,30,0,0,1,0,0,0,10,53,1,0,7,0,1,2,1,0,0,16,0,0,0,0,0,21,0,0,0,1,0,0,0,0,9,110,157,7,0,6,4,0,25,2,4,0,17,0,0,0,4,0,0,0,0,0,0,0,2,13,0,0,0,0
316,NA,3,3,1,12,13,8,0,12,2,29,0,0,0,0,0,1,14,24,0,1,3,0,0,3,0,0,0,11,0,0,0,1,1,6,0,0,0,0,0,0,0,0,10,67,167,4,0,1,9,1,6,0,5,0,20,0,0,0,5,0,0,0,0,0,0,0,0,8,1,0,0,0
