"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Larix","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Platanus","Quercus","Rhamnaceae","Rhus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Impatiens","Plantago.lanceolata","Poaceae.undiff.","Rosaceae","Rumex","Solanaceae","Thalictrum","Urtica","Zea","Lycopodium","Osmunda","Nuphar","Nymphaea","Typha","Spore..monolete.","Spore..trilete.","Unknown"
1,-22,0,1,1,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,0,19,0,0,3,0,1,1,1,8,0,0,1,0,1,1,1,2,0,1,6,3,0,0,0,0,0,0,2,1,1,0,1,0,0
2,-21,0,0,3,0,8,38,5,1,0,0,4,0,0,6,0,0,0,1,0,3,1,53,1,69,0,0,9,2,3,13,0,21,0,1,0,0,0,0,1,0,1,0,26,3,0,0,0,0,0,0,1,1,0,0,3,0,0
5,-17,0,14,5,3,4,51,10,7,2,0,2,1,6,11,2,0,0,2,0,7,6,46,0,42,0,1,10,0,3,4,1,38,0,1,4,0,1,5,2,1,2,0,10,4,3,0,0,0,0,0,4,2,1,0,13,0,0
7.5,-14,0,4,7,0,1,48,12,0,0,0,2,0,2,13,0,0,0,1,0,10,0,10,1,83,0,1,7,0,1,3,0,35,1,0,7,0,0,2,0,1,4,0,23,3,1,0,0,0,0,0,1,0,0,0,4,1,0
10,-11,0,8,2,0,2,58,11,2,0,0,0,0,1,9,0,2,0,0,0,7,1,8,0,106,0,0,3,0,2,7,0,31,0,1,3,0,0,1,1,2,0,1,15,3,1,0,0,0,0,0,1,0,0,0,2,0,0
15,-1,1,3,3,2,5,39,9,3,1,0,0,0,5,7,0,0,0,1,0,7,0,11,2,98,1,0,3,0,2,11,0,46,0,0,1,0,1,2,0,2,3,0,34,5,5,0,0,0,0,0,1,0,0,0,2,1,0
20,10,0,2,2,1,6,38,10,19,1,0,2,0,3,6,1,1,0,1,0,5,1,11,0,61,0,0,0,2,3,5,0,41,0,0,2,0,0,0,2,2,0,5,26,1,16,1,0,0,2,0,1,0,0,0,5,0,0
20.5,11,0,4,2,0,3,42,20,2,0,0,1,0,3,13,0,2,0,1,1,7,1,4,1,96,0,2,3,2,1,6,2,42,0,1,0,0,2,3,1,4,1,3,20,2,3,0,0,0,0,0,0,0,0,0,4,0,1
25,24,0,3,0,2,3,69,15,8,0,0,1,0,3,9,2,0,0,0,0,6,1,6,4,76,0,0,1,1,4,6,0,32,0,0,3,0,0,3,4,1,0,5,34,0,9,0,1,0,1,1,0,0,0,0,9,0,1
27,30,0,5,4,2,12,48,6,3,1,0,2,0,3,10,0,1,0,0,0,6,1,9,1,65,0,1,1,0,1,11,1,54,0,0,4,0,1,0,2,1,1,3,32,1,12,0,0,0,0,0,0,0,0,0,1,0,2
29.5,37,0,2,5,4,11,35,13,8,0,0,5,2,1,9,0,3,0,2,1,11,1,8,0,70,0,1,0,0,0,2,0,55,0,1,0,0,0,2,1,0,0,7,21,2,10,0,0,0,0,0,0,0,0,0,0,0,1
30,38,0,5,1,4,11,35,18,21,0,0,3,0,4,4,0,4,0,1,1,8,1,6,2,63,0,0,2,0,3,3,2,44,0,0,4,0,2,2,1,0,0,4,38,0,22,0,0,0,0,0,2,0,0,2,2,1,0
35,53,0,3,2,0,15,39,12,16,0,0,3,2,3,6,0,4,0,1,0,2,0,6,1,72,0,0,1,0,1,8,1,62,0,0,0,0,0,1,2,2,0,3,32,1,9,0,0,1,0,1,1,0,0,0,5,1,1
40,67,0,1,2,3,9,37,15,19,0,0,2,1,4,2,0,2,0,3,0,5,0,20,2,50,0,0,0,0,5,8,0,50,0,0,3,0,0,1,0,0,0,1,25,2,12,0,0,0,0,0,2,0,0,0,1,0,0
45,82,0,5,0,2,15,38,10,10,0,0,2,0,0,4,0,3,0,1,0,3,2,16,0,72,0,0,1,0,3,3,1,46,0,0,5,0,0,0,2,1,0,2,35,1,12,0,0,0,0,0,2,0,1,0,4,1,0
50,96,0,1,4,2,15,23,17,16,0,0,0,0,5,10,1,1,0,0,1,4,2,11,1,71,0,1,0,1,7,4,1,59,0,0,1,0,2,0,1,1,0,4,29,0,14,0,0,0,1,0,0,0,1,0,4,0,1
55,111,0,0,3,0,17,22,21,14,0,0,7,0,3,4,0,3,0,0,0,3,1,16,0,64,0,0,0,0,5,10,0,49,0,0,2,0,0,0,1,1,0,2,11,2,18,0,0,1,1,0,1,0,0,0,3,2,2
60,125,0,2,3,2,13,12,21,18,0,0,3,1,5,5,1,2,0,0,0,5,6,18,5,94,0,0,1,1,4,6,0,37,0,0,1,1,1,0,0,2,0,1,24,2,11,0,0,0,0,0,0,0,1,0,5,1,1
65,140,0,2,2,5,16,28,14,17,0,0,4,0,3,2,0,4,0,1,0,4,1,12,5,91,0,1,2,0,4,5,2,21,0,1,2,0,2,0,2,3,0,1,20,0,18,0,0,0,0,0,1,1,1,0,5,0,1
70,154,0,0,3,2,15,26,16,17,0,0,1,1,6,7,0,4,0,0,3,4,0,28,1,82,0,1,1,0,5,5,0,30,0,1,3,0,0,1,0,2,0,2,13,1,17,0,0,0,0,0,2,0,2,1,2,0,1
75,169,0,7,4,3,20,19,16,7,0,1,0,0,9,5,0,2,0,0,0,4,1,24,0,117,0,1,3,0,2,3,0,29,0,0,0,0,0,0,0,0,0,0,13,1,16,0,0,0,0,1,0,0,0,0,6,0,0
80,183,0,3,5,2,18,23,14,15,0,0,1,0,5,3,0,2,0,1,0,4,2,12,0,109,0,2,1,0,4,5,0,34,0,1,0,0,0,0,1,3,0,0,16,1,18,0,0,0,0,0,1,0,0,0,3,0,0
85,198,0,3,5,2,19,26,14,11,0,0,1,0,4,7,1,3,0,0,0,7,2,21,0,120,0,1,1,1,9,10,1,29,0,0,5,0,0,0,0,0,0,0,20,0,17,0,0,0,0,1,1,0,0,0,2,1,1
90,212,0,2,4,1,23,29,20,9,0,1,1,0,2,4,0,4,0,0,1,8,0,26,1,115,0,0,1,0,4,4,1,17,0,0,2,2,0,1,0,0,0,0,9,1,10,0,0,0,0,0,0,0,1,0,3,0,3
100,241,0,7,9,8,13,27,12,21,0,2,0,0,7,5,0,2,0,2,0,2,1,22,3,116,0,0,1,0,3,7,1,14,0,0,1,0,0,0,2,2,0,0,10,2,12,0,0,0,0,0,0,0,0,0,2,4,4
103,249,0,7,7,1,21,32,11,13,0,0,1,0,8,8,0,4,0,1,1,9,0,20,1,128,0,1,0,1,6,9,0,9,0,0,2,0,1,0,0,0,2,0,8,3,8,0,0,0,0,2,4,0,2,0,0,0,0
105,258,0,7,2,3,25,14,16,15,1,1,3,0,10,6,0,1,0,0,0,2,0,20,1,136,0,0,1,0,15,8,0,11,0,0,4,0,0,0,2,1,0,0,8,2,2,0,0,0,0,0,3,0,0,0,5,0,3
110,279,0,6,5,2,19,30,19,13,0,0,1,2,6,8,0,2,0,0,1,6,1,21,7,148,0,0,0,0,8,5,0,2,0,1,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,1,0,2,0,2,1,2
120,321,0,2,2,9,11,23,16,19,0,0,0,1,8,2,0,1,0,0,0,4,1,11,0,120,0,6,0,0,6,5,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,4,3,1
130,362,0,1,4,1,7,16,25,13,0,0,1,0,15,7,1,0,0,0,0,12,0,20,0,116,0,0,1,0,11,5,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,1,1,1,0,2,3
140,404,0,1,6,2,22,45,39,4,1,0,3,0,12,7,0,2,0,2,0,5,0,18,1,201,0,0,0,1,6,7,0,1,0,0,0,0,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,1,1,6,1,2
150,445,0,9,7,0,15,44,32,12,0,0,1,0,14,5,0,2,0,2,0,0,1,19,1,145,0,2,1,0,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,4,0,1
160,487,0,2,3,0,8,39,27,10,0,0,0,0,8,8,1,4,0,0,0,0,0,12,0,160,0,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,528,0,1,2,0,14,42,18,9,0,0,2,1,9,5,0,1,0,1,0,1,1,12,1,149,0,0,1,1,10,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,0
180,570,0,1,6,2,11,32,29,11,0,0,1,0,24,6,0,3,0,0,1,2,1,15,2,160,0,0,0,0,8,9,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7,0,1
185,591,0,1,2,6,19,34,22,22,0,0,2,0,20,6,0,3,0,1,0,1,1,20,0,121,0,2,1,0,2,3,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,5,0,0,0,0,1,0,2,0
190,612,0,1,0,5,22,29,28,24,0,0,3,0,13,9,0,1,0,0,0,6,0,12,1,119,0,0,0,1,2,3,0,0,0,0,2,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,3,0,1
192,620,0,1,4,4,8,46,33,14,0,0,0,0,14,11,1,3,0,1,0,5,0,15,0,133,0,0,1,0,9,4,0,1,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,3,0,0
195,632,0,5,5,3,18,35,48,11,0,0,0,0,22,7,0,7,0,0,1,16,2,14,2,145,0,0,1,3,9,8,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,5,0,2
200,653,0,0,4,1,16,39,56,16,0,0,0,0,12,10,0,1,0,0,0,8,0,16,0,161,0,1,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,3,0,0
210,695,0,0,4,2,16,63,41,17,0,0,0,0,15,5,0,3,0,0,0,9,2,16,1,199,0,0,1,0,2,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
220,736,0,1,0,4,14,55,28,25,0,0,1,1,23,6,0,4,0,0,1,5,1,12,0,171,0,0,1,0,8,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1
230,778,0,2,3,3,7,42,16,5,0,0,1,0,23,2,0,3,0,1,1,6,2,14,0,112,0,0,0,0,5,1,0,0,0,0,1,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,3
