"sample.depths","sample.ages","upland.sum","Abies","Acer.spicatum","Alnus.undiff.","Betula","Corylus","Cupressaceae","Ericaceae","Juglans.nigra","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Poaceae","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Picea.glauca","Picea.mariana","Artemisia","Cyperaceae","Thalictrum","Amaranthaceae","Rumex.Oxyria.digyna","Populus.balsamifera","Carya","Tilia","Saxifraga.oppositifolia.type","Juglans.cinerea","Shepherdia.canadensis","Acer.undiff.","Potentilla","Fabaceae","Cornus.sericea","Castanea","Epilobium","Campanula.type","Spiraea","Caryophyllaceae","Fagus","Rhamnus","Morus","Rosaceae.undiff.","Saxifragaceae.undiff.","Nyssa","Apiaceae","Dryas","Plantago","Ranunculus"
328,NA,365,11,1,1,165,1,1,1,1,6,4,33,43,1,1,4,1,1,5,19,1,2,4,23,3,17,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,NA,307,4,0,1,129,0,2,5,0,5,10,19,37,2,3,2,0,0,8,12,2,2,3,29,1,15,0,4,3,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,NA,345,7,1,0,145,0,7,4,0,6,10,9,43,1,3,7,1,1,8,15,2,2,4,26,1,18,3,4,0,1,8,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,NA,308,8,0,1,111,1,4,0,0,4,2,16,44,2,3,4,0,0,10,19,1,3,1,18,0,28,4,14,4,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,NA,301,0,0,1,66,0,23,1,0,3,6,13,45,8,6,1,1,1,14,26,2,0,1,11,3,34,3,12,1,2,7,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,NA,347,1,0,1,76,1,49,1,0,0,8,27,29,10,4,4,0,0,19,17,4,2,2,9,0,37,3,22,3,2,11,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,NA,308,0,0,2,64,0,26,3,0,0,0,33,14,6,3,2,0,1,13,23,2,1,1,17,3,67,0,8,3,2,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,NA,406,0,0,2,88,0,50,0,0,1,1,36,20,10,10,5,2,0,21,20,4,0,9,12,4,56,8,20,5,1,16,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,NA,333,0,0,1,67,0,34,3,0,0,1,53,14,15,10,4,0,0,17,19,8,0,8,21,2,20,2,7,5,1,13,0,0,0,1,1,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
353,NA,286,0,0,4,84,0,0,0,0,0,1,35,5,14,1,2,3,0,18,19,4,0,6,6,0,0,1,2,8,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
