"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Alnus.incana.type","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Ilex","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Poaceae","Plantago","Artemisia","Juglans.cinerea","Nyssa","Platanus","Tilia","Abies","Castanea","Fraxinus..tricolpate.","Thalictrum","Rhus","Polygalaceae","Ceanothus","Alnus.viridis.type","Cupressaceae","Larix","Myrica","Iva.annua.type","Fraxinus.undiff.","Liliaceae","Liquidambar","Potentilla.type","Celtis","Vitis","Ericaceae","Taxus","Apiaceae","Sanguisorba","Polygonum","Caryophyllaceae"
0,4,0.0033003300330033,0.0198019801980198,0.0033003300330033,0.0528052805280528,0.0957095709570957,0.158415841584158,0.0231023102310231,0.0033003300330033,0.0066006600660066,0.0264026402640264,0.0132013201320132,0.0033003300330033,0.0066006600660066,0.0099009900990099,0.0066006600660066,0.138613861386139,0.171617161716172,0.0066006600660066,0.0066006600660066,0.0693069306930693,0.0132013201320132,0.0165016501650165,0.0033003300330033,0.0099009900990099,0.0099009900990099,0.0132013201320132,0.0066006600660066,0.099009900990099,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,98,0,0.0164835164835165,0,0.032967032967033,0.0521978021978022,0.0494505494505494,0.0137362637362637,0,0.00274725274725275,0.0659340659340659,0.00549450549450549,0.00274725274725275,0.00274725274725275,0.00274725274725275,0.00274725274725275,0.321428571428571,0.118131868131868,0.0137362637362637,0.00274725274725275,0.192307692307692,0.0137362637362637,0.00824175824175824,0,0,0.00274725274725275,0,0,0.0576923076923077,0.00274725274725275,0.00274725274725275,0.00274725274725275,0.00274725274725275,0.00549450549450549,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,230,0.00584795321637427,0.00292397660818713,0,0.0116959064327485,0.00584795321637427,0.0350877192982456,0.00292397660818713,0,0.0204678362573099,0.0204678362573099,0,0.00292397660818713,0,0.00292397660818713,0.00584795321637427,0.523391812865497,0.108187134502924,0.00292397660818713,0,0.228070175438596,0.00292397660818713,0.00292397660818713,0,0,0.0087719298245614,0,0,0.00292397660818713,0,0,0,0,0,0,0.00292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,419,0.00290697674418605,0.0145348837209302,0,0.00872093023255814,0,0.0581395348837209,0.0174418604651163,0.00872093023255814,0.00872093023255814,0.0581395348837209,0.00872093023255814,0,0,0.00872093023255814,0.00872093023255814,0.421511627906977,0.122093023255814,0,0,0.23546511627907,0,0.00290697674418605,0,0,0,0,0,0.00290697674418605,0,0,0.00290697674418605,0,0.00290697674418605,0.00290697674418605,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,666,0,0.0209424083769634,0,0.0157068062827225,0,0.0732984293193717,0.0261780104712042,0,0,0.099476439790576,0.00523560209424084,0,0,0.00261780104712042,0,0.206806282722513,0.162303664921466,0,0.00261780104712042,0.358638743455497,0,0.00785340314136126,0,0,0,0,0,0,0,0.00261780104712042,0.00261780104712042,0,0.0104712041884817,0.00261780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,972,0,0.0182291666666667,0,0.0078125,0,0.0755208333333333,0.00260416666666667,0,0.0182291666666667,0.0520833333333333,0.015625,0.00260416666666667,0.00260416666666667,0.015625,0,0.440104166666667,0.1015625,0,0,0.236979166666667,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0.00260416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1338,0,0.0182370820668693,0,0.0121580547112462,0,0.0851063829787234,0.00911854103343465,0,0.0182370820668693,0.0699088145896656,0.00911854103343465,0,0.00303951367781155,0.00303951367781155,0,0.416413373860182,0.155015197568389,0,0,0.17629179331307,0,0.00911854103343465,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0.00303951367781155,0,0,0.0060790273556231,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1765,0.00261780104712042,0.0130890052356021,0,0.00523560209424084,0.00261780104712042,0.099476439790576,0.00785340314136126,0,0.0157068062827225,0.0575916230366492,0.00523560209424084,0,0,0.00261780104712042,0,0.319371727748691,0.178010471204188,0,0,0.261780104712042,0,0.0104712041884817,0,0,0,0,0,0.00261780104712042,0,0.00261780104712042,0.00261780104712042,0.00523560209424084,0.00261780104712042,0,0,0,0,0,0.00261780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2252,0.00288184438040346,0.00864553314121038,0,0.00864553314121038,0,0.0461095100864553,0.031700288184438,0,0.0288184438040346,0.0576368876080692,0.0115273775216138,0,0,0.00576368876080692,0,0.403458213256484,0.138328530259366,0,0,0.221902017291066,0.00576368876080692,0.0115273775216138,0,0,0,0.00288184438040346,0,0.00288184438040346,0,0.00288184438040346,0,0,0.00288184438040346,0,0,0,0.00288184438040346,0,0,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2802,0,0.0140845070422535,0,0.0169014084507042,0,0.0732394366197183,0.0422535211267606,0.00845070422535211,0.00563380281690141,0.0901408450704225,0,0,0.0028169014084507,0.00563380281690141,0.0028169014084507,0.264788732394366,0.332394366197183,0,0,0.109859154929577,0,0.0140845070422535,0,0,0,0,0,0.0028169014084507,0,0,0,0,0,0.0028169014084507,0,0.0028169014084507,0.0028169014084507,0,0,0,0.00563380281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
