"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Juglans.nigra","Nyssa","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Pinus","Poaceae","Plantago","Polygonum","Rubiaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Acer.saccharum.type","Myrica","Artemisia","Liquidambar","Iva.annua.type","Populus","Platanus","Corylus","Juglans.cinerea","Rhamnaceae","Abies","Cupressaceae","Salix","Caprifoliaceae","Ilex","Thalictrum","Ranunculus","Potentilla.type","Anacardiaceae","Lamiaceae","Sanguisorba","Cornus","Rumex","Brassicaceae","Larix","Shepherdia","Polygonaceae.undiff.","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Onagraceae","Ericaceae","Campanulaceae","Amaranthaceae"
160,13746,293,0,1,12,0,0,40,0,0,0,0,13,0,0,21,0,1,42,73,25,0,0,0,1,3,34,0,0,0,0,0,0,0,4,2,0,12,1,0,1,1,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
180,13941,294,0,1,10,0,0,17,0,0,0,0,10,0,0,9,0,0,59,87,16,0,0,0,1,3,45,0,0,0,0,0,1,0,3,0,0,15,0,1,0,0,0,0,3,2,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0
200,14136,294,0,0,5,0,0,17,0,0,0,0,11,0,0,10,0,0,35,83,24,0,0,0,1,6,58,0,0,0,0,0,0,0,1,0,0,27,0,1,0,0,0,0,9,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
220,14331,294,0,0,4,0,0,22,0,0,0,0,7,0,0,10,0,0,31,90,24,0,0,0,3,5,67,0,0,1,0,0,1,0,0,0,0,16,0,1,0,0,3,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,14525,294,0,1,8,0,0,11,0,0,0,0,10,0,0,12,0,0,35,81,20,0,0,0,0,6,62,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
260,14720,290,0,1,4,0,0,33,0,0,0,0,6,0,0,10,0,0,45,71,21,0,0,0,1,1,58,0,2,0,0,0,1,0,0,0,0,22,0,3,0,0,2,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
280,14915,297,0,0,8,0,0,29,1,0,0,0,9,0,0,6,0,0,53,83,34,0,0,0,2,2,47,0,0,0,0,0,0,0,1,0,0,10,1,3,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
300,15110,299,0,0,5,0,0,19,1,0,0,0,5,0,0,3,0,0,42,85,14,0,0,1,1,3,81,0,0,2,0,0,0,0,1,0,0,28,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
320,15305,293,0,0,7,0,0,19,0,0,0,0,5,0,0,5,0,0,48,82,6,0,0,0,1,4,92,0,0,1,0,0,1,0,0,0,0,15,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
340,15500,290,0,0,3,0,0,18,0,0,0,0,3,0,0,3,0,0,12,85,20,0,0,0,1,3,96,0,0,3,0,0,0,0,0,0,0,33,1,1,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
