"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Urtica.type","Vitis","Xanthium","Alnus","Juniperus.Thuja","Populus","Cannabis.sativa.type","Tilia.americana","Chenopodium.type","Pinus.banksiana.P..resinosa","Brassicaceae.cf..Brassica","Juglans.cf..J..nigra","Larix.laricina","Acer.negundo","Acer.saccharinum.type","Pinus.subg..Strobus","Tsuga","Cerealia","Rosaceae","Abies.balsamea","Acer.saccharum","Platanus.occidentalis","Euphorbia.subg..Chamaesyce","Juglans.cf..J..cinerea","Sarcobatus.vermiculatus","Amorpha","Onosmodium","Celtis.occidentalis","Ephedra.trifurca.type","Dalea.candida.type","Rhamnus.alnifolia","Prosopis","Dalea.purpurea","Humulus.lupulus","Phlox","Zanthoxylum.americanum","Laportea.type","Pilea.type","Brassicaceae.undiff.","Thalictrum","Caltha.type","Morus.rubra","Ephedra.viridis.type","Cirsium","Fraxinus.undiff.","Rumex.type.undiff.","Polygonum.lapathifolium.type","Cornus","Caryophyllaceae","Juglans.undiff.","Polygonum.amphibium.type","Viburnum.lentago","Ephedra.undiff.","Galium","Epilobium","Ericaceae","Shepherdia.canadensis"
130,-10,0.00332778702163062,0.267886855241265,0.0116472545757072,0.0732113144758735,0.00166389351081531,0.00166389351081531,0.00166389351081531,0.00831946755407654,0.00332778702163062,0.00332778702163062,0.27287853577371,0.00665557404326123,0.00166389351081531,0.00166389351081531,0.0149750415973378,0.00166389351081531,0.0349417637271215,0.10981697171381,0.00166389351081531,0.00332778702163062,0.00499168053244592,0.00831946755407654,0.0133111480865225,0.00166389351081531,0.00665557404326123,0.00166389351081531,0.00166389351081531,0.0232945091514143,0.0116472545757072,0.00998336106489185,0.00332778702163062,0.00499168053244592,0.0366056572379368,0.0249584026622296,0.00166389351081531,0.00166389351081531,0.0183028286189684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,45,0,0.0960187353629977,0.0128805620608899,0.0901639344262295,0.00117096018735363,0,0.00468384074941452,0.0187353629976581,0.00819672131147541,0,0.400468384074941,0,0,0,0.00819672131147541,0,0.0819672131147541,0.112412177985948,0,0.00234192037470726,0.00234192037470726,0.00468384074941452,0.0199063231850117,0,0.00117096018735363,0.00234192037470726,0,0.0292740046838408,0.00936768149882904,0.00936768149882904,0.00117096018735363,0.00351288056206089,0.0163934426229508,0.00117096018735363,0.00234192037470726,0.00117096018735363,0.0304449648711944,0.00117096018735363,0.00117096018735363,0.0105386416861827,0.00351288056206089,0.00117096018735363,0.00117096018735363,0.00117096018735363,0.00468384074941452,0.00117096018735363,0.00117096018735363,0.00117096018735363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,486,0,0.0150501672240803,0.0183946488294314,0.0652173913043478,0.00167224080267559,0.00167224080267559,0,0.0117056856187291,0.00334448160535117,0,0.553511705685619,0.00167224080267559,0,0,0.0150501672240803,0.00167224080267559,0.0652173913043478,0.118729096989967,0,0.00167224080267559,0,0.00501672240802676,0.00334448160535117,0,0.00167224080267559,0,0,0.020066889632107,0.0250836120401338,0.00167224080267559,0,0,0.00167224080267559,0.00334448160535117,0,0.00167224080267559,0.0284280936454849,0,0,0.0217391304347826,0,0,0,0,0.00167224080267559,0.00167224080267559,0,0,0.00334448160535117,0.00167224080267559,0.00167224080267559,0.00167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1259,0,0.0131868131868132,0.0153846153846154,0.0615384615384615,0,0,0,0.0307692307692308,0.010989010989011,0,0.437362637362637,0,0,0,0.010989010989011,0,0.0615384615384615,0.215384615384615,0,0.0021978021978022,0,0.0043956043956044,0.00879120879120879,0,0,0,0,0.0285714285714286,0.0197802197802198,0.00659340659340659,0,0.0043956043956044,0.0043956043956044,0.0043956043956044,0,0,0.0351648351648352,0,0,0.00879120879120879,0,0,0,0,0.0021978021978022,0.0021978021978022,0,0.0043956043956044,0.0043956043956044,0.0021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2032,0,0.0147329650092081,0.0313075506445672,0.0515653775322284,0.00368324125230203,0.00184162062615101,0.00552486187845304,0.0349907918968692,0.00552486187845304,0,0.412523020257827,0,0,0,0.0165745856353591,0.00552486187845304,0.0589318600368324,0.215469613259669,0,0.00368324125230203,0,0.0110497237569061,0.00552486187845304,0,0.00184162062615101,0,0,0.0386740331491713,0.00552486187845304,0.00368324125230203,0,0.00184162062615101,0.00184162062615101,0.00736648250460405,0,0,0.0386740331491713,0,0,0.00552486187845304,0,0,0,0,0.00368324125230203,0.00552486187845304,0,0,0,0,0,0,0.00184162062615101,0.00184162062615101,0.00184162062615101,0.00184162062615101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2805,0.00344530577088717,0.0189491817398794,0.0189491817398794,0.0706287683031869,0.00172265288544358,0,0.00258397932816537,0.0198105081826012,0.00602928509905254,0,0.447889750215332,0.000861326442721792,0,0,0.0344530577088717,0,0.0482342807924203,0.192937123169681,0,0.00172265288544358,0,0.00689061154177433,0.0155038759689922,0,0,0,0,0.0223944875107666,0.00344530577088717,0.00430663221360896,0,0.00258397932816537,0.00689061154177433,0.00172265288544358,0,0,0.041343669250646,0,0,0.00861326442721792,0.000861326442721792,0,0,0,0.00689061154177433,0.00258397932816537,0,0.00344530577088717,0.000861326442721792,0.000861326442721792,0,0.000861326442721792,0,0,0,0,0.000861326442721792,0.000861326442721792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3578,0,0.012972972972973,0.0162162162162162,0.0172972972972973,0.00108108108108108,0.00108108108108108,0.0108108108108108,0.0118918918918919,0.00324324324324324,0,0.705945945945946,0.00108108108108108,0,0,0.0291891891891892,0,0.0248648648648649,0.0724324324324324,0,0,0,0.00540540540540541,0.0140540540540541,0,0.00216216216216216,0,0.00108108108108108,0.0205405405405405,0.00324324324324324,0.00108108108108108,0,0.00540540540540541,0.00540540540540541,0.00216216216216216,0,0,0.0162162162162162,0,0,0.00324324324324324,0,0,0,0,0.00324324324324324,0.00432432432432432,0,0.00216216216216216,0,0.00108108108108108,0,0,0,0,0,0,0,0,0.00108108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,4351,0.00196463654223969,0.031434184675835,0.037328094302554,0.0294695481335953,0.00196463654223969,0,0.00196463654223969,0.0275049115913556,0.00785854616895874,0.00392927308447937,0.387033398821218,0.00196463654223969,0,0,0.0766208251473477,0.00392927308447937,0.0353634577603143,0.131630648330059,0,0.00785854616895874,0,0.0216110019646365,0.0196463654223969,0,0.00196463654223969,0,0,0.0275049115913556,0.0117878192534381,0.00982318271119843,0,0.0235756385068762,0.0176817288801572,0.0137524557956778,0,0,0.0432220039292731,0,0,0.00196463654223969,0.00196463654223969,0,0,0,0.00392927308447937,0.00196463654223969,0.00196463654223969,0.00392927308447937,0,0,0,0.00392927308447937,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,4602,0,0.0262390670553936,0.0379008746355685,0.0262390670553936,0,0,0.00583090379008746,0.0495626822157434,0.00291545189504373,0.00583090379008746,0.431486880466472,0.00291545189504373,0,0,0.043731778425656,0,0.0291545189504373,0.169096209912536,0,0,0,0.0087463556851312,0.0087463556851312,0,0.00583090379008746,0.00291545189504373,0,0.032069970845481,0.0233236151603499,0.00291545189504373,0,0.0116618075801749,0.0145772594752187,0.0145772594752187,0,0,0.0291545189504373,0,0,0.0116618075801749,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,4847,0,0.0693069306930693,0.033003300330033,0.0264026402640264,0,0,0.0066006600660066,0.0627062706270627,0.0066006600660066,0,0.250825082508251,0,0,0,0.0462046204620462,0.0033003300330033,0.0561056105610561,0.260726072607261,0,0.0099009900990099,0,0.0033003300330033,0.0165016501650165,0,0,0,0.0033003300330033,0.0429042904290429,0.0165016501650165,0,0,0.0132013201320132,0.0165016501650165,0.0132013201320132,0,0,0.0165016501650165,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0.0066006600660066,0,0.0033003300330033,0,0,0,0,0,0,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
