"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Corylus","Cyperaceae","Ericaceae","Fabaceae","Fagopyrum","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Gentianaceae","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Larix","Liquidambar","Lycopodiaceae","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae","Rhus","Rosaceae","Rubiaceae.undiff.","Rumex","Salix","Sambucus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urticaceae","Viburnum"
0,-9,1,78,12,8,7,350,3,8,1,4,35,2,147,9,0,1,0,0,2,5,37,38,3,3,39,2,9,0,0,0,8,2,0,0,0,1,0,5,0,0,0,0,1,26,10,1,3,33,25,18,4,109,12,0,67,0,0,0,0,7,0,34,1,0,3,0,1,66,1,72,35,1,6
3,20,0,0,32,12,5,318,3,14,1,8,10,0,93,8,1,1,0,2,0,4,20,44,0,0,88,13,17,0,0,0,13,4,2,0,0,0,0,1,1,0,0,0,4,18,1,3,1,35,24,16,4,94,1,0,75,0,0,1,1,4,0,82,4,2,0,1,3,92,0,51,47,0,0
8,67,0,0,35,11,7,311,0,10,0,8,10,1,70,4,1,5,0,1,0,6,32,43,2,0,94,22,26,1,0,0,19,1,0,0,1,0,0,1,0,0,0,0,4,17,3,5,3,46,22,12,5,127,6,0,76,0,1,0,0,0,0,108,10,0,0,0,5,92,2,43,37,0,0
13,114,0,0,32,6,1,45,0,3,0,3,0,0,58,10,0,5,0,0,1,3,14,8,0,0,114,6,19,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,10,2,4,1,37,24,3,3,57,4,0,79,0,0,0,0,2,0,16,4,0,0,0,2,144,0,32,31,0,0
18,160,0,0,41,9,1,9,0,0,0,3,2,0,79,8,0,3,0,0,0,2,9,4,0,0,148,4,7,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,16,0,5,3,37,18,0,5,5,1,0,67,0,0,0,0,0,0,9,2,0,0,0,1,123,0,19,26,0,0
23,206,0,0,41,0,0,7,0,0,0,5,1,0,66,7,0,2,0,1,0,0,13,2,0,0,133,1,23,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,2,12,1,4,0,21,20,1,1,7,0,0,72,0,0,0,0,1,0,3,2,0,0,0,8,117,0,38,16,0,0
38,338,0,54,9,8,1,8,0,1,0,1,0,0,68,6,0,4,0,0,0,1,15,2,0,0,101,1,25,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,1,15,2,5,1,21,23,0,4,4,1,0,70,0,0,0,0,0,0,1,1,0,0,1,5,114,0,29,21,0,0
73,627,0,52,3,6,1,3,0,3,0,1,1,0,71,12,0,3,0,0,0,1,27,6,0,0,96,3,24,0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,1,12,0,3,0,27,29,0,10,2,0,11,75,0,0,0,0,0,0,0,1,0,0,0,0,121,0,28,21,0,0
93,780,0,54,2,6,0,4,0,16,0,0,0,0,65,13,0,3,0,0,0,0,8,0,0,0,87,3,26,0,0,0,2,2,1,0,0,0,0,0,0,13,0,0,0,12,3,8,2,18,29,0,4,1,0,7,74,0,0,0,0,0,0,0,0,0,0,0,5,120,1,34,31,0,0
123,995,0,48,2,10,0,2,0,20,0,2,0,0,54,12,0,0,0,0,0,0,3,0,0,0,115,9,21,0,0,0,2,7,0,0,0,0,0,0,0,14,0,0,2,15,0,7,2,10,33,0,7,0,0,0,69,0,0,0,0,0,0,0,1,0,0,0,4,167,0,47,37,0,0
