"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Caryophyllaceae","Cyperaceae","Picea","Pinus.undiff.","Quercus","Alnus","Myrica","Populus","Poaceae","Pinus.strobus","Ericales","cf..Myrica","Artemisia","Ranunculaceae.undiff.","Rosaceae.undiff.","Coptis.trifolia","Sanguisorba","Thalictrum","Pinus.banksiana.P..resinosa","Juniperus","Fagus","Asteraceae.subf..Asteroideae.undiff.","Acer","Ulmus","Tilia","Plantago","Potentilla","Corylus","Amaranthaceae","Galium","Fraxinus","Taxus","Tsuga","Salix","Gentianaceae","Nemopanthus","Larix","Linnaea.borealis","Cornus","Epilobium","Polygonaceae.undiff.","Rumex","Shepherdia.canadensis","Apiaceae","Brassicaceae","Fabaceae","Limonium"
1,-11,335,10,1,106,1,1,120,2,1,74,5,1,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,74,306,17,1,64,0,1,120,5,0,83,4,0,1,1,0,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,180,373,16,0,88,0,4,111,1,1,123,4,1,5,2,0,7,1,0,1,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,392,332,17,0,108,0,5,126,0,0,60,4,0,0,1,0,4,0,0,1,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,604,325,24,0,103,0,1,132,1,3,40,3,0,3,0,1,6,1,0,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,816,384,38,0,139,0,2,125,1,0,49,5,0,4,5,1,5,1,0,1,0,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,922,333,27,0,128,0,2,113,1,0,38,2,0,2,1,0,14,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1028,340,27,0,109,0,3,127,0,0,49,4,1,2,0,2,10,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1241,313,23,0,103,0,3,123,2,0,49,1,0,1,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1453,301,19,0,108,0,3,92,0,1,58,9,1,1,1,2,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1665,348,29,1,115,0,1,113,2,0,72,3,1,1,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1877,336,5,0,112,0,0,80,0,1,103,15,0,3,1,2,7,1,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2065,326,13,0,86,0,1,84,1,3,121,1,0,0,2,1,8,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2184,329,16,0,124,0,1,109,3,1,59,2,0,0,1,0,7,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2303,335,14,0,123,0,0,108,4,0,69,7,0,0,1,0,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2363,404,21,1,138,0,1,117,4,1,88,16,0,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2422,341,33,0,113,0,2,116,1,0,54,6,0,0,3,0,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
