"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris","Dryopteris.type.undiff.","Ephedra","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lonicera","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum","Woodsia.type"
5,61,12,0,3,1,0,11,0,7,4,0,24,1,1,1,0,254,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,20,3,1,0,0,0,3,1,14,9,9,0,0,0,0,0,5,0,0,0,6,0,0,0,2,0,4,66,9,13,0,37,29,5,0,0,0,1,5,0,0,0,0,9,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,4,2,7,5,0,0
25,305,5,0,1,1,0,19,0,6,3,0,2,0,3,2,0,322,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,43,8,0,1,0,0,10,0,2,4,9,0,0,0,0,0,1,0,1,0,2,0,1,0,4,0,0,36,0,26,0,39,47,6,0,0,0,3,9,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,64,5,0,0,4,8,1,19,7,0,0
50,610,9,0,0,1,0,16,2,0,7,0,1,0,1,0,0,240,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,28,2,1,1,0,0,9,0,7,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,12,3,18,0,8,15,8,0,0,0,1,5,0,0,0,0,24,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,36,2,0,0,0,3,0,2,4,0,0
75,915,1,0,0,0,0,8,0,1,0,0,2,0,3,0,0,205,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,29,6,2,0,0,0,5,3,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,1,30,0,47,4,4,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,35,0,0,3,0,6,0,1,0,0,0
100,1220,0,0,0,1,0,33,1,7,3,0,3,0,2,1,0,267,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,1,0,28,3,2,1,0,0,10,1,0,1,4,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,43,12,25,0,13,19,3,0,0,1,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,49,0,0,0,0,6,0,5,1,0,0
125,1525,9,0,0,6,0,30,1,4,1,0,2,0,1,0,0,309,0,0,4,0,0,0,0,1,17,0,0,0,0,0,0,1,0,75,12,2,2,0,0,16,2,5,0,5,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,26,4,24,0,29,20,7,0,0,0,0,4,0,0,0,0,20,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,67,2,2,0,0,11,0,6,4,0,0
150,1830,1,0,0,1,0,22,0,7,3,1,0,0,1,0,0,378,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,7,0,37,3,2,1,0,0,7,0,4,3,2,0,0,1,0,0,0,0,0,0,9,0,0,0,3,0,0,20,7,14,0,15,32,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,74,3,0,0,0,16,0,5,16,0,0
175,2135,0,0,0,1,0,10,3,4,0,0,0,0,4,0,0,300,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,6,0,53,5,2,2,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,4,29,0,11,30,5,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,74,0,2,0,0,9,0,5,9,0,0
200,2440,9,0,0,2,0,25,0,2,6,0,0,0,1,0,0,380,0,0,3,0,3,0,0,3,5,0,2,0,0,0,0,0,0,72,8,2,0,1,0,9,1,5,2,6,0,0,1,0,0,1,0,0,1,2,0,0,0,3,0,0,9,2,9,0,21,25,3,0,0,0,1,2,0,0,0,0,13,0,0,1,0,0,0,3,0,0,0,0,0,2,0,2,100,0,0,0,0,18,0,1,3,0,0
225,2745,6,0,0,0,0,10,0,10,5,1,2,0,2,1,0,281,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,5,0,15,3,1,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,13,0,22,12,5,0,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,44,0,0,2,0,9,1,1,0,0,0
