"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum","Acer.undiff.","Ailanthus","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Arisaema","cf..Podophyllum","Cornus","Corylus","Cupressaceae","Cyperaceae","Epilobium.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Gleditsia","Humulus","Indeterminable","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Liriodendron","Lycopodium","Morus","Myrica","Nymphaeaceae","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogeton","Prunus.Pyrus","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Salix","Sambucus","Selaginella","Sparganium","Thalictrum","Tilia","Tradescantia","Tsuga","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Viburnum","Vitis","Zea"
0.5,NA,10,14,0,0,10,0,38,2,2,0,0,182,0,0,2,12,0,12,0,0,0,0,0,0,2,0,0,0,0,0,66,16,0,0,110,2,0,0,2,0,0,18,0,0,2,0,2,10,3,4,4,60,0,0,4,12,0,0,0,0,0,128,0,2,0,2,2,0,0,0,0,0,10,0,92,8,2,2,12,0,0,0,0
1.5,NA,12,12,0,0,6,0,22,0,4,0,2,54,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,4,0,42,10,0,0,40,0,0,0,0,2,0,4,0,0,0,0,0,4,4,14,2,44,0,0,4,4,0,0,0,2,0,68,0,0,0,0,6,0,0,0,0,0,0,0,94,4,2,0,4,0,0,0,0
2.5,-24,10,12,0,0,6,0,30,0,4,0,2,156,0,2,0,10,2,6,0,0,0,0,0,0,0,0,0,0,2,0,96,8,0,0,146,0,0,0,0,0,0,4,0,0,4,0,0,6,10,4,10,42,4,0,2,30,2,0,0,0,0,124,0,6,0,0,14,2,2,0,0,0,2,0,138,8,2,8,6,0,0,74,0
5.5,-9,6,6,2,2,4,2,44,2,4,0,4,186,0,0,0,8,0,12,0,0,0,0,0,2,8,0,0,20,2,0,64,24,0,2,56,4,2,2,0,4,0,2,0,0,0,0,0,12,6,6,8,30,0,0,4,40,0,8,0,2,0,124,0,4,0,0,18,0,0,0,0,0,0,0,90,10,0,4,2,0,0,0,0
8.5,9,14,26,4,0,8,0,62,0,0,0,4,170,0,0,0,10,0,12,0,2,0,0,0,0,6,0,0,0,2,0,46,10,0,0,54,0,0,0,0,0,0,0,0,0,2,4,0,12,3,8,6,28,2,0,2,26,0,0,0,0,0,170,0,0,0,0,14,0,0,0,0,0,0,0,92,8,4,4,4,0,0,0,2
10.5,21,6,20,0,0,6,4,52,0,4,0,10,166,0,0,0,8,0,18,0,2,0,0,0,0,4,2,0,14,0,0,68,18,0,0,56,6,2,0,0,2,0,4,0,0,2,2,6,26,9,18,16,8,0,2,0,26,0,0,2,2,0,190,0,0,0,0,8,0,0,0,0,0,0,0,88,12,0,4,8,0,0,0,2
11.5,26,6,10,0,0,16,0,36,0,2,0,6,188,0,0,0,6,0,22,0,0,0,0,0,0,2,2,0,6,0,0,64,20,0,0,54,2,0,0,0,2,0,2,0,0,0,0,0,16,9,12,4,36,0,0,2,34,0,2,2,0,0,158,0,0,0,0,8,0,0,0,2,2,0,0,94,8,4,4,4,0,0,0,2
14.5,36,4,14,2,2,12,0,48,0,4,0,2,162,2,0,0,8,0,28,0,0,0,0,0,0,2,0,0,0,2,0,44,18,0,0,48,2,0,0,0,2,0,0,0,0,0,0,0,10,11,4,6,58,0,0,2,26,0,0,0,0,0,128,0,0,2,0,16,0,0,0,0,0,4,0,110,6,2,2,2,0,4,0,2
17.5,42,14,8,0,0,14,0,38,0,2,0,2,150,0,0,0,16,0,24,0,2,0,0,0,0,4,0,0,0,2,0,80,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,24,12,6,4,68,2,0,2,38,0,0,0,0,0,122,0,0,2,2,12,0,0,0,0,0,0,0,120,10,0,2,4,0,0,0,0
19.5,56,0,8,0,0,8,2,36,0,0,0,2,126,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,2,82,12,0,0,64,2,0,0,0,0,0,0,0,0,4,0,0,10,4,10,10,40,0,2,0,28,0,6,0,0,0,120,0,2,0,0,18,2,0,0,0,0,0,0,160,6,0,2,0,0,0,0,0
