"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Fraxinus.americana.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Thalictrum","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Ostrya.Carpinus","Carya.ovata","Corylus.cornuta","Rumex.type","Juglans.cinerea","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Plantago","Castanea.dentata","Taxus","Picea.glauca.type","Ranunculaceae.undiff.","Myrica.gale","Amaranthaceae","Impatiens","Ilex.Nemopanthus","Pinus.resinosa.type","Fabaceae.undiff.","Potentilla.palustris.type","Rhamnus.alnifolia.R..frangula","cf..Sarcobatus.vermiculatus","Acer.saccharinum","Caryophyllaceae","Shepherdia.canadensis","Onagraceae","Elaeagnus.commutata","Polygonum.viviparum","Apiaceae","Picea.rubens.type","Salix.vestita.type","Caprifoliaceae.undiff.","Salix.herbacea.type","Dryas","Oxytropis.maydelliana.type","Viburnum.nudum","Asteraceae.subf..Cichorioideae","Saxifraga.oppositifolia.type","Sambucus","Brassicaceae","Prunus.pensylvanica"
0,-1,0.00159489633173844,0.0207336523125997,0.0143540669856459,0.00159489633173844,0.00159489633173844,0.443381180223285,0.00159489633173844,0.00159489633173844,0.0159489633173844,0.00318979266347687,0.00159489633173844,0.00318979266347687,0.0526315789473684,0.199362041467305,0.00478468899521531,0.0127591706539075,0.00318979266347687,0.00159489633173844,0.00318979266347687,0.00159489633173844,0.00797448165869218,0.0143540669856459,0.00159489633173844,0.0271132376395534,0.100478468899522,0.00797448165869218,0.05103668261563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,431,0,0.0492170022371365,0.0156599552572707,0,0,0.532438478747204,0,0.00223713646532438,0.00894854586129754,0.00223713646532438,0.00223713646532438,0,0.0447427293064877,0.158836689038031,0.00447427293064877,0.00447427293064877,0.00223713646532438,0,0.00894854586129754,0,0.0156599552572707,0.00223713646532438,0.00447427293064877,0.0223713646532438,0.0514541387024608,0.00894854586129754,0.0380313199105145,0.00223713646532438,0.00223713646532438,0.0134228187919463,0.00223713646532438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,861,0,0.0650602409638554,0.0433734939759036,0,0.00240963855421687,0.537349397590361,0.00240963855421687,0.00240963855421687,0.0072289156626506,0.0072289156626506,0,0,0.0409638554216867,0.0843373493975904,0,0.0072289156626506,0.00240963855421687,0.00240963855421687,0.00240963855421687,0,0.0192771084337349,0.0120481927710843,0.00240963855421687,0.036144578313253,0.0771084337349398,0.00963855421686747,0.0265060240963855,0,0,0,0,0.00481927710843374,0.00240963855421687,0.00240963855421687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1292,0.00234192037470726,0.0398126463700234,0.0140515222482436,0,0,0.517564402810304,0.00234192037470726,0,0.00468384074941452,0.00468384074941452,0,0.00468384074941452,0.0398126463700234,0.177985948477752,0.00468384074941452,0.00468384074941452,0.00468384074941452,0,0,0,0.00702576112412178,0.0140515222482436,0.00936768149882904,0.0421545667447307,0.0749414519906323,0.00234192037470726,0.0234192037470726,0,0,0,0,0,0,0.00234192037470726,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1723,0,0.0431177446102819,0.0298507462686567,0,0.00165837479270315,0.379767827529022,0.00497512437810945,0,0.0066334991708126,0.00829187396351575,0.0033167495854063,0.00165837479270315,0.0364842454394693,0.218905472636816,0.00165837479270315,0.00829187396351575,0.00165837479270315,0.00165837479270315,0.00165837479270315,0,0.0066334991708126,0.0132669983416252,0.00829187396351575,0.0364842454394693,0.150912106135987,0.00829187396351575,0.0165837479270315,0,0.00165837479270315,0,0.00165837479270315,0.0033167495854063,0.00165837479270315,0,0,0.00165837479270315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2154,0,0.0384615384615385,0.0170940170940171,0,0,0.403846153846154,0.00854700854700855,0,0.00213675213675214,0.00641025641025641,0,0.0128205128205128,0.0170940170940171,0.202991452991453,0.00213675213675214,0.00854700854700855,0.00641025641025641,0,0.00213675213675214,0.00213675213675214,0.00854700854700855,0.0448717948717949,0.00213675213675214,0.0235042735042735,0.0876068376068376,0,0.0918803418803419,0,0,0.00213675213675214,0,0,0,0,0,0,0.00213675213675214,0.00213675213675214,0.00213675213675214,0.00213675213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2584,0,0.0412621359223301,0.0266990291262136,0,0,0.449029126213592,0,0,0.0121359223300971,0.00485436893203883,0,0,0.0800970873786408,0.075242718446602,0.00242718446601942,0.0145631067961165,0.00242718446601942,0,0.00485436893203883,0,0.0121359223300971,0.0121359223300971,0.00970873786407767,0.058252427184466,0.140776699029126,0.0145631067961165,0.0242718446601942,0,0,0.00242718446601942,0,0.00485436893203883,0,0.00242718446601942,0,0,0,0,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3015,0,0.027027027027027,0.027027027027027,0.00225225225225225,0.00225225225225225,0.355855855855856,0.0045045045045045,0.0045045045045045,0.00675675675675676,0.00225225225225225,0,0,0.0788288288288288,0.146396396396396,0,0,0.00225225225225225,0.00225225225225225,0.00675675675675676,0,0.0292792792792793,0.0585585585585586,0,0.0112612612612613,0.18018018018018,0,0.0382882882882883,0,0,0,0,0,0,0.00225225225225225,0,0,0,0.0045045045045045,0,0,0,0.00225225225225225,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3446,0,0.0367647058823529,0.0269607843137255,0,0.00735294117647059,0.394607843137255,0.00490196078431373,0,0.00735294117647059,0.00490196078431373,0,0,0.0441176470588235,0.102941176470588,0,0.0122549019607843,0.00245098039215686,0.00245098039215686,0,0,0.00980392156862745,0.0220588235294118,0.0122549019607843,0.0441176470588235,0.218137254901961,0.00490196078431373,0.0147058823529412,0,0,0,0,0.00245098039215686,0,0.00735294117647059,0,0.00245098039215686,0.00490196078431373,0,0,0,0.00490196078431373,0,0,0.00245098039215686,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3877,0,0.0356125356125356,0.0213675213675214,0,0,0.447293447293447,0,0.00142450142450142,0.0142450142450142,0.0056980056980057,0.00142450142450142,0,0.0341880341880342,0.0883190883190883,0.0056980056980057,0.00854700854700855,0.00284900284900285,0,0.00427350427350427,0,0.00997150997150997,0.0242165242165242,0.00712250712250712,0.0441595441595442,0.209401709401709,0.00142450142450142,0.0156695156695157,0,0,0.00142450142450142,0,0,0.00142450142450142,0.00142450142450142,0,0,0.00284900284900285,0.00142450142450142,0.00284900284900285,0,0.00284900284900285,0,0.00142450142450142,0,0.00142450142450142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
