"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Juglans.cinerea","Larix","Lycopodium.type","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,-21,4,0,1,5,6,0,0,16,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,102,54,0,1,0,0,2,1,0,0,0,3,0,0,3,0,2,1,0,1
10,56,2,1,2,2,7,1,0,16,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,111,51,0,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0
20,595,3,0,2,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,20,66,85,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,2,0
30,1586,5,0,2,1,1,1,0,30,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,29,75,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,1920,2,1,4,0,1,1,0,37,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,1,0,1,1,0,0,6,73,74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0
50,2255,2,1,6,0,1,0,0,42,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,2,0,5,4,0,0,9,73,67,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1
60,2589,3,0,7,0,0,0,0,41,0,0,0,0,0,0,3,1,0,0,0,0,4,0,2,1,0,0,0,0,0,1,7,78,59,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,0,5,0
70,2923,2,2,9,0,0,0,0,43,0,0,0,0,0,2,1,0,2,1,0,0,0,0,2,0,1,0,1,0,0,1,11,28,107,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1
80,3258,0,0,7,0,0,2,0,25,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,9,37,122,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,2,0
90,3592,1,0,9,0,0,4,0,32,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,5,55,96,0,0,0,0,1,4,0,0,0,1,0,0,0,0,2,0,1,0
100,3927,1,0,13,0,0,2,0,35,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,7,38,108,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,2
110,4261,1,1,5,1,0,0,0,24,0,0,0,0,0,7,1,2,0,1,0,0,4,0,1,0,0,0,0,0,0,0,3,41,115,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,6,0
120,4596,3,1,9,1,0,0,0,37,0,3,0,0,1,6,0,1,0,0,0,5,2,0,0,0,0,0,0,1,2,0,7,43,95,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0
130,4930,2,0,4,0,1,0,0,10,0,0,0,0,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,54,130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
140,5264,2,0,4,1,0,1,0,22,0,0,0,0,0,5,2,1,0,1,1,1,2,0,1,0,0,0,2,0,4,2,6,40,113,0,0,0,1,6,7,0,0,0,0,0,0,1,0,1,0,3,1
150,5599,0,0,0,1,0,0,0,11,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,42,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
160,5933,0,0,2,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,77,112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
170,6268,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8,0,2,56,131,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0
180,6602,0,0,1,1,1,0,1,11,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,12,1,4,67,107,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
