"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Portulaca","Rosaceae","Rumex","Thalictrum","Xanthium","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Isoëtes","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-38,0,12,6,3,176,6,17,0,0,0,0,3,38,5,2,0,3,3,0,0,0,0,0,3,0,5,4,6,34,47,0,2,93,0,3,0,55,6,0,31,0,0,0,0,0,0,0,0,9,0,0,1,12,0,0,0,2,0,0,0,0,0,2,3,12,2
3,-22,0,8,11,8,148,6,14,0,0,0,3,2,44,0,0,0,3,0,0,0,0,0,0,5,0,0,4,3,40,50,2,2,110,0,0,0,66,6,0,14,0,0,0,0,6,0,0,1,8,0,0,0,12,0,0,0,0,2,9,0,0,0,3,5,6,3
5,-6,0,5,15,2,154,8,21,1,0,0,0,3,37,9,0,0,0,3,0,0,0,0,1,12,0,5,8,2,46,46,2,1,99,0,0,0,61,2,0,23,0,0,0,0,3,0,0,0,21,0,0,0,21,0,0,0,2,0,3,2,0,0,3,2,8,0
7,10,1,8,7,3,129,4,0,1,0,0,4,2,58,6,2,0,9,5,0,0,0,0,0,9,17,7,5,5,18,55,0,0,105,0,0,0,87,3,0,29,0,0,0,0,2,0,0,0,20,11,0,0,0,0,0,0,2,3,3,0,0,0,0,5,4,1
9,25,0,9,5,3,177,2,29,0,0,1,0,5,40,2,0,0,5,5,0,0,0,0,0,11,0,0,3,3,34,34,0,2,103,0,0,2,63,12,0,20,0,2,0,0,0,0,0,0,24,0,0,0,21,1,0,0,0,0,3,0,0,0,3,2,14,0
11,41,0,5,14,2,168,3,24,0,0,0,0,0,50,6,2,0,3,0,0,0,0,0,0,12,0,3,3,2,21,37,0,0,106,0,0,0,63,6,0,35,1,0,0,0,3,0,0,0,17,0,0,0,24,0,0,0,2,3,3,0,0,0,5,2,8,2
13,57,1,3,16,3,173,3,19,0,0,0,0,2,43,6,2,0,3,0,0,0,0,0,0,5,0,6,6,3,37,51,0,3,74,0,0,0,61,10,0,24,0,3,0,0,5,0,0,0,21,0,0,0,11,0,0,0,4,3,0,0,0,0,6,2,3,2
15,72,0,6,11,5,163,3,24,2,0,0,0,0,35,3,3,0,6,2,2,0,0,0,0,5,0,6,6,3,22,50,2,0,108,0,0,0,67,8,0,22,2,0,0,2,3,0,0,0,19,0,0,1,19,0,0,0,3,3,0,0,0,0,6,0,13,0
17,88,1,3,14,2,173,6,26,1,0,1,0,1,52,1,4,0,0,3,0,0,0,0,0,2,0,6,0,2,15,62,2,0,94,0,0,0,48,5,0,22,0,2,1,0,0,0,0,1,17,0,0,0,31,0,0,0,2,2,5,0,0,0,2,2,9,1
19,103,0,3,9,11,162,6,29,0,0,0,2,3,65,9,0,0,2,4,2,0,0,0,0,6,0,3,4,5,17,59,0,0,94,0,0,1,57,5,0,26,0,2,0,2,9,0,0,1,17,0,0,0,14,0,0,0,3,3,2,0,0,0,5,0,10,0
