"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Ericaceae","Fagus","Poaceae.undiff.","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Amaranthaceae","Cerealia","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Myrica.gale","Tsuga.canadensis","Fraxinus.nigra.type","Juglans.cinerea","Carya.ovata","Tilia","Juniperus.type","Acer.rubrum","Cyperaceae","Castanea.dentata","Pinus.resinosa.type","Acer.pensylvanicum","Artemisia","Thalictrum","Potentilla.palustris.type","Nemopanthus.mucronatus","Populus.tremuloides.type","Sambucus","Pinaceae","Populus.balsamifera.type","Shepherdia.canadensis","Saxifraga.cernua.type","Dryas","Populus.deltoides.type"
10,219,107,1,3,1,12,39,3,2,6,2,9,1,4,2,1,1,1,2,3,2,3,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,656,176,0,7,2,3,50,4,3,6,0,36,1,8,0,0,1,0,0,0,7,0,4,2,9,3,7,1,3,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1094,312,0,5,0,1,80,5,6,4,3,76,5,7,1,0,0,0,2,0,10,5,5,4,29,0,13,1,1,17,1,25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1505,605,0,8,1,2,229,7,21,0,6,54,10,18,0,0,9,0,0,0,16,16,15,6,64,0,14,0,0,12,0,85,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1917,537,0,11,0,1,174,6,42,0,10,43,12,15,3,0,4,1,0,0,25,15,3,6,55,0,10,2,1,6,3,74,2,3,0,1,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2329,370,0,4,0,0,124,1,10,0,3,21,14,6,0,0,5,0,0,0,11,6,5,4,45,0,7,0,2,9,1,85,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
150,2740,497,0,13,1,0,199,9,22,1,6,21,3,9,0,0,6,0,0,0,18,11,11,1,54,0,3,1,0,8,2,89,1,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3152,690,0,10,0,0,341,3,33,0,9,32,6,10,0,2,7,0,0,0,18,12,3,3,92,0,1,1,4,1,0,74,15,0,0,3,0,1,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
200,3563,406,0,8,0,1,149,2,33,0,3,19,7,7,1,0,6,0,0,0,16,10,8,1,66,0,2,2,2,3,0,54,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
225,3975,335,0,7,0,0,145,5,21,0,3,9,12,9,0,0,5,0,0,0,3,4,4,2,57,0,1,0,1,2,0,32,5,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4387,509,0,9,2,0,205,5,24,0,4,11,12,18,0,0,5,1,0,0,8,6,14,1,123,0,3,1,0,5,1,39,6,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
275,4798,394,0,7,2,0,192,1,6,0,3,9,14,9,0,1,2,0,0,0,9,9,5,1,100,0,2,0,2,1,3,7,2,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
285,4963,493,1,7,0,0,200,3,20,0,2,22,7,10,0,0,6,0,0,0,13,9,6,3,143,0,3,0,1,0,0,26,6,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,5210,791,0,9,2,2,310,5,15,0,7,15,15,18,2,0,13,0,0,0,10,11,14,10,143,0,4,2,1,3,4,130,15,4,0,3,0,1,7,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0
325,5622,656,0,6,3,0,254,0,6,0,12,25,16,11,0,1,9,0,0,0,7,11,4,2,120,0,3,0,1,2,0,96,28,0,0,1,0,0,30,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0
350,6033,506,1,6,2,1,187,4,9,0,2,4,32,18,0,1,7,4,0,0,7,5,17,0,139,0,2,0,0,2,1,45,5,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
375,6445,517,0,4,2,1,148,3,3,1,1,14,9,10,1,1,9,0,0,0,4,9,5,0,245,0,4,0,1,3,0,20,5,0,0,0,0,0,8,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0
400,6856,298,0,1,1,0,34,9,1,0,4,5,28,8,2,0,2,0,0,0,9,3,0,5,151,0,5,0,0,4,2,5,2,0,0,1,0,0,6,0,6,0,0,0,0,0,1,0,3,0,0,0,0,0
425,7268,338,0,3,0,1,62,0,9,1,3,10,17,9,4,0,4,0,0,0,7,6,6,3,157,0,3,0,2,2,0,15,4,0,0,1,0,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
450,7680,420,0,4,1,0,94,1,2,1,2,8,25,21,0,0,6,0,0,0,17,9,6,5,187,0,4,0,0,3,0,13,3,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
475,8091,455,0,0,1,3,53,0,8,3,1,9,6,22,0,0,5,1,0,0,6,4,1,7,203,0,3,0,0,0,0,8,4,1,0,0,0,0,96,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0
500,8503,345,0,0,2,0,82,0,1,2,5,37,14,13,0,0,2,0,0,0,13,1,2,0,143,0,12,0,0,4,2,4,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
520,8832,467,1,4,28,1,128,2,4,6,1,39,16,15,2,1,5,0,0,0,32,3,9,5,104,0,17,0,2,8,9,2,3,0,1,0,1,0,6,0,2,0,1,0,0,0,7,0,0,2,0,0,0,0
540,9161,350,0,2,11,1,69,0,0,2,4,52,15,19,2,0,2,1,0,0,16,2,4,15,84,0,17,0,2,0,3,6,0,0,0,1,2,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
560,9491,557,1,5,19,1,122,0,0,6,9,74,16,38,8,1,6,0,0,0,11,0,11,11,64,0,34,0,6,22,14,4,3,0,0,0,11,0,38,0,2,0,3,0,4,0,9,0,0,3,1,0,0,0
575,9738,371,0,1,24,0,92,0,0,3,0,29,23,18,5,3,5,2,1,0,3,1,7,20,31,0,21,0,0,1,3,3,0,0,0,0,4,0,51,1,0,0,7,0,2,0,8,0,0,0,0,2,0,0
590,NA,456,0,3,25,2,95,1,0,11,3,42,16,22,4,1,2,0,0,1,18,1,10,21,64,0,35,0,0,7,11,6,0,1,1,0,7,0,23,0,3,0,3,1,1,0,13,0,0,0,0,0,1,1
