"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Rhus","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Iva.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Primula.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Polypodium","Pteridium","Thelypteris.palustris","Woodsia","Sphagnum","Brasenia.schreberi","Eriocaulon","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
0,-50,0,13,5,2,3,0,0,0,43,0,8,2,1,0,20,1,1,1,18,19,4,1,0,4,0,0,0,0,1,0,62,45,6,3,12,9,42,0,1,254,2,0,0,0,0,1,3,10,1,10,2,3,0,0,1,2,6,0,0,0,0,6,8,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,15,1,1,0,0,1,1,0,0,14,0,4,16,14,2,2,14
4,-32,0,7,3,1,3,0,0,0,36,2,8,1,0,0,23,0,0,3,13,23,2,0,0,7,0,3,0,0,1,0,104,44,4,0,6,2,32,3,0,188,0,0,0,0,0,0,6,3,0,9,0,2,0,0,0,3,5,0,0,0,0,4,13,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,13,0,0,0,0,16,0,1,0,0,1,1,0,0,9,0,6,16,7,4,1,13
8,34,0,12,5,1,3,0,0,0,36,4,4,1,0,0,24,1,0,0,25,22,2,0,0,7,0,0,0,0,0,0,122,74,3,2,4,3,24,2,1,144,0,1,1,0,0,0,2,3,0,26,0,1,0,0,0,2,17,0,0,0,1,5,17,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,11,0,3,0,0,27,0,4,0,0,1,3,0,1,23,1,7,21,13,1,5,32
12,94,0,22,5,0,5,0,1,0,38,2,13,4,0,0,16,0,0,0,15,33,5,0,0,5,0,0,0,0,3,0,97,36,5,3,7,2,38,1,0,138,0,0,0,0,0,0,13,6,0,24,0,0,0,0,1,2,4,0,0,0,0,0,11,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,12,0,3,0,0,0,1,0,0,5,0,5,8,2,6,11,4
16,143,0,18,3,1,8,1,0,0,62,1,7,3,0,0,16,0,0,1,16,42,7,4,2,2,1,0,0,0,1,0,95,35,5,2,8,6,38,0,1,149,0,1,0,0,0,0,8,4,0,29,0,2,0,0,1,1,3,0,0,0,0,0,6,0,0,8,0,1,6,0,1,0,0,0,0,0,1,0,0,0,1,1,8,0,0,7,0,4,0,0,4,2,0,0,10,0,6,13,5,5,2,11
20,190,1,24,12,0,4,0,0,0,41,1,9,3,0,0,15,0,0,0,20,28,4,4,0,4,0,0,0,0,3,0,90,31,8,6,15,2,24,1,0,180,0,0,0,0,0,0,15,5,0,2,0,4,0,0,0,2,3,0,0,0,0,0,4,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,10,0,0,5,0,8,0,0,0,2,0,0,8,0,3,3,2,6,2,9
24,237,0,36,3,1,4,0,0,0,39,2,3,2,0,0,10,0,0,0,7,40,4,1,2,0,0,0,1,0,0,0,91,23,10,5,6,5,36,2,1,178,0,1,0,0,0,0,12,2,0,1,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,6,2,0,1,0,0,0,1,0,0,0,0,1,3,0,5,0,0,2,0,1,0,0,2,4,0,0,5,0,4,5,2,3,2,5
28,303,0,26,5,1,1,1,0,0,57,0,19,4,0,0,9,0,0,1,8,70,4,5,2,1,0,0,0,0,0,0,74,19,9,5,16,6,32,5,0,224,0,0,0,0,0,0,23,2,0,6,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,11,0,0,0,0,2,0,0,0,3,0,0,7,2,3,4,3,8,8,6
32,373,0,23,8,1,5,1,1,0,55,0,10,2,0,0,6,0,0,1,7,40,6,3,0,1,0,0,0,0,1,0,55,12,6,2,14,0,26,1,0,202,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,3,0,0,2,0,5,7,0,5,4,3
36,443,0,11,6,0,7,1,0,0,46,0,10,3,0,0,5,0,0,2,8,45,4,3,1,3,2,0,0,0,0,0,64,14,16,2,14,0,38,3,2,223,1,0,0,0,0,0,19,6,0,0,1,2,0,0,0,0,2,0,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,8,0,0,0,0,2,0,0,1,5,0,1,9,0,2,3,1,3,5,3
