"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Ambrosia.type","Potentilla.type","Quercus","Ranunculaceae.undiff.","Populus","Larix","Sarcobatus.vermiculatus","Galium","Rumex","Ulmus","Lamiaceae","Rosaceae.undiff.","Myrica","Ranunculus","Fraxinus","Fabaceae","Polygonum","Shepherdia.argentea","Saxifragaceae","Shepherdia.canadensis","Juglans","Ericaceae","Primulaceae","Acer","Caryophyllaceae","Apiaceae","Rubus","Urticaceae","Asteraceae.subf..Cichorioideae","Lonicera","Elaeagnus","Cupressaceae","Plantago"
0,-1,407,1,43,90,17,1,4,1,26,12,1,1,42,163,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51,315,0,35,60,4,2,7,0,27,4,0,1,27,136,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,512,367,0,47,67,4,1,1,0,25,10,2,2,48,154,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,973,272,1,29,20,2,1,5,0,15,4,0,5,26,155,3,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1434,354,0,43,56,4,1,4,0,25,8,0,1,34,175,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1896,306,0,39,41,0,3,6,0,31,16,2,4,38,103,16,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2357,312,0,28,21,2,1,2,0,15,17,1,1,31,179,9,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2818,367,0,42,55,6,3,10,0,43,25,4,1,41,110,13,1,0,1,0,2,0,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3279,321,0,74,81,5,4,8,0,13,13,0,4,58,50,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3740,391,0,68,78,3,4,17,0,29,14,0,5,45,94,21,2,0,0,0,2,0,1,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4201,319,0,76,87,5,1,4,0,12,8,3,6,66,38,5,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4662,311,0,45,80,5,3,10,0,15,12,2,5,81,30,16,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5123,304,0,80,83,9,1,6,0,6,7,3,7,33,34,24,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
250,5584,378,1,94,70,8,3,18,0,9,21,2,5,35,54,48,3,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6045,357,0,65,62,12,0,23,0,15,26,1,8,34,60,43,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
290,6506,280,0,92,33,4,0,16,0,5,15,1,1,26,49,27,4,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,6967,315,0,106,66,10,1,15,0,5,10,2,3,35,41,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
