"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanula","Carya","Castanea","Celtis","Chenopodium.type","Cornus","Corylus","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dracocephalum.type","Dryopteris.type","Ephedra.trifurca.type","Equisetum","Ericaceae","Euphorbia.subg..Chamaesyce","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.Cannabis.sativa","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.Thuja","Laportea.type","Larix","Lemna","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopus.type","Medicago","Melilotus.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Phlox","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.convolvulus","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae.type","Potentilla.type","Pteridium","Quercus","Ranunculus.type","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Thalictrum","Thelypteris.palustris.type","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vicia.type","Vitis","Xanthium","Zanthoxylum"
240,-24,0,2,0,0,6,3,88,1,0,6,13,1,9,0,1,0,4,0,0,8,0,0,15,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,1,0,2,0,9,15,0,0,0,0,0,0,0,0,0,2,0,0,24,0,1,0,0,3.5,0,0,53,0,0,0,5,0,0,0,0,60,0,0,0,0,0,0,5,0,0,0,8,0,0,1,2,1,5,0,6,32,7,0,10,0,3,1,0
250,-3,0,0,0,0,5,0,54,0,0,3,6,1,7,0,0,0,3,0,1,14,0,1,8,0,0,2,5,0,0,0,0,3,0,9,0,0,0,1,0,0,1,0,1,1,2,2,3,15,0,0,0,1,0,0,0,0,1,2,0,0,11,0,0,4,0,3.5,0,1,46,0,0,0,4,0,0,0,0,54,0,0,0,0,0,0,1,0,0,0,10,0,0,0,6,0,3,0,4,30,7,0,5,0,0,0,0
260,17,0,0,1,0,9,3,110,0,0,8,9,0,23,0,0,0,2,0,0,14,0,1,10,0,0,0,9,0,1,0,0,0,0,5,0,0,4,0,2,0,0,0,2,0,2,0,5,34,0,0,0,0,0,7,0,0,0,0,0,0,19,0,2,2.5,5,3,0,1,102,0,0,0,12,0,0,0,1,71,0,0,0,0,0,3,5,0,0,0,1,0,0,0,15,0,3,0,8,37,0,0,1,1,0,0,0
270,38,0,2,0,0,9,5,92,0,0,5,9,0,11,0,1,0,2,0,0,5,0,2,13,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,1,0,2,0,0,0,17,0,0,2,0,3,0,0,66,0,0,0,2,0,0,0,0,55,0,0,0,0,1,0,2,0,0,0,2,0,0,0,9,2,5,0,3,23,1,0,3,0,1,0,1
290,80,1,0,0,0,5,5,64,0,0,12,3,0,10,0,0,0,2,0,0,6,0,2,8,0,0,2,9,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,5,6,0,0,0,1,3,0,0,0,1,0,0,7,24,0,1.5,2,0,5.5,0,1,62,1,0,0,4,0,1,0,0,59,0,0,0,2,0,1,3,1,0,0,0,0,0,0,3,0,5,0,2,20,0,1,1,0,0,1,0
300,101,0,0,1,0,8,3,67,0,0,6,8,0,14,2,0,0,4,0,1,6,0,1,17,0,0,0,6,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,9,0,0,0,0,0,0,0,0,1,1,0,0,28,0,1.5,3,3,3,0,3,103,0,0,0,5,0,1,0,1,68,0,0,0,1,0,0,3,0,0,0,1,0,0,0,2,0,2,0,1,28,1,0,1,0,1,0,0
310,121,0,0,0,0,13,3,53,0,0,7,9,0,13,0,0,0,1,0,0,3,0,1,18,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,1,0,1,0,1,0,3,0,8,10,0,0,0,0,0,1,2,0,0,1,0,0,34,0,0,1,2,5,0,0,90,0,0,0,4,0,0,0,0,72,0,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,3,0,2,17,0,1,3,0,0,0,0
320,142,0,0,1,0,30,11,25,0,0,9,6,0,28,4,0,0,8,0,0,5,0,4,27,0,0,0,2,1,2,0,0,0,1,11,0,0,1,0,1,0,0,0,3,0,2,0,21,3,0,0,0,1,0,0,0,0,1,1,0,1,93,0,0.5,3,2,6,0,3,166,0,1,0,9,0,1,0,1,231,0,0,0,1,0,1,6,0,0,0,1,0,0,0,4,0,11,4,1,38,0,0,0,0,0,0,0
330,163,0,0,0,0,15,3,8,1,0,6,3,0,11,4,0,0,3,0,0,3,0,4,14,0,0,0,1,0,1,0,0,0,3,5,0,0,0,0,1,0,0,0,1,0,1,0,8,2,0,0,0,0,0,0,0,0,1,1,0,0,69,0,0,0,4,5,0,1,122,0,0,0,4,0,1,0,0,120,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,9,0,2,30,0,2,0,0,2,0,0
336,176,0,0,0,0,10,6,0,0,0,4,1,0,17,5,0,0,6,0,1,0,0,3,17,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,33,0,0,3,1,7.5,0,2,69,0,0,0,1,0,1,0,0,121,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,9,1,0,15,1,0,0,0,0,0,0
