"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Moraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex"
0,-33,0.0186666666666667,0.0453333333333333,0.04,0.274666666666667,0,0,0,0.00533333333333333,0.00266666666666667,0,0.00266666666666667,0,0,0.0106666666666667,0,0.0106666666666667,0.0293333333333333,0.0213333333333333,0.106666666666667,0.176,0,0.0213333333333333,0.04,0,0,0.0613333333333333,0.016,0.0586666666666667,0.008,0,0.0186666666666667,0,0.0213333333333333,0,0,0.0106666666666667
5,9,0.0248138957816377,0.032258064516129,0.0198511166253102,0.305210918114144,0,0,0.00248138957816377,0,0.00248138957816377,0.00496277915632754,0.00744416873449132,0.00496277915632754,0,0.00744416873449132,0,0.00744416873449132,0.0297766749379653,0.0148883374689826,0.109181141439206,0.148883374689826,0.00248138957816377,0.0124069478908189,0.0297766749379653,0,0.00248138957816377,0.0918114143920596,0.0223325062034739,0.0843672456575682,0.00248138957816377,0.00496277915632754,0,0.00248138957816377,0.0173697270471464,0,0,0.00496277915632754
10,50,0.0196850393700787,0.00984251968503937,0.0236220472440945,0.263779527559055,0.00196850393700787,0,0,0.0137795275590551,0,0,0.00196850393700787,0,0.00393700787401575,0.00984251968503937,0,0.0118110236220472,0.031496062992126,0.0137795275590551,0.0866141732283465,0.251968503937008,0,0.0137795275590551,0.0354330708661417,0.00196850393700787,0.0078740157480315,0.124015748031496,0.015748031496063,0.0255905511811024,0.0078740157480315,0.0118110236220472,0.00393700787401575,0,0.00590551181102362,0,0,0.00196850393700787
15,91,0.0220048899755501,0.0220048899755501,0.0220048899755501,0.23960880195599,0,0,0.00488997555012225,0.00488997555012225,0,0.00244498777506112,0,0.00244498777506112,0.00244498777506112,0.00488997555012225,0,0.00244498777506112,0.0268948655256724,0.0268948655256724,0.0953545232273839,0.278728606356968,0,0.00733496332518337,0.0244498777506112,0,0,0.114914425427873,0.0220048899755501,0.0342298288508557,0,0.00244498777506112,0.00488997555012225,0,0.0268948655256724,0,0,0.00488997555012225
20,133,0.0340314136125654,0.0130890052356021,0.0104712041884817,0.243455497382199,0,0,0,0.0104712041884817,0,0.00261780104712042,0.00261780104712042,0,0,0.0130890052356021,0,0,0.0392670157068063,0.0104712041884817,0.120418848167539,0.222513089005236,0.00261780104712042,0.00261780104712042,0.0340314136125654,0,0.00523560209424084,0.18586387434555,0.0235602094240838,0.0104712041884817,0.0104712041884817,0,0,0,0.00261780104712042,0,0,0
25,174,0.0172839506172839,0.037037037037037,0.0197530864197531,0.274074074074074,0.00493827160493827,0,0,0.00987654320987654,0,0,0.00246913580246914,0,0,0,0,0.00740740740740741,0.037037037037037,0.00987654320987654,0.11358024691358,0.219753086419753,0.00246913580246914,0,0.0296296296296296,0,0,0.158024691358025,0.0320987654320988,0.00493827160493827,0.00493827160493827,0.00246913580246914,0.00246913580246914,0.00246913580246914,0.00740740740740741,0,0,0
30,216,0.0194931773879142,0.0233918128654971,0.0116959064327485,0.243664717348928,0,0,0,0.01364522417154,0,0,0.00779727095516569,0,0,0.00584795321637427,0,0.00974658869395711,0.0350877192982456,0.0116959064327485,0.0857699805068226,0.284600389863548,0,0,0.037037037037037,0,0,0.177387914230019,0.00974658869395711,0.0155945419103314,0.00194931773879142,0.00194931773879142,0,0.00194931773879142,0.00194931773879142,0,0,0
35,257,0.0106100795755968,0.0371352785145889,0.00795755968169761,0.257294429708223,0,0,0,0.00795755968169761,0.0026525198938992,0,0,0,0,0.00530503978779841,0,0.0159151193633952,0.013262599469496,0.00795755968169761,0.124668435013263,0.289124668435013,0.0026525198938992,0,0.0238726790450928,0,0,0.151193633952255,0.0238726790450928,0.0026525198938992,0.0106100795755968,0.0026525198938992,0,0.0026525198938992,0,0,0,0
40,299,0.0152173913043478,0.0239130434782609,0.0108695652173913,0.241304347826087,0,0,0.00217391304347826,0.0108695652173913,0.00217391304347826,0.00434782608695652,0,0,0,0.0130434782608696,0,0.00652173913043478,0.0195652173913043,0.00434782608695652,0.104347826086957,0.278260869565217,0.00217391304347826,0.0108695652173913,0.0260869565217391,0,0,0.165217391304348,0.0369565217391304,0.00652173913043478,0.00652173913043478,0,0,0,0.00869565217391304,0,0,0
45,340,0.0221774193548387,0.0262096774193548,0.00806451612903226,0.30241935483871,0.00403225806451613,0,0,0.00201612903225806,0,0.00403225806451613,0.00201612903225806,0,0,0.00604838709677419,0,0.00403225806451613,0.030241935483871,0.0100806451612903,0.0907258064516129,0.294354838709677,0.00201612903225806,0,0.0383064516129032,0,0,0.125,0.0181451612903226,0.00403225806451613,0.00201612903225806,0.00201612903225806,0,0,0.00201612903225806,0,0,0
