"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Picea","Quercus","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Plantago","Fagus","Asteraceae.subf..Cichorioideae","Castanea","Amaranthaceae.undiff.","Larix","Thalictrum","Corylus","Tilia","Ulmus","Carya","Iva.xanthifolia","Acer.saccharum","Populus","Iva.annua","Fraxinus.nigra"
1,63,495,4,2,159,2,2,58,3,86,1,1,1,18,1,1,22,1,66,13,4,28,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,419,425,10,1,131,0,1,44,4,67,3,0,1,15,0,1,21,0,54,1,6,44,18,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,864,425,11,1,140,0,2,32,5,82,2,0,0,15,0,1,17,1,71,0,5,27,8,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
20,1753,449,9,0,141,0,1,37,3,76,4,1,0,31,0,4,0,0,73,0,5,32,22,0,4,0,1,1,0,0,1,1,2,0,0,0,0,0,0
30,2643,410,9,0,128,0,1,22,3,49,3,0,2,18,0,3,17,3,84,0,5,33,23,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0
40,3532,419,7,3,138,0,0,22,5,75,4,0,0,12,0,1,14,2,73,0,4,37,16,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0
50,4422,416,11,1,126,0,0,17,3,58,2,0,0,24,0,3,19,2,79,0,2,45,17,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0
60,5311,388,8,1,115,0,0,22,6,63,1,0,0,4,0,3,19,0,74,0,1,52,9,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0
70,6201,369,9,2,136,0,0,7,7,39,4,0,1,15,0,0,15,5,66,0,0,50,7,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0
80,7091,398,10,0,137,0,1,15,0,47,1,0,2,0,0,3,4,2,72,0,1,90,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
90,7980,356,9,0,94,0,1,18,3,35,0,0,0,0,0,0,7,0,90,1,0,82,12,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
100,NA,357,3,2,161,0,2,22,2,40,1,0,6,0,0,0,2,0,56,1,2,51,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
103,NA,384,0,0,93,0,0,26,0,48,0,0,0,0,0,0,2,0,8,2,9,181,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
